symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
IDCC,2025-02-12,204.47,209.41,203.54,207.57,398233
IDCC,2025-02-13,210.17,213.21,207.73,212.34,395007
IDCC,2025-02-14,212.59,213.35,208.99,211.66,411324
IDCC,2025-02-18,211.88,214.66,209.95,214.63,376600
IDCC,2025-02-19,214.34,215.53,211.41,214.62,280705
IDCC,2025-02-20,213.83,215.82,209.81,214.34,249620
IDCC,2025-02-21,216.08,216.08,207.86,208.81,316000
IDCC,2025-02-24,208.47,211.21,205.2,207.12,372600
IDCC,2025-02-25,206.68,207.91,202.95,206.78,292170
IDCC,2025-02-26,206.48,210.72,205.12,207.02,291420
IDCC,2025-02-27,207.9,211.58,204.29,207.34,255416
IDCC,2025-02-28,205.99,211.4,205.22,211.02,473132
IDCC,2025-03-03,214.01,214.12,203.66,205.78,464123
IDCC,2025-03-04,202.97,205.3,197.68,202.57,367246
IDCC,2025-03-05,203.78,203.78,198.6,201.67,284200
IDCC,2025-03-06,229.12,229.12,198.53,206.95,544923
IDCC,2025-03-07,206.52,214.06,205.38,212.64,449721
IDCC,2025-03-10,207.43,210.19,204.46,207.96,387438
IDCC,2025-03-11,207.77,213.25,206.31,209.99,303600
IDCC,2025-03-12,213.8,215.59,207.43,209.88,341627
IDCC,2025-03-13,209.87,209.87,202.82,205.68,205906
IDCC,2025-03-14,207.55,216.3,206.44,214.43,396288
IDCC,2025-03-17,215.48,223.86,215.48,216.94,467634
IDCC,2025-03-18,215.99,219.92,213.36,216.37,337548
IDCC,2025-03-19,214.32,218.91,212.36,218.14,282415
IDCC,2025-03-20,215.41,221.24,215.41,216.46,343600
IDCC,2025-03-21,214.22,216.55,212.1,214.69,1269911
IDCC,2025-03-24,217.31,219.38,216.87,218.89,203000
IDCC,2025-03-25,221.13,223.58,217.91,222.95,258728
IDCC,2025-03-26,222.95,224.29,218.91,219.87,362659
IDCC,2025-03-27,218.22,219.51,211.2,212.42,274843
IDCC,2025-03-28,210.96,210.96,205.48,207.47,225730
IDCC,2025-03-31,204.65,205.35,201.1,204.22,671825
IDCC,2025-04-01,203.15,206.38,200.75,202.42,321104
IDCC,2025-04-02,199.46,207.63,198.05,205.72,321800
IDCC,2025-04-03,197.41,200.4,193.96,195.64,390318
IDCC,2025-04-04,187.68,192.89,184.98,188.97,635351
IDCC,2025-04-07,178.81,199.57,178.39,193.3,586900
IDCC,2025-04-08,200.23,201.7,187.0,188.75,517324
IDCC,2025-04-09,186.18,207.89,186.03,205.18,523000
IDCC,2025-04-10,198.17,203.86,194.47,200.7,363110
IDCC,2025-04-11,198.93,202.14,195.27,200.08,247200
IDCC,2025-04-14,203.12,209.51,197.57,199.91,359800
IDCC,2025-04-15,200.57,202.55,199.65,201.07,202903
IDCC,2025-04-16,198.19,202.79,193.83,195.18,283200
IDCC,2025-04-17,195.15,198.17,187.39,187.54,328600
IDCC,2025-04-21,186.45,189.19,179.39,181.69,343200
IDCC,2025-04-22,184.12,186.63,182.67,185.28,235917
IDCC,2025-04-23,189.14,193.87,188.27,189.79,252434
IDCC,2025-04-24,189.9,193.06,189.32,189.91,466214
IDCC,2025-04-25,190.02,192.75,188.66,191.98,166400
