symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
IESC,2025-02-10,230.5,233.41,215.81,229.65,289863
IESC,2025-02-11,222.97,224.75,213.61,217.9,145418
IESC,2025-02-12,210.9,219.75,207.13,216.45,391900
IESC,2025-02-13,217.36,223.49,212.14,222.92,275530
IESC,2025-02-14,222.92,228.76,221.09,227.48,181473
IESC,2025-02-18,231.67,233.1,221.75,225.66,140700
IESC,2025-02-19,221.79,224.88,204.19,206.45,200499
IESC,2025-02-20,206.7,212.05,198.39,198.96,205219
IESC,2025-02-21,203.69,203.69,190.99,193.36,282462
IESC,2025-02-24,191.96,197.48,178.01,179.69,285216
IESC,2025-02-25,180.0,184.69,176.63,179.33,380100
IESC,2025-02-26,183.53,194.08,183.46,185.92,208000
IESC,2025-02-27,185.54,187.94,174.25,174.62,175860
IESC,2025-02-28,173.23,179.45,170.0,178.33,166859
IESC,2025-03-03,181.01,181.75,165.28,167.06,244810
IESC,2025-03-04,160.58,173.48,157.64,167.37,307200
IESC,2025-03-05,170.08,174.58,165.01,172.61,247000
IESC,2025-03-06,167.74,171.64,162.5,164.94,219600
IESC,2025-03-07,164.17,169.82,157.72,168.25,153058
IESC,2025-03-10,162.8,167.37,158.5,162.26,243528
IESC,2025-03-11,163.39,173.37,163.39,169.55,181335
IESC,2025-03-12,176.08,182.3,172.38,179.35,333237
IESC,2025-03-13,179.08,186.72,170.45,179.29,415908
IESC,2025-03-14,181.67,189.5,178.63,181.89,237900
IESC,2025-03-17,179.9,189.0,179.9,186.21,133964
IESC,2025-03-18,184.92,185.1,176.41,179.37,138900
IESC,2025-03-19,180.39,193.56,178.48,189.44,157517
IESC,2025-03-20,187.02,192.68,187.02,187.03,108940
IESC,2025-03-21,182.38,188.36,176.97,184.26,239492
IESC,2025-03-24,188.54,192.83,183.86,187.07,139600
IESC,2025-03-25,186.88,188.69,184.01,186.83,122625
IESC,2025-03-26,186.83,186.83,178.27,178.87,134453
IESC,2025-03-27,177.09,178.16,170.38,170.64,129900
IESC,2025-03-28,169.0,171.76,162.33,166.67,154057
IESC,2025-03-31,162.5,166.22,158.0,165.11,140200
IESC,2025-04-01,165.85,169.87,162.06,168.86,127608
IESC,2025-04-02,163.23,182.18,163.23,179.63,208401
IESC,2025-04-03,165.4,172.71,159.2,161.63,247200
IESC,2025-04-04,152.0,163.93,146.51,160.58,351200
IESC,2025-04-07,150.0,176.0,150.0,164.1,263721
IESC,2025-04-08,175.03,178.87,162.7,165.12,282245
IESC,2025-04-09,165.82,193.7,165.82,189.67,323486
IESC,2025-04-10,180.22,187.49,174.9,180.66,198600
IESC,2025-04-11,180.08,180.71,170.71,179.85,134628
IESC,2025-04-14,187.5,191.39,178.23,188.78,260439
IESC,2025-04-15,190.38,190.56,184.82,188.09,212000
