symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
INOD,2024-08-27,18.54,19.8,18.37,19.5,386600
INOD,2024-08-28,19.22,19.4,17.36,17.72,663507
INOD,2024-08-29,17.78,18.71,17.12,17.18,901600
INOD,2024-08-30,17.47,17.62,16.75,17.28,576726
INOD,2024-09-03,16.9,17.19,15.81,15.91,476500
INOD,2024-09-04,15.7,16.25,15.43,15.46,290438
INOD,2024-09-05,15.31,15.65,14.9,15.01,332700
INOD,2024-09-06,14.9,15.04,13.9,14.07,531900
INOD,2024-09-09,14.01,14.69,14.01,14.27,377144
INOD,2024-09-10,14.34,14.56,13.91,14.52,245400
INOD,2024-09-11,14.41,15.49,14.33,15.25,352330
INOD,2024-09-12,15.52,16.08,15.21,15.48,351824
INOD,2024-09-13,15.79,16.15,15.51,15.7,341700
INOD,2024-09-16,15.68,15.75,14.76,14.98,394266
INOD,2024-09-17,15.37,15.97,14.6,14.77,665300
INOD,2024-09-18,14.74,14.98,13.66,13.74,776300
INOD,2024-09-19,13.94,14.78,13.81,14.31,932611
INOD,2024-09-20,13.02,14.08,13.02,13.95,1561426
INOD,2024-09-23,14.11,15.52,13.92,15.46,776108
INOD,2024-09-24,15.33,15.51,14.8,15.48,539428
INOD,2024-09-25,15.48,15.85,15.0,15.41,605920
INOD,2024-09-26,15.82,16.07,15.21,15.96,383228
INOD,2024-09-27,16.3,16.54,15.5,15.91,342253
INOD,2024-09-30,15.67,16.84,15.4,16.77,973242
INOD,2024-10-01,16.78,16.88,15.31,15.49,628714
INOD,2024-10-02,15.35,16.1,15.16,15.48,366339
INOD,2024-10-03,15.3,15.8,15.18,15.68,251762
INOD,2024-10-04,16.27,16.61,15.55,15.57,375744
INOD,2024-10-07,15.49,15.92,15.29,15.45,303500
INOD,2024-10-08,15.47,15.7,14.9,15.52,296359
INOD,2024-10-09,15.44,16.18,15.37,15.56,185000
INOD,2024-10-10,15.22,15.49,14.79,15.48,229622
INOD,2024-10-11,15.59,16.75,15.33,16.56,433111
INOD,2024-10-14,16.79,17.36,16.55,17.09,397707
INOD,2024-10-15,17.23,17.62,16.58,16.92,416079
INOD,2024-10-16,17.02,17.72,16.95,17.62,315100
INOD,2024-10-17,18.04,18.7,17.57,18.33,559450
INOD,2024-10-18,18.63,19.24,17.56,18.8,615356
INOD,2024-10-21,18.79,19.69,18.24,19.64,484076
INOD,2024-10-22,19.48,20.2,19.15,19.4,483509
INOD,2024-10-23,19.15,19.4,18.58,18.97,248038
INOD,2024-10-24,19.25,19.74,18.77,19.16,309172
INOD,2024-10-25,19.41,20.4,19.29,20.3,486200
INOD,2024-10-28,20.65,21.19,19.9,20.49,620403
INOD,2024-10-29,20.5,21.69,20.21,21.68,425931
INOD,2024-10-30,21.75,21.9,21.13,21.43,536345
INOD,2024-10-31,21.0,21.22,19.69,20.11,808854
INOD,2024-11-01,20.47,21.84,20.47,21.13,569100
INOD,2024-11-04,21.16,21.24,20.22,20.64,346206
INOD,2024-11-05,20.71,22.25,20.26,22.02,802800
INOD,2024-11-06,23.0,24.18,22.7,24.08,1085300
INOD,2024-11-07,24.2,25.24,23.67,24.34,1250600
INOD,2024-11-08,30.34,43.65,29.67,42.78,9608600
INOD,2024-11-11,43.14,47.81,40.67,45.9,4249300
INOD,2024-11-12,45.35,49.72,44.39,45.99,2803100
INOD,2024-11-13,46.16,46.16,38.46,39.33,3062900
INOD,2024-11-14,39.5,39.65,36.58,39.16,1190418
INOD,2024-11-15,39.74,39.85,36.02,36.75,1511112
INOD,2024-11-18,40.64,43.8,38.72,41.44,2415604
INOD,2024-11-19,41.45,45.37,40.36,44.68,2011100
INOD,2024-11-20,45.58,45.9,42.95,44.45,1267100
INOD,2024-11-21,46.99,47.69,43.7,46.23,2145437
INOD,2024-11-22,47.17,48.25,44.66,44.77,2362106
INOD,2024-11-25,46.25,47.85,44.05,45.39,2426310
INOD,2024-11-26,42.16,44.64,40.25,40.37,1897038
INOD,2024-11-27,39.97,40.5,36.51,38.33,2189219
INOD,2024-11-29,40.3,42.09,38.79,41.08,1387500
INOD,2024-12-02,41.9,45.25,40.34,40.52,2080039
INOD,2024-12-03,39.49,40.84,38.5,40.38,895922
INOD,2024-12-04,41.5,46.13,40.27,45.66,2855322
INOD,2024-12-05,46.0,48.45,43.21,45.13,2115106
INOD,2024-12-06,45.9,45.9,43.9,44.55,1415100
INOD,2024-12-09,45.95,55.17,43.41,43.63,5343900
INOD,2024-12-10,42.54,44.85,38.09,38.28,2467300
INOD,2024-12-11,39.91,40.03,37.65,37.73,1650000
INOD,2024-12-12,36.87,37.49,34.41,35.03,2009225
INOD,2024-12-13,35.2,37.01,34.21,34.5,2220600
INOD,2024-12-16,34.87,38.19,34.81,37.76,1648100
INOD,2024-12-17,38.77,39.88,36.92,37.57,1489100
INOD,2024-12-18,37.83,38.0,33.41,34.19,1505247
INOD,2024-12-19,37.2,41.52,36.92,39.76,2631885
INOD,2024-12-20,38.55,44.28,38.11,43.01,2606419
INOD,2024-12-23,43.96,44.45,40.77,43.26,2448400
INOD,2024-12-24,43.35,43.76,41.23,43.09,694846
INOD,2024-12-26,42.94,46.66,42.1,46.23,1494200
INOD,2024-12-27,46.0,46.23,43.15,45.36,1136600
INOD,2024-12-30,44.0,44.5,41.04,42.09,1240202
INOD,2024-12-31,42.6,42.6,39.22,39.52,997812
INOD,2025-01-02,40.21,41.27,38.45,39.5,830767
INOD,2025-01-03,40.19,44.4,39.63,44.32,1284005
INOD,2025-01-06,45.58,46.69,42.91,43.76,1988400
INOD,2025-01-07,43.5,43.74,37.3,39.1,2476811
