symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
IRM,2024-08-27,106.56,108.67,106.32,108.58,1174326
IRM,2024-08-28,107.77,108.45,105.55,106.18,1429625
IRM,2024-08-29,106.18,107.22,105.15,105.89,1064404
IRM,2024-08-30,106.33,107.31,104.97,107.09,2391200
IRM,2024-09-03,106.71,107.98,106.15,106.68,1365800
IRM,2024-09-04,106.85,107.19,105.71,106.72,1378268
IRM,2024-09-05,106.97,107.04,102.06,103.14,1713269
IRM,2024-09-06,103.11,103.67,101.72,103.51,1471068
IRM,2024-09-09,103.78,105.15,103.65,104.37,945707
IRM,2024-09-10,104.84,108.0,104.55,107.94,1758742
IRM,2024-09-11,106.81,108.42,105.09,108.15,1317736
IRM,2024-09-12,108.49,110.07,108.31,110.02,1520193
IRM,2024-09-13,110.64,111.41,110.19,110.68,1259500
IRM,2024-09-16,111.3,112.7,110.64,112.43,1255628
IRM,2024-09-17,111.3,111.97,109.06,110.27,1372662
IRM,2024-09-18,110.21,112.42,109.76,110.78,1306405
IRM,2024-09-19,112.24,112.24,106.89,108.57,1901201
IRM,2024-09-20,107.34,109.94,106.81,109.74,4240846
IRM,2024-09-23,112.25,112.96,110.82,112.67,1621772
IRM,2024-09-24,111.96,113.99,111.31,113.37,1399500
IRM,2024-09-25,113.75,114.67,113.09,113.51,1177762
IRM,2024-09-26,113.51,113.68,111.03,111.6,1171600
IRM,2024-09-27,111.58,111.88,110.37,111.05,1403588
IRM,2024-09-30,110.77,113.14,110.44,113.04,2146282
IRM,2024-10-01,113.2,113.34,111.7,112.48,1527952
IRM,2024-10-02,111.51,113.74,110.97,113.59,1039500
IRM,2024-10-03,113.41,113.58,111.69,112.66,948225
IRM,2024-10-04,112.25,113.02,111.38,112.52,879318
IRM,2024-10-07,111.64,111.84,110.5,111.08,999852
IRM,2024-10-08,111.95,113.49,111.2,113.05,990870
IRM,2024-10-09,113.44,114.82,113.04,114.62,1016661
IRM,2024-10-10,114.15,114.71,112.61,113.22,1558086
IRM,2024-10-11,113.77,114.79,113.47,114.48,718959
IRM,2024-10-14,114.42,115.41,113.99,115.3,812616
IRM,2024-10-15,116.28,117.53,115.62,116.06,1144400
IRM,2024-10-16,116.37,118.08,115.98,117.41,1231450
IRM,2024-10-17,117.52,118.71,117.25,118.4,1020129
IRM,2024-10-18,118.78,119.69,117.67,119.64,1025238
IRM,2024-10-21,118.9,119.52,117.0,117.4,1616599
IRM,2024-10-22,117.0,118.68,116.54,117.84,1122649
