symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ITGR,2024-08-27,127.0,127.68,126.06,127.26,132300
ITGR,2024-08-28,127.72,128.69,126.97,127.67,145621
ITGR,2024-08-29,128.55,129.1,127.31,128.45,185509
ITGR,2024-08-30,129.0,131.17,128.86,130.07,258000
ITGR,2024-09-03,129.02,129.69,126.73,126.87,289700
ITGR,2024-09-04,126.47,128.53,125.64,128.1,155203
ITGR,2024-09-05,128.13,129.87,127.23,129.68,363314
ITGR,2024-09-06,129.72,130.69,125.71,129.0,455500
ITGR,2024-09-09,128.69,129.51,122.71,124.42,374800
ITGR,2024-09-10,124.4,124.97,121.41,123.16,482800
ITGR,2024-09-11,122.14,124.45,120.09,124.25,251800
ITGR,2024-09-12,124.66,127.41,122.87,126.17,312945
ITGR,2024-09-13,127.43,129.28,126.77,126.78,218146
ITGR,2024-09-16,127.63,128.99,126.91,127.87,145300
ITGR,2024-09-17,129.05,129.05,125.23,126.12,196039
ITGR,2024-09-18,126.0,129.83,125.48,128.36,332500
ITGR,2024-09-19,131.01,131.65,128.84,131.48,231800
ITGR,2024-09-20,131.82,131.87,128.43,129.33,723300
ITGR,2024-09-23,130.46,130.46,127.32,128.39,386200
ITGR,2024-09-24,127.84,128.39,126.43,127.09,151800
ITGR,2024-09-25,127.81,128.35,126.36,127.73,133800
ITGR,2024-09-26,129.01,129.75,126.59,127.01,230600
ITGR,2024-09-27,127.66,127.66,125.79,125.9,225000
ITGR,2024-09-30,126.09,130.16,124.81,130.0,223900
ITGR,2024-10-01,130.49,130.76,126.27,127.19,291500
ITGR,2024-10-02,126.43,128.04,126.32,127.23,176311
ITGR,2024-10-03,126.92,126.92,124.38,125.78,155300
ITGR,2024-10-04,127.74,129.17,126.11,129.11,302900
ITGR,2024-10-07,127.87,129.29,127.15,128.69,235111
ITGR,2024-10-08,129.77,130.36,128.92,129.23,197400
ITGR,2024-10-09,129.03,130.59,128.54,129.72,93100
ITGR,2024-10-10,128.28,128.69,127.47,128.23,168735
ITGR,2024-10-11,128.46,130.13,128.28,129.24,106420
ITGR,2024-10-14,130.14,132.68,129.54,132.43,322800
ITGR,2024-10-15,132.32,133.52,131.19,131.49,142722
ITGR,2024-10-16,131.62,133.53,130.58,131.06,547500
ITGR,2024-10-17,131.26,131.91,130.12,130.42,213206
ITGR,2024-10-18,131.14,131.65,129.14,130.43,233107
ITGR,2024-10-21,130.1,130.84,126.68,127.8,415140
ITGR,2024-10-22,127.17,127.17,125.34,125.55,291544
ITGR,2024-10-23,125.55,127.13,124.22,126.53,346900
ITGR,2024-10-24,121.28,129.88,117.57,126.76,524925
ITGR,2024-10-25,128.63,128.92,125.59,125.77,187400
ITGR,2024-10-28,126.78,128.84,126.31,127.93,261300
ITGR,2024-10-29,127.03,130.11,127.03,130.1,275501
ITGR,2024-10-30,128.76,130.9,128.76,129.94,378931
ITGR,2024-10-31,129.47,129.58,124.16,124.25,285519
ITGR,2024-11-01,124.21,127.17,124.21,126.45,197700
ITGR,2024-11-04,125.44,127.56,125.32,126.53,213900
ITGR,2024-11-05,125.98,128.79,125.68,128.68,588211
ITGR,2024-11-06,135.11,136.07,132.28,135.42,440325
ITGR,2024-11-07,135.62,136.03,132.73,134.64,199900
ITGR,2024-11-08,134.84,138.31,134.38,136.76,196445
ITGR,2024-11-11,137.98,139.65,136.26,139.49,238300
ITGR,2024-11-12,139.89,140.91,136.76,136.89,200200
ITGR,2024-11-13,137.63,138.9,136.66,137.56,315500
ITGR,2024-11-14,138.14,139.0,134.18,134.83,225726
ITGR,2024-11-15,135.39,135.39,132.48,133.18,210429
ITGR,2024-11-18,133.0,136.06,132.54,134.53,662100
ITGR,2024-11-19,132.85,134.5,131.45,133.52,222700
ITGR,2024-11-20,133.65,133.74,132.09,133.37,120400
ITGR,2024-11-21,134.26,136.67,133.59,135.88,136700
ITGR,2024-11-22,137.22,138.47,136.13,138.11,181641
ITGR,2024-11-25,139.21,141.27,138.74,140.28,282002
ITGR,2024-11-26,139.73,140.39,137.34,138.78,292600
ITGR,2024-11-27,138.94,141.21,138.3,140.8,171900
ITGR,2024-11-29,141.65,142.0,140.36,140.5,149717
ITGR,2024-12-02,141.49,141.49,137.67,138.77,211300
ITGR,2024-12-03,140.05,141.86,139.15,141.16,304800
ITGR,2024-12-04,141.77,142.76,139.31,140.5,179300
ITGR,2024-12-05,139.97,140.86,138.76,139.28,139646
ITGR,2024-12-06,140.16,140.63,139.07,139.39,109400
ITGR,2024-12-09,140.24,140.24,136.76,138.31,180900
ITGR,2024-12-10,138.9,141.72,137.0,139.64,304139
ITGR,2024-12-11,141.04,142.41,140.25,140.62,167307
ITGR,2024-12-12,140.69,141.4,138.73,139.29,167126
ITGR,2024-12-13,139.28,139.41,137.69,138.71,155806
ITGR,2024-12-16,138.45,139.86,137.67,138.37,144700
ITGR,2024-12-17,137.79,138.26,136.25,136.68,237000
ITGR,2024-12-18,137.49,137.49,131.28,131.5,241600
ITGR,2024-12-19,133.16,134.64,131.26,132.89,212242
ITGR,2024-12-20,131.92,135.54,131.92,133.67,402042
ITGR,2024-12-23,132.63,133.76,132.07,133.68,140700
ITGR,2024-12-24,133.75,134.76,133.38,134.75,67745
ITGR,2024-12-26,133.86,136.3,132.89,135.88,137335
ITGR,2024-12-27,134.59,135.94,133.36,134.76,108715
ITGR,2024-12-30,133.06,134.32,131.75,133.58,103800
ITGR,2024-12-31,134.13,134.45,132.42,132.52,125100
ITGR,2025-01-02,133.15,134.1,131.31,132.17,122326
ITGR,2025-01-03,132.04,134.23,131.94,133.89,119147
ITGR,2025-01-06,133.91,135.94,133.17,133.25,122539
ITGR,2025-01-07,133.39,134.2,131.06,132.16,143600
ITGR,2025-01-08,131.44,134.22,131.15,133.12,153600
ITGR,2025-01-10,131.1,136.14,130.71,133.73,253611
ITGR,2025-01-13,132.02,135.64,129.55,135.15,188427
ITGR,2025-01-14,135.13,138.94,135.13,138.83,249016
ITGR,2025-01-15,141.44,141.44,138.7,139.88,174500
ITGR,2025-01-16,140.22,140.77,138.88,140.56,191719
ITGR,2025-01-17,142.01,142.01,140.12,141.0,146652
ITGR,2025-01-21,142.3,144.22,141.63,143.16,274600
ITGR,2025-01-22,143.24,143.73,140.75,141.44,387900
ITGR,2025-01-23,141.3,143.83,140.94,143.28,250200
ITGR,2025-01-24,142.5,144.16,141.92,142.44,184834
ITGR,2025-01-27,142.34,143.89,142.14,143.13,131325
ITGR,2025-01-28,142.99,145.4,142.42,144.36,291400
ITGR,2025-01-29,144.83,145.67,142.95,143.22,235500
ITGR,2025-01-30,144.63,146.36,143.25,143.51,209310
ITGR,2025-01-31,143.56,144.66,141.89,142.22,219900
ITGR,2025-02-03,139.19,139.94,135.78,138.24,322830
ITGR,2025-02-04,137.73,140.61,137.14,139.4,230800
ITGR,2025-02-05,140.4,143.73,138.93,142.35,258710
ITGR,2025-02-06,142.83,142.83,139.42,140.91,200800
ITGR,2025-02-07,140.8,142.24,139.1,140.35,155600
ITGR,2025-02-10,141.03,141.23,138.89,139.4,282800
ITGR,2025-02-11,138.33,139.33,137.5,138.7,208600
ITGR,2025-02-12,136.27,138.13,136.27,137.34,226116
ITGR,2025-02-13,138.69,139.14,137.57,138.67,270200
ITGR,2025-02-14,139.8,141.76,138.08,141.0,201506
ITGR,2025-02-18,140.42,141.85,139.39,141.15,331817
ITGR,2025-02-19,139.91,144.57,138.89,143.21,588421
ITGR,2025-02-20,142.0,144.76,135.0,135.22,750700
ITGR,2025-02-21,135.73,136.06,128.45,129.87,499343
ITGR,2025-02-24,130.2,130.25,126.51,126.98,526600
ITGR,2025-02-25,126.91,128.41,125.62,127.74,472349
ITGR,2025-02-26,127.67,129.53,125.35,126.27,494541
ITGR,2025-02-27,125.55,126.53,123.71,123.8,314535
ITGR,2025-02-28,123.39,124.18,121.54,123.2,411900
ITGR,2025-03-03,123.83,124.46,119.25,120.21,374300
ITGR,2025-03-04,119.15,120.41,115.89,118.23,514900
ITGR,2025-03-05,118.67,123.86,118.27,122.73,655000
ITGR,2025-03-06,121.3,125.25,121.09,122.03,416621
ITGR,2025-03-07,121.48,123.26,118.7,121.96,397000
ITGR,2025-03-10,120.59,122.23,119.02,120.27,574300
ITGR,2025-03-11,120.44,121.47,118.14,120.14,257730
ITGR,2025-03-12,120.82,121.12,118.72,119.56,303500
