symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ITW,2024-08-27,238.29,239.29,237.55,238.85,763307
ITW,2024-08-28,239.0,240.23,237.39,238.17,725148
ITW,2024-08-29,239.69,241.41,238.37,239.97,585600
ITW,2024-08-30,240.22,243.15,239.1,242.6,822600
ITW,2024-09-03,241.95,242.41,238.03,239.34,959146
ITW,2024-09-04,239.12,239.55,232.6,234.5,1052300
ITW,2024-09-05,234.62,234.62,231.11,232.9,866007
ITW,2024-09-06,232.84,235.56,232.21,233.42,754300
ITW,2024-09-09,234.92,237.0,234.18,236.43,971500
ITW,2024-09-10,236.67,237.82,234.71,237.22,811594
ITW,2024-09-11,237.32,237.73,231.38,236.7,1027041
ITW,2024-09-12,237.19,238.07,234.23,237.83,629000
ITW,2024-09-13,238.44,241.76,237.7,241.23,669600
ITW,2024-09-16,242.82,244.73,241.67,244.47,690100
ITW,2024-09-17,244.97,247.59,243.45,244.08,812918
ITW,2024-09-18,244.32,245.93,242.06,242.4,826300
ITW,2024-09-19,245.82,248.21,244.31,247.18,727600
ITW,2024-09-20,245.87,245.87,242.77,243.69,1773000
ITW,2024-09-23,243.87,246.19,242.45,245.92,716223
ITW,2024-09-24,247.42,248.86,245.97,247.72,709936
ITW,2024-09-25,248.24,248.94,246.76,247.28,1150307
ITW,2024-09-26,249.13,252.23,248.32,251.05,730696
ITW,2024-09-27,252.01,256.51,251.83,252.94,1066451
ITW,2024-09-30,252.64,253.49,249.92,252.56,876500
ITW,2024-10-01,252.51,252.65,249.24,251.86,754500
ITW,2024-10-02,250.92,252.87,250.56,252.38,776244
ITW,2024-10-03,250.94,252.54,248.25,250.55,827700
ITW,2024-10-04,251.49,251.92,247.18,249.03,624300
ITW,2024-10-07,247.11,248.76,245.87,246.75,521070
ITW,2024-10-08,247.0,247.68,243.93,246.44,529849
ITW,2024-10-09,246.34,249.88,245.11,248.62,717423
ITW,2024-10-10,248.04,248.47,246.0,247.51,582207
ITW,2024-10-11,248.05,251.45,248.05,251.13,664248
ITW,2024-10-14,250.41,252.4,249.54,252.01,513500
ITW,2024-10-15,253.18,255.16,251.8,251.86,729604
ITW,2024-10-16,251.51,253.68,249.92,251.36,682249
ITW,2024-10-17,252.43,252.68,249.55,251.2,684100
ITW,2024-10-18,252.36,252.44,250.2,251.55,699700
ITW,2024-10-21,250.85,251.54,248.38,248.99,559233
ITW,2024-10-22,248.6,249.88,245.02,247.65,852500
ITW,2024-10-23,247.15,248.63,246.28,247.02,860835
ITW,2024-10-24,246.85,247.82,244.83,246.25,666039
ITW,2024-10-25,247.81,247.83,244.62,244.86,730755
ITW,2024-10-28,246.44,249.14,246.44,247.55,753834
ITW,2024-10-29,246.18,248.21,243.82,246.75,1304970
ITW,2024-10-30,253.45,255.13,244.25,254.73,1655951
ITW,2024-10-31,255.03,255.76,251.34,251.65,1267500
ITW,2024-11-01,252.47,254.69,251.27,253.53,882600
ITW,2024-11-04,254.05,255.81,252.49,254.3,737100
ITW,2024-11-05,253.8,257.27,252.62,256.76,794975
ITW,2024-11-06,263.04,267.5,262.16,265.47,1151614
ITW,2024-11-07,265.67,265.94,261.44,263.0,833532
ITW,2024-11-08,262.72,265.72,261.95,262.08,833600
ITW,2024-11-11,262.65,265.52,262.65,264.31,791900
ITW,2024-11-12,263.34,264.4,261.18,261.31,758100
ITW,2024-11-13,260.1,263.44,259.13,263.05,1305700
ITW,2024-11-14,262.59,263.66,259.83,260.07,805200
ITW,2024-11-15,259.63,262.91,259.58,260.8,913018
ITW,2024-11-18,260.28,262.42,259.61,260.26,711415
ITW,2024-11-19,258.18,259.03,256.45,256.79,615378
ITW,2024-11-20,257.32,257.7,254.72,256.71,856900
ITW,2024-11-21,256.71,261.34,255.82,260.05,764000
ITW,2024-11-22,260.99,264.39,259.79,264.01,950500
ITW,2024-11-25,264.91,267.85,264.08,266.34,1392100
ITW,2024-11-26,265.62,266.73,263.21,266.47,828829
ITW,2024-11-27,266.6,269.0,265.63,266.02,796024
ITW,2024-11-29,265.3,268.65,264.59,267.45,570800
ITW,2024-12-02,268.01,268.74,265.73,268.39,913800
ITW,2024-12-03,267.93,268.85,264.51,265.97,723561
ITW,2024-12-04,265.44,267.31,264.81,265.88,903104
ITW,2024-12-05,267.01,268.11,264.52,265.28,716900
ITW,2024-12-06,266.42,267.18,263.38,263.6,536500
ITW,2024-12-09,264.0,266.21,263.41,264.12,817000
ITW,2024-12-10,263.9,265.19,260.17,263.81,831117
ITW,2024-12-11,264.83,266.38,262.62,263.05,707406
ITW,2024-12-12,263.71,264.41,261.77,263.21,555300
ITW,2024-12-13,262.95,263.35,260.83,262.23,536811
ITW,2024-12-16,262.23,262.46,259.37,259.87,822965
ITW,2024-12-17,258.78,261.31,257.32,258.16,889915
ITW,2024-12-18,257.73,260.2,251.57,251.75,854212
ITW,2024-12-19,252.9,254.29,248.51,248.74,1465305
ITW,2024-12-20,248.35,252.82,247.92,249.42,2692558
ITW,2024-12-23,248.56,249.78,246.91,248.29,684565
ITW,2024-12-24,248.43,249.76,247.17,249.76,356900
ITW,2024-12-26,248.76,249.92,248.06,249.38,423200
ITW,2024-12-27,247.6,249.84,246.03,247.24,489045
ITW,2024-12-30,245.89,246.43,243.25,245.58,1292038
ITW,2024-12-31,246.02,247.33,244.99,245.8,694622
ITW,2025-01-02,247.02,248.12,242.24,242.38,748100
ITW,2025-01-03,242.72,245.29,241.01,244.57,866805
ITW,2025-01-06,244.6,246.79,242.14,242.7,790910
ITW,2025-01-07,242.84,244.73,240.38,240.99,685400
ITW,2025-01-08,239.7,241.0,239.12,240.04,1081928
ITW,2025-01-10,237.61,239.89,235.27,237.41,1152622
ITW,2025-01-13,236.52,242.2,236.27,242.06,1182640
ITW,2025-01-14,242.76,245.59,242.76,245.23,792320
ITW,2025-01-15,248.54,248.82,245.97,246.04,712600
ITW,2025-01-16,246.15,248.51,245.32,248.1,876665
ITW,2025-01-17,249.63,250.11,248.35,248.54,844800
ITW,2025-01-21,250.51,254.34,250.51,253.39,718400
ITW,2025-01-22,252.63,253.2,250.47,251.21,899514
ITW,2025-01-23,251.73,252.19,250.09,251.95,610800
ITW,2025-01-24,251.58,252.52,250.59,251.95,828417
ITW,2025-01-27,252.27,257.01,252.27,256.33,1011426
ITW,2025-01-28,254.56,255.5,250.69,250.8,905319
ITW,2025-01-29,250.11,251.65,248.23,248.54,815200
ITW,2025-01-30,249.59,252.29,249.06,252.17,1166300
ITW,2025-01-31,251.46,253.89,250.66,251.23,1254044
ITW,2025-02-03,247.69,249.58,244.29,247.63,1300506
ITW,2025-02-04,247.68,248.67,246.3,246.89,1331645
ITW,2025-02-05,240.41,246.66,237.2,246.46,2104314
ITW,2025-02-06,247.5,247.5,240.87,247.29,1231200
