symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
J,2024-08-27,122.29,122.56,121.83,122.3,424953
J,2024-08-28,122.31,122.73,121.34,121.86,465816
J,2024-08-29,122.5,123.19,121.99,122.31,640512
J,2024-08-30,122.58,123.27,121.46,123.03,1004291
J,2024-09-03,122.53,123.03,119.46,119.99,1477240
J,2024-09-04,119.61,120.34,119.01,119.73,643172
J,2024-09-05,120.15,120.54,117.24,117.37,819923
J,2024-09-06,117.56,118.58,115.59,115.72,717645
J,2024-09-09,116.23,118.57,115.9,117.86,934776
J,2024-09-10,118.12,118.12,116.36,116.72,595539
J,2024-09-11,116.27,116.35,113.99,115.75,1052529
J,2024-09-12,115.84,116.24,114.83,116.2,568941
J,2024-09-13,116.6,118.31,116.59,117.39,558907
J,2024-09-16,118.05,118.31,116.41,118.06,612343
J,2024-09-17,118.24,119.66,117.67,118.19,752100
J,2024-09-18,118.8,119.04,116.71,118.67,933808
J,2024-09-19,120.08,122.34,118.92,121.88,1195913
J,2024-09-20,121.08,121.27,120.34,121.21,963186
J,2024-09-23,121.5,122.2,120.6,120.95,956174
J,2024-09-24,121.02,122.81,121.02,122.69,781357
J,2024-09-25,123.42,125.7,123.02,125.64,1289004
J,2024-09-26,126.35,127.07,125.43,126.08,817626
J,2024-09-27,126.36,127.46,125.52,126.83,728404
J,2024-09-30,128.04,129.06,125.63,127.76,1607516
J,2024-10-01,127.8,129.03,126.56,128.91,1227958
J,2024-10-02,128.9,132.33,127.84,131.84,1431170
J,2024-10-03,131.2,135.72,131.2,135.58,1681650
J,2024-10-04,137.64,137.87,134.06,136.68,970004
J,2024-10-07,136.35,136.35,134.14,134.66,1198365
J,2024-10-08,134.89,135.2,132.96,134.06,840219
J,2024-10-09,134.02,134.73,133.24,133.99,714979
J,2024-10-10,133.76,133.92,132.57,133.49,885770
J,2024-10-11,133.62,135.44,133.59,135.15,608323
J,2024-10-14,135.16,136.5,134.71,135.99,610747
J,2024-10-15,136.16,136.37,134.88,135.03,842643
J,2024-10-16,135.11,138.27,135.11,137.85,682255
J,2024-10-17,138.21,140.02,137.23,139.67,667711
J,2024-10-18,140.18,140.51,138.72,140.46,661146
J,2024-10-21,140.46,141.1,139.6,140.1,552571
J,2024-10-22,139.96,139.96,137.98,138.36,486921
J,2024-10-23,138.1,138.96,137.53,138.0,580447
J,2024-10-24,138.17,138.93,137.04,138.36,396829
J,2024-10-25,139.29,139.29,136.84,137.45,455207
J,2024-10-28,138.11,138.55,137.47,138.11,463186
J,2024-10-29,137.96,140.41,137.24,139.71,676599
J,2024-10-30,139.55,140.87,138.27,138.3,644380
J,2024-10-31,137.81,138.88,137.2,137.5,894355
J,2024-11-01,138.3,138.77,136.35,136.57,663974
J,2024-11-04,136.76,138.0,136.23,136.78,648824
J,2024-11-05,136.93,138.64,136.93,138.59,402687
J,2024-11-06,143.22,145.63,142.52,144.39,747097
J,2024-11-07,143.87,144.14,141.38,141.68,475710
J,2024-11-08,141.82,143.6,141.09,143.22,859409
J,2024-11-11,144.3,145.11,143.28,143.67,576407
J,2024-11-12,143.78,144.51,143.17,143.89,507222
J,2024-11-13,144.45,147.24,144.13,145.98,870721
J,2024-11-14,145.26,146.07,136.81,137.53,1466621
J,2024-11-15,137.15,138.18,135.84,136.94,1042118
J,2024-11-18,137.41,138.74,136.49,137.28,817292
J,2024-11-19,133.85,136.45,128.22,130.6,1947381
J,2024-11-20,132.45,132.66,128.99,129.6,1225231
J,2024-11-21,130.14,133.28,129.35,132.47,1045249
J,2024-11-22,133.52,135.2,132.4,134.35,663671
J,2024-11-25,134.74,140.11,134.04,136.25,1217959
J,2024-11-26,136.25,137.68,135.16,137.61,963035
