symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
KD,2024-08-27,23.61,23.9,23.44,23.47,1032929
KD,2024-08-28,23.37,23.58,22.93,23.21,2698600
KD,2024-08-29,23.37,23.76,23.37,23.63,975000
KD,2024-08-30,23.68,23.84,23.41,23.69,2205440
KD,2024-09-03,23.46,23.64,22.65,22.8,1502763
KD,2024-09-04,22.75,23.51,22.72,23.37,929103
KD,2024-09-05,23.37,23.37,22.87,23.1,1416817
KD,2024-09-06,23.11,23.34,22.43,22.61,1354834
KD,2024-09-09,22.62,23.12,22.41,23.01,1171600
KD,2024-09-10,23.14,23.15,22.59,22.89,1144454
KD,2024-09-11,22.88,22.94,22.37,22.76,1179416
KD,2024-09-12,22.76,22.99,22.61,22.88,669400
KD,2024-09-13,23.01,23.26,22.87,22.93,1236714
KD,2024-09-16,22.97,23.36,22.96,23.13,1020545
KD,2024-09-17,23.28,23.43,22.93,22.98,1034633
KD,2024-09-18,23.03,23.77,22.94,23.46,1704823
KD,2024-09-19,23.98,24.11,23.41,23.75,1016700
KD,2024-09-20,23.7,24.01,23.48,23.88,2161900
KD,2024-09-23,24.0,24.07,23.61,23.62,1451252
KD,2024-09-24,23.65,23.75,23.27,23.45,1006000
KD,2024-09-25,23.37,23.38,22.64,22.7,1419238
KD,2024-09-26,23.13,23.23,22.73,23.01,1895100
KD,2024-09-27,23.23,23.23,22.87,23.01,884625
KD,2024-09-30,22.89,23.14,22.71,22.98,1269929
KD,2024-10-01,22.93,22.95,22.26,22.43,1539548
KD,2024-10-02,22.37,22.85,22.35,22.82,1184400
KD,2024-10-03,22.54,23.2,22.42,23.1,1659716
KD,2024-10-04,23.49,23.7,23.2,23.63,1361343
KD,2024-10-07,23.55,23.84,23.34,23.49,1333655
KD,2024-10-08,23.65,24.47,23.49,24.29,2051577
KD,2024-10-09,24.22,24.27,23.95,24.05,1793889
KD,2024-10-10,23.87,24.6,23.83,24.58,1595894
KD,2024-10-11,24.65,24.83,24.58,24.79,1111302
KD,2024-10-14,24.9,25.1,24.59,24.84,832343
KD,2024-10-15,24.92,25.25,24.81,24.93,1219300
KD,2024-10-16,24.92,25.1,24.73,25.03,947800
KD,2024-10-17,25.12,25.27,25.0,25.02,1058738
KD,2024-10-18,25.04,25.27,24.93,25.16,794100
KD,2024-10-21,25.0,25.17,24.22,24.41,1254568
KD,2024-10-22,24.35,24.61,24.11,24.33,1509500
KD,2024-10-23,24.19,24.42,23.96,24.01,1478900
KD,2024-10-24,24.12,24.29,23.98,24.08,796262
KD,2024-10-25,24.23,24.46,24.04,24.07,1229183
KD,2024-10-28,24.2,24.28,23.63,23.77,1609500
