symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
KMT,2024-08-27,24.61,24.79,24.36,24.51,643900
KMT,2024-08-28,24.42,24.79,24.35,24.52,559700
KMT,2024-08-29,24.67,24.85,24.52,24.57,489100
KMT,2024-08-30,24.61,24.9,24.31,24.68,756621
KMT,2024-09-03,24.41,24.69,23.86,24.05,817524
KMT,2024-09-04,24.0,24.03,23.63,23.77,593535
KMT,2024-09-05,23.82,23.87,23.31,23.36,440000
KMT,2024-09-06,23.36,23.62,23.03,23.13,515815
KMT,2024-09-09,23.09,23.46,22.75,23.25,626000
KMT,2024-09-10,23.26,23.43,23.06,23.22,514800
KMT,2024-09-11,23.13,23.65,22.65,23.59,1006115
KMT,2024-09-12,23.65,23.75,23.33,23.75,800011
KMT,2024-09-13,24.06,24.18,23.76,23.98,741636
KMT,2024-09-16,24.14,24.39,23.94,24.35,619740
KMT,2024-09-17,24.57,24.85,24.34,24.47,872744
KMT,2024-09-18,24.52,25.36,24.44,24.61,1456319
KMT,2024-09-19,25.15,25.15,24.63,24.96,717700
KMT,2024-09-20,24.79,24.79,24.44,24.53,1783241
KMT,2024-09-23,24.61,24.78,24.43,24.47,447000
KMT,2024-09-24,24.7,24.99,24.69,24.72,781800
KMT,2024-09-25,24.79,24.79,24.18,24.21,661928
KMT,2024-09-26,24.57,25.07,24.56,24.9,830900
KMT,2024-09-27,25.12,25.56,24.93,25.18,869900
KMT,2024-09-30,25.04,25.06,24.42,24.73,647400
KMT,2024-10-01,24.69,24.69,24.29,24.49,483617
KMT,2024-10-02,24.27,24.5,24.27,24.34,390200
KMT,2024-10-03,24.11,24.26,23.92,24.0,454611
KMT,2024-10-04,24.39,24.39,24.04,24.2,354000
KMT,2024-10-07,24.06,24.24,23.89,24.03,442235
KMT,2024-10-08,24.07,24.07,23.51,23.68,401500
KMT,2024-10-09,23.53,24.15,23.44,23.91,499400
KMT,2024-10-10,23.71,23.81,23.41,23.61,620700
KMT,2024-10-11,23.74,24.24,23.71,24.23,493100
KMT,2024-10-14,24.08,24.45,24.04,24.37,576100
KMT,2024-10-15,24.31,24.8,24.12,24.17,797200
KMT,2024-10-16,24.49,24.94,24.44,24.85,788029
KMT,2024-10-17,24.89,24.97,24.63,24.94,562913
KMT,2024-10-18,24.25,24.62,23.87,24.52,1206338
KMT,2024-10-21,24.39,24.56,24.05,24.26,700000
KMT,2024-10-22,24.23,24.3,23.9,24.28,694000
KMT,2024-10-23,24.07,24.24,23.55,23.94,857800
KMT,2024-10-24,23.82,24.11,23.53,24.05,761000
KMT,2024-10-25,24.23,24.38,23.82,23.85,951100
KMT,2024-10-28,24.14,24.52,24.09,24.41,867600
KMT,2024-10-29,24.2,24.43,23.95,24.35,748900
KMT,2024-10-30,24.27,24.58,24.04,24.07,741212
KMT,2024-10-31,24.0,24.2,23.81,24.15,1236116
KMT,2024-11-01,24.24,24.42,23.98,24.34,1195700
KMT,2024-11-04,24.18,24.7,24.08,24.68,1144414
KMT,2024-11-05,24.45,25.37,24.27,25.35,1685000
KMT,2024-11-06,26.85,30.7,26.82,29.79,3635591
KMT,2024-11-07,29.63,29.77,27.73,27.99,2146223
KMT,2024-11-08,27.99,28.75,27.93,28.12,1416600
KMT,2024-11-11,28.36,28.96,27.95,28.7,1183600
KMT,2024-11-12,28.57,28.66,28.14,28.16,912224
KMT,2024-11-13,28.31,28.65,28.07,28.19,1091317
KMT,2024-11-14,28.39,28.53,27.48,27.55,900600
KMT,2024-11-15,27.78,27.93,27.29,27.33,689000
KMT,2024-11-18,27.28,27.61,27.02,27.08,718541
KMT,2024-11-19,26.61,27.09,26.53,26.86,598208
KMT,2024-11-20,26.82,27.2,26.63,27.14,520800
KMT,2024-11-21,27.24,27.96,27.12,27.68,841700
KMT,2024-11-22,27.7,28.27,27.68,27.96,747745
