symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
KNF,2025-02-10,103.33,103.73,101.29,101.76,454238
KNF,2025-02-11,100.54,101.65,98.28,98.98,484819
KNF,2025-02-12,95.49,98.34,94.42,97.26,991000
KNF,2025-02-13,104.05,105.99,97.25,101.42,681800
KNF,2025-02-14,102.14,102.83,99.69,102.05,445500
KNF,2025-02-18,102.92,105.23,100.7,105.0,433406
KNF,2025-02-19,103.35,104.4,102.12,102.9,306327
KNF,2025-02-20,102.52,103.01,100.44,101.35,514029
KNF,2025-02-21,102.78,102.78,92.9,92.99,692100
KNF,2025-02-24,93.22,93.75,91.23,92.73,435205
KNF,2025-02-25,92.97,94.22,91.22,93.22,417841
KNF,2025-02-26,93.81,96.35,93.53,96.0,283000
KNF,2025-02-27,96.09,96.38,93.08,93.11,399600
KNF,2025-02-28,92.83,95.95,92.5,95.68,552946
KNF,2025-03-03,96.78,97.0,89.94,90.68,270937
KNF,2025-03-04,89.02,89.76,85.54,87.68,378433
KNF,2025-03-05,88.25,91.17,87.73,90.99,403841
KNF,2025-03-06,89.3,90.83,88.21,88.41,353896
KNF,2025-03-07,87.83,89.19,84.15,88.09,613003
KNF,2025-03-10,86.3,90.16,86.05,89.36,851200
KNF,2025-03-11,89.48,90.58,86.98,87.45,841633
KNF,2025-03-12,88.71,90.44,87.36,89.23,607000
KNF,2025-03-13,88.71,89.63,86.7,88.29,511523
KNF,2025-03-14,90.0,93.46,88.08,93.29,577600
KNF,2025-03-17,93.0,94.14,91.29,93.5,508300
KNF,2025-03-18,92.8,92.9,90.58,91.91,367441
KNF,2025-03-19,92.29,95.67,91.72,95.55,313239
KNF,2025-03-20,94.1,94.84,90.69,90.84,567033
KNF,2025-03-21,89.64,91.57,88.25,91.11,826383
KNF,2025-03-24,93.29,97.19,92.3,96.65,460400
KNF,2025-03-25,95.84,97.33,94.9,97.07,366023
KNF,2025-03-26,96.71,97.46,95.41,95.95,438949
KNF,2025-03-27,95.42,95.8,92.52,92.84,423300
KNF,2025-03-28,92.39,92.67,88.64,89.66,410420
KNF,2025-03-31,87.86,90.96,86.07,90.21,555100
KNF,2025-04-01,89.68,92.55,88.04,92.36,446440
KNF,2025-04-02,90.34,96.28,90.34,95.21,311800
KNF,2025-04-03,89.3,92.59,88.16,90.64,609000
KNF,2025-04-04,85.31,86.2,81.6,83.9,785011
KNF,2025-04-07,80.0,89.98,77.63,84.69,779238
KNF,2025-04-08,86.98,88.98,80.69,82.02,634426
KNF,2025-04-09,81.46,92.76,79.26,91.81,1023092
KNF,2025-04-10,89.22,91.05,86.47,89.27,476700
KNF,2025-04-11,88.74,94.55,88.46,93.03,836541
KNF,2025-04-14,94.08,95.46,92.37,94.0,383700
KNF,2025-04-15,94.0,95.97,94.0,94.43,320200
KNF,2025-04-16,93.09,94.92,91.01,93.07,482124
KNF,2025-04-17,92.99,93.46,91.6,91.61,330016
KNF,2025-04-21,90.22,90.22,83.48,84.41,415753
KNF,2025-04-22,86.25,88.99,85.29,88.35,462035
KNF,2025-04-23,92.4,95.0,88.58,89.51,440900
KNF,2025-04-24,89.51,93.7,88.56,93.58,470925
KNF,2025-04-25,93.08,93.22,90.43,92.5,332600
KNF,2025-04-28,92.15,93.3,90.94,92.2,238115
KNF,2025-04-29,92.13,93.31,90.14,92.35,328463
KNF,2025-04-30,90.66,93.91,88.65,93.38,452600
KNF,2025-05-01,94.05,96.31,92.77,93.92,367000
KNF,2025-05-02,95.93,98.68,95.56,96.33,457600
KNF,2025-05-05,95.15,97.82,94.28,96.91,688600
KNF,2025-05-06,93.06,97.85,89.5,91.81,1014021
KNF,2025-05-07,93.22,94.21,90.25,91.87,651500
KNF,2025-05-08,93.19,95.53,91.92,93.37,465339
KNF,2025-05-09,93.19,95.31,91.83,94.96,526100
KNF,2025-05-12,100.0,101.19,97.58,99.56,546832
KNF,2025-05-13,100.93,103.18,99.92,102.89,712732
KNF,2025-05-14,102.72,102.87,99.25,99.27,461801
KNF,2025-05-15,98.92,100.11,98.53,99.72,333200
KNF,2025-05-16,100.38,101.1,99.34,100.81,344142
KNF,2025-05-19,98.37,101.02,98.19,100.67,276600
KNF,2025-05-20,98.31,99.75,98.16,99.54,497300
KNF,2025-05-21,97.98,99.21,96.36,96.79,340400
KNF,2025-05-22,96.36,97.48,95.45,96.68,228205
KNF,2025-05-23,95.45,97.1,95.45,96.11,210812
KNF,2025-05-27,98.4,99.34,96.95,99.26,340500
KNF,2025-05-28,99.04,99.99,95.07,95.16,348509
KNF,2025-05-29,95.29,95.95,93.7,94.12,261100
KNF,2025-05-30,93.54,94.97,92.57,94.1,479538
KNF,2025-06-02,93.46,94.79,91.27,91.71,279294
KNF,2025-06-03,92.44,95.47,91.89,95.36,413800
KNF,2025-06-04,94.84,96.12,92.85,92.88,311900
KNF,2025-06-05,93.09,93.38,91.36,92.23,450100
KNF,2025-06-06,94.15,94.46,91.79,92.28,295403
KNF,2025-06-09,93.78,94.39,91.88,92.75,335500
KNF,2025-06-10,92.82,92.82,88.66,89.18,767853
KNF,2025-06-11,89.37,89.37,83.22,84.4,1086300
KNF,2025-06-12,83.99,86.13,83.61,85.2,698200
KNF,2025-06-13,83.42,84.33,79.4,80.78,1066100
KNF,2025-06-16,83.31,84.99,82.47,82.54,1022100
KNF,2025-06-17,81.15,83.13,79.94,80.45,958800
KNF,2025-06-18,80.01,81.35,78.74,79.08,1022839
KNF,2025-06-20,79.23,79.76,76.92,77.54,1133127
KNF,2025-06-23,77.28,81.36,77.02,81.06,904503
KNF,2025-06-24,81.69,84.87,80.64,84.77,1161700
KNF,2025-06-25,84.78,84.78,81.09,81.12,1256300
KNF,2025-06-26,81.71,83.32,80.76,81.51,587900
KNF,2025-06-27,82.15,85.51,81.8,82.77,1069904
KNF,2025-06-30,82.66,83.8,81.27,81.64,584300
KNF,2025-07-01,80.82,85.04,79.21,82.25,727700
KNF,2025-07-02,82.44,82.58,80.78,81.21,896431
KNF,2025-07-03,81.79,82.05,80.25,80.6,386831
KNF,2025-07-07,80.3,81.24,78.28,78.76,880200
KNF,2025-07-08,78.86,79.95,77.16,79.48,921300
KNF,2025-07-09,80.21,81.27,79.01,81.24,512100
KNF,2025-07-10,80.67,81.71,80.01,80.77,498248
KNF,2025-07-11,80.0,80.54,78.7,78.88,652643
KNF,2025-07-14,78.73,78.97,77.75,78.82,454427
