symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
KO,2024-12-05,60.27,60.89,59.91,60.7,21040400
KO,2024-12-06,60.61,61.12,60.3,60.32,15581148
KO,2024-12-09,60.48,60.71,59.71,60.39,22348331
KO,2024-12-10,60.49,60.82,59.61,60.69,14949415
KO,2024-12-11,60.78,61.39,60.2,60.43,32819011
KO,2024-12-12,61.3,61.66,60.98,61.58,17542100
KO,2024-12-13,61.32,61.58,60.88,60.89,13429033
KO,2024-12-16,61.0,61.6,60.15,60.34,24559738
KO,2024-12-17,60.24,61.3,60.12,61.16,21902400
KO,2024-12-18,60.59,61.39,60.57,60.63,20946100
KO,2024-12-19,60.48,60.93,60.19,60.24,21300647
KO,2024-12-20,60.26,60.83,60.08,60.34,42458100
KO,2024-12-23,60.3,60.55,59.36,60.18,13010800
KO,2024-12-24,60.0,60.62,59.82,60.62,5019131
KO,2024-12-26,60.41,60.52,60.2,60.36,7945641
KO,2024-12-27,60.24,60.72,60.01,60.24,8542800
KO,2024-12-30,60.14,60.14,59.5,59.84,8972212
KO,2024-12-31,59.83,60.22,59.62,60.06,9256700
KO,2025-01-02,60.15,60.54,59.45,59.66,12991000
KO,2025-01-03,59.71,59.89,59.44,59.57,10403204
KO,2025-01-06,59.33,59.39,58.52,58.66,17924237
KO,2025-01-07,58.95,59.54,58.48,58.69,17799629
KO,2025-01-08,58.84,59.59,58.78,59.53,14412400
KO,2025-01-10,59.4,59.47,58.58,58.91,22425000
KO,2025-01-13,58.97,59.66,58.56,59.47,18016200
KO,2025-01-14,59.48,59.88,59.14,59.85,16658300
KO,2025-01-15,60.13,60.41,59.5,59.59,16187203
KO,2025-01-16,59.25,60.1,59.15,60.05,12585528
KO,2025-01-17,60.1,60.55,59.97,60.49,17948900
KO,2025-01-21,60.67,60.99,60.09,60.21,19817100
KO,2025-01-22,59.93,60.09,59.48,59.6,18191900
KO,2025-01-23,59.62,59.79,59.21,59.36,16528423
KO,2025-01-24,59.54,59.82,59.27,59.73,19244604
KO,2025-01-27,60.65,61.91,60.26,61.63,20742915
KO,2025-01-28,61.27,61.78,60.08,60.16,14956031
KO,2025-01-29,60.35,61.12,60.34,60.61,11325635
KO,2025-01-30,61.6,62.02,61.0,61.79,13201000
KO,2025-01-31,61.45,61.67,61.15,61.24,12102060
KO,2025-02-03,60.95,61.38,60.22,61.11,12067900
KO,2025-02-04,61.37,61.39,60.15,60.46,15678000
KO,2025-02-05,60.5,61.05,60.38,60.89,10686800
KO,2025-02-06,61.37,61.49,60.69,61.12,13423408
KO,2025-02-07,61.18,61.66,61.03,61.58,13184700
KO,2025-02-10,61.84,62.37,61.41,62.27,16154300
KO,2025-02-11,65.11,65.28,64.06,65.21,30589148
KO,2025-02-12,64.51,66.39,64.51,66.28,26033800
KO,2025-02-13,66.56,67.15,66.33,67.04,24393148
KO,2025-02-14,66.91,67.56,66.33,66.44,20779100
KO,2025-02-18,66.13,66.92,66.0,66.61,15569122
KO,2025-02-19,66.76,67.65,66.72,67.59,16032300
KO,2025-02-20,67.25,67.6,66.97,67.57,13398010
KO,2025-02-21,67.84,69.07,67.65,68.83,21662300
KO,2025-02-24,68.34,69.2,67.85,68.1,21418442
KO,2025-02-25,68.35,69.23,68.23,68.96,21555600
KO,2025-02-26,68.75,68.76,68.04,68.3,14531200
