symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
KVUE,2024-08-27,20.7,20.78,20.45,20.62,10096300
KVUE,2024-08-28,20.65,20.66,20.31,20.43,7896100
KVUE,2024-08-29,20.52,20.63,20.25,20.46,12053526
KVUE,2024-08-30,20.54,20.65,20.43,20.65,14008532
KVUE,2024-09-03,20.46,20.92,20.37,20.79,13880041
KVUE,2024-09-04,20.74,21.29,20.7,21.18,22620800
KVUE,2024-09-05,21.23,21.34,21.06,21.18,15490312
KVUE,2024-09-06,21.18,21.64,21.17,21.51,18883374
KVUE,2024-09-09,21.52,21.86,21.29,21.83,21843100
KVUE,2024-09-10,21.79,22.09,21.54,21.69,15021200
KVUE,2024-09-11,21.78,21.85,21.33,21.72,12941500
KVUE,2024-09-12,21.73,21.81,21.42,21.71,9270147
KVUE,2024-09-13,21.79,22.03,21.68,22.01,11090876
KVUE,2024-09-16,22.11,22.16,21.8,22.0,9220846
KVUE,2024-09-17,22.09,22.13,21.78,22.01,13263749
KVUE,2024-09-18,22.06,22.13,21.72,21.82,15225687
KVUE,2024-09-19,21.95,22.06,21.53,21.54,13622620
KVUE,2024-09-20,21.48,21.67,21.37,21.66,75871900
KVUE,2024-09-23,21.48,21.78,21.42,21.66,20080844
KVUE,2024-09-24,21.66,21.82,21.45,21.74,14365346
KVUE,2024-09-25,21.84,21.95,21.58,21.64,12625752
KVUE,2024-09-26,21.78,21.91,21.67,21.76,12504567
KVUE,2024-09-27,21.77,22.05,21.66,21.88,12450109
KVUE,2024-09-30,21.98,22.1,21.71,21.76,17088315
KVUE,2024-10-01,21.8,21.81,21.34,21.43,13640547
KVUE,2024-10-02,21.36,21.38,21.07,21.29,16504922
KVUE,2024-10-03,21.15,21.21,20.93,20.95,10312466
KVUE,2024-10-04,20.98,21.03,20.81,20.85,8451647
KVUE,2024-10-07,20.9,20.93,20.59,20.69,9859300
KVUE,2024-10-08,20.77,20.78,20.48,20.56,11377100
KVUE,2024-10-09,20.53,20.6,20.23,20.26,10437994
KVUE,2024-10-10,20.27,20.32,19.99,20.06,11911801
KVUE,2024-10-11,20.12,20.24,20.05,20.19,14513039
KVUE,2024-10-14,20.09,20.4,20.03,20.32,18677100
KVUE,2024-10-15,20.31,20.69,20.26,20.47,11925405
KVUE,2024-10-16,20.37,20.55,20.34,20.44,13919613
KVUE,2024-10-17,20.55,20.55,20.1,20.18,12260700
KVUE,2024-10-18,20.23,20.45,20.12,20.43,13309715
KVUE,2024-10-21,21.59,22.0,21.45,21.56,38291807
KVUE,2024-10-22,21.21,21.68,21.19,21.57,18081263
KVUE,2024-10-23,21.47,21.6,21.17,21.41,10664380
KVUE,2024-10-24,21.54,21.72,21.43,21.61,11664244
KVUE,2024-10-25,21.6,21.66,21.29,21.3,8395809
