symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LBRDK,2024-08-27,62.77,64.09,62.61,63.73,740600
LBRDK,2024-08-28,63.56,63.91,62.92,63.76,731016
LBRDK,2024-08-29,64.08,64.16,62.83,63.1,630632
LBRDK,2024-08-30,63.38,63.38,61.93,62.38,764813
LBRDK,2024-09-03,62.1,62.46,61.39,61.6,425000
LBRDK,2024-09-04,61.76,63.29,59.67,60.2,1299841
LBRDK,2024-09-05,60.81,61.29,59.28,61.24,1187700
LBRDK,2024-09-06,61.14,62.02,59.94,60.64,637641
LBRDK,2024-09-09,60.45,61.18,59.49,59.79,816200
LBRDK,2024-09-10,60.14,60.14,58.65,59.57,583900
LBRDK,2024-09-11,59.64,59.95,58.35,59.56,622238
LBRDK,2024-09-12,59.61,61.29,59.47,61.1,573359
LBRDK,2024-09-13,61.47,62.41,60.78,61.18,386100
LBRDK,2024-09-16,61.54,62.22,61.2,61.8,540648
LBRDK,2024-09-17,62.36,62.85,61.34,61.79,450200
LBRDK,2024-09-18,61.73,63.27,61.02,62.45,521700
LBRDK,2024-09-19,63.47,63.7,60.88,60.92,693700
LBRDK,2024-09-20,60.85,61.44,59.85,60.32,2155140
LBRDK,2024-09-23,60.34,61.21,60.05,61.04,799445
LBRDK,2024-09-24,75.38,78.18,74.0,76.86,7866400
LBRDK,2024-09-25,76.56,76.56,73.89,74.15,2439500
LBRDK,2024-09-26,74.69,76.11,74.38,75.46,1420405
LBRDK,2024-09-27,75.91,79.77,75.53,78.14,1411100
LBRDK,2024-09-30,77.63,78.42,76.69,77.29,1249500
LBRDK,2024-10-01,77.0,79.33,76.47,79.08,1764437
LBRDK,2024-10-02,78.97,80.34,78.15,79.24,1387002
LBRDK,2024-10-03,78.47,79.2,76.23,77.18,1026700
LBRDK,2024-10-04,77.65,78.3,77.17,77.91,913100
LBRDK,2024-10-07,77.91,78.52,76.76,77.55,912118
LBRDK,2024-10-08,77.1,78.61,76.73,78.34,1160242
LBRDK,2024-10-09,78.44,80.2,77.13,80.12,871402
LBRDK,2024-10-10,80.4,81.33,79.08,79.43,860600
LBRDK,2024-10-11,79.38,80.31,78.93,79.0,574131
LBRDK,2024-10-14,78.71,80.64,78.45,80.42,584000
LBRDK,2024-10-15,80.62,82.06,80.07,80.25,1162000
LBRDK,2024-10-16,80.52,81.25,79.85,80.15,858601
LBRDK,2024-10-17,80.29,80.29,79.32,80.06,969700
LBRDK,2024-10-18,80.5,80.82,79.05,79.7,739800
LBRDK,2024-10-21,79.79,79.79,77.13,77.45,650800
LBRDK,2024-10-22,77.27,81.61,77.27,81.29,1083250
LBRDK,2024-10-23,80.25,81.73,80.25,81.32,554100
LBRDK,2024-10-24,81.89,82.35,80.82,80.91,612400
LBRDK,2024-10-25,81.16,82.35,80.88,81.89,501500
LBRDK,2024-10-28,82.12,82.98,81.08,81.34,581027
LBRDK,2024-10-29,80.73,81.17,79.71,80.4,925800
LBRDK,2024-10-30,80.23,82.1,80.02,81.62,895330
LBRDK,2024-10-31,84.54,86.17,80.54,80.82,1328643
LBRDK,2024-11-01,87.31,93.66,87.3,89.9,2310600
LBRDK,2024-11-04,90.55,93.25,90.15,91.7,1627203
LBRDK,2024-11-05,91.43,94.48,90.95,93.26,1404900
LBRDK,2024-11-06,94.51,101.5,94.51,101.4,2286700
LBRDK,2024-11-07,97.69,99.63,96.17,96.98,1515000
LBRDK,2024-11-08,97.95,98.29,96.86,97.81,1388700
LBRDK,2024-11-11,98.45,99.82,97.39,98.46,1469400
LBRDK,2024-11-12,97.59,98.96,97.32,97.62,1443453
LBRDK,2024-11-13,93.64,94.93,90.0,92.69,5227534
LBRDK,2024-11-14,92.36,93.37,89.08,89.72,3623843
LBRDK,2024-11-15,88.8,90.24,88.14,88.32,1541034
LBRDK,2024-11-18,87.83,88.75,87.06,87.25,2074713
LBRDK,2024-11-19,86.43,87.94,86.43,86.62,1446143
LBRDK,2024-11-20,86.6,88.06,86.24,87.56,772800
LBRDK,2024-11-21,87.41,87.9,86.37,86.49,735900
LBRDK,2024-11-22,86.42,88.18,86.04,86.92,1035200
LBRDK,2024-11-25,87.27,87.36,85.32,85.7,1275200
LBRDK,2024-11-26,85.78,86.54,84.87,85.32,1237900
LBRDK,2024-11-27,85.33,86.2,84.24,84.38,1200700
LBRDK,2024-11-29,85.0,85.36,84.51,85.14,614006
LBRDK,2024-12-02,84.73,85.47,84.24,84.61,1530800
LBRDK,2024-12-03,85.03,86.19,84.29,85.81,1039017
LBRDK,2024-12-04,85.76,86.72,85.53,86.36,1066600
LBRDK,2024-12-05,86.3,86.57,85.36,86.48,569200
LBRDK,2024-12-06,86.49,87.23,86.19,86.5,1555023
LBRDK,2024-12-09,86.49,86.49,78.17,78.27,1489900
LBRDK,2024-12-10,78.45,82.37,78.43,80.89,1376441
LBRDK,2024-12-11,81.27,81.5,80.25,81.43,857639
LBRDK,2024-12-12,81.43,83.76,81.27,83.31,792034
LBRDK,2024-12-13,82.96,82.96,81.68,82.38,920100
LBRDK,2024-12-16,81.63,83.15,81.55,81.98,1040100
LBRDK,2024-12-17,81.17,81.68,80.22,80.44,1346733
LBRDK,2024-12-18,80.51,80.96,77.74,77.8,957100
LBRDK,2024-12-19,77.58,78.28,76.89,77.42,1178800
LBRDK,2024-12-20,77.05,78.04,76.36,77.5,1255200
LBRDK,2024-12-23,77.03,77.15,76.03,76.38,963003
LBRDK,2024-12-24,76.2,76.9,76.04,76.84,299400
LBRDK,2024-12-26,76.68,77.15,76.53,76.82,808604
