symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LEU,2024-08-28,39.27,39.3,37.73,38.0,171243
LEU,2024-08-29,38.48,39.64,38.16,39.35,122319
LEU,2024-08-30,39.25,39.85,38.8,39.6,176700
LEU,2024-09-03,38.65,38.99,35.58,35.87,308646
LEU,2024-09-04,35.94,36.76,35.85,36.76,191972
LEU,2024-09-05,37.05,37.83,36.8,37.23,179800
LEU,2024-09-06,37.12,37.19,34.91,35.36,207418
LEU,2024-09-09,36.0,36.52,35.6,35.85,144000
LEU,2024-09-10,37.08,37.08,35.56,36.32,209130
LEU,2024-09-11,37.52,40.12,37.24,39.89,478708
LEU,2024-09-12,40.0,40.15,38.77,39.4,192603
LEU,2024-09-13,39.83,40.05,39.03,39.53,185400
LEU,2024-09-16,39.75,40.11,39.12,39.86,153172
LEU,2024-09-17,40.14,40.66,39.19,39.86,133738
LEU,2024-09-18,40.11,41.17,39.51,39.82,190737
LEU,2024-09-19,41.12,41.5,40.34,41.45,171753
LEU,2024-09-20,42.48,45.7,42.2,45.01,768345
LEU,2024-09-23,46.46,51.49,45.92,50.3,822600
LEU,2024-09-24,51.95,53.65,50.51,53.04,552243
LEU,2024-09-25,53.03,57.54,52.47,55.04,702706
LEU,2024-09-26,56.4,57.38,54.6,54.79,409536
LEU,2024-09-27,54.87,57.84,54.17,57.72,329000
LEU,2024-09-30,58.0,58.79,54.28,54.85,448027
LEU,2024-10-01,54.76,59.99,54.76,59.79,420100
LEU,2024-10-02,60.57,65.44,59.01,64.3,643000
LEU,2024-10-03,67.01,67.01,62.76,64.87,546627
LEU,2024-10-04,64.83,67.93,64.13,67.82,467206
LEU,2024-10-07,69.5,69.5,63.96,64.66,757800
LEU,2024-10-08,61.2,65.73,61.09,65.25,492321
LEU,2024-10-09,66.16,67.16,62.81,63.05,500145
LEU,2024-10-10,60.87,61.49,55.02,55.8,1289200
LEU,2024-10-11,56.36,59.84,55.38,59.46,499082
LEU,2024-10-14,59.63,59.9,56.95,59.12,499400
LEU,2024-10-15,59.6,64.38,58.97,61.3,600807
