symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LHX,2024-08-27,221.52,223.15,219.06,222.78,597639
LHX,2024-08-28,223.25,225.93,223.08,224.61,551342
LHX,2024-08-29,225.66,227.9,222.72,226.28,602905
LHX,2024-08-30,226.35,229.44,225.83,229.18,698437
LHX,2024-09-03,229.19,230.29,226.45,227.83,754123
LHX,2024-09-04,228.34,230.69,228.34,229.01,718913
LHX,2024-09-05,229.81,229.81,223.06,225.16,684401
LHX,2024-09-06,224.92,226.72,220.23,221.14,640300
LHX,2024-09-09,222.04,223.64,221.54,223.13,818736
LHX,2024-09-10,223.83,224.32,220.44,221.78,570303
LHX,2024-09-11,220.48,221.22,216.07,220.93,727745
LHX,2024-09-12,220.27,222.58,219.58,222.06,780343
LHX,2024-09-13,222.32,224.83,221.68,223.61,652617
LHX,2024-09-16,225.77,228.0,223.46,225.5,503210
LHX,2024-09-17,223.77,224.62,221.33,223.55,544500
LHX,2024-09-18,224.29,225.81,222.32,223.55,563100
LHX,2024-09-19,225.08,225.53,222.74,224.28,689704
LHX,2024-09-20,223.59,227.31,223.09,226.96,1265900
LHX,2024-09-23,227.17,231.69,226.92,231.36,687589
LHX,2024-09-24,231.0,231.26,227.49,228.45,752400
LHX,2024-09-25,229.21,229.33,226.27,227.07,754600
LHX,2024-09-26,226.12,228.63,225.17,225.35,565800
LHX,2024-09-27,225.82,229.05,225.29,228.69,777500
LHX,2024-09-30,229.68,232.1,227.86,231.5,879534
LHX,2024-10-01,231.11,240.71,229.43,238.72,1250300
LHX,2024-10-02,238.71,240.14,237.56,238.1,686407
LHX,2024-10-03,238.12,239.34,236.11,236.59,691935
LHX,2024-10-04,236.23,237.25,234.87,237.13,372741
LHX,2024-10-07,237.54,237.6,234.66,235.28,412167
LHX,2024-10-08,236.48,237.12,233.16,234.81,462100
LHX,2024-10-09,234.44,236.87,234.44,235.73,378800
LHX,2024-10-10,239.3,239.3,234.56,235.86,651927
LHX,2024-10-11,236.61,239.74,236.16,239.45,692261
LHX,2024-10-14,240.19,241.79,238.68,241.58,461638
LHX,2024-10-15,242.33,242.33,237.71,238.73,573715
LHX,2024-10-16,238.26,241.7,238.26,241.49,491500
LHX,2024-10-17,241.95,242.31,240.14,241.63,699347
LHX,2024-10-18,242.32,242.48,240.34,242.11,481946
LHX,2024-10-21,243.3,244.16,240.83,241.5,703395
LHX,2024-10-22,241.21,241.21,236.24,238.37,534722
LHX,2024-10-23,240.15,241.16,238.15,239.23,460005
LHX,2024-10-24,239.41,239.89,236.88,237.63,845319
LHX,2024-10-25,250.9,251.95,245.24,246.03,1622126
LHX,2024-10-28,246.37,246.65,241.31,241.38,1033481
LHX,2024-10-29,242.76,243.25,238.5,238.5,689491
LHX,2024-10-30,238.45,240.44,238.17,238.83,714282
LHX,2024-10-31,239.61,242.59,238.39,240.84,1254021
LHX,2024-11-01,241.91,244.98,240.66,240.85,852200
LHX,2024-11-04,241.29,241.95,238.31,240.45,791503
LHX,2024-11-05,240.77,244.47,240.44,244.22,593342
