symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LINE,2024-08-27,76.94,79.39,76.94,79.39,554244
LINE,2024-08-28,78.16,78.88,76.55,77.74,495929
LINE,2024-08-29,77.47,77.83,76.53,77.04,305100
LINE,2024-08-30,76.55,78.14,76.41,77.43,367202
LINE,2024-09-03,75.67,77.24,74.82,75.36,700741
LINE,2024-09-04,74.75,78.34,74.75,76.47,692197
LINE,2024-09-05,75.79,77.7,75.79,76.72,390300
LINE,2024-09-06,76.57,77.63,74.06,74.76,555051
LINE,2024-09-09,75.05,76.85,74.91,76.42,575210
LINE,2024-09-10,75.95,76.82,74.69,75.55,520175
LINE,2024-09-11,75.15,76.24,73.85,75.45,704105
LINE,2024-09-12,75.21,77.5,75.1,76.09,996100
LINE,2024-09-13,76.06,77.84,75.55,76.83,1132400
LINE,2024-09-16,77.41,78.32,76.14,76.26,579600
LINE,2024-09-17,76.67,77.28,75.85,76.04,595323
LINE,2024-09-18,76.8,77.04,75.82,76.11,945000
LINE,2024-09-19,77.52,77.9,75.65,75.79,1142805
LINE,2024-09-20,75.67,76.36,74.18,74.7,5066200
LINE,2024-09-23,75.36,75.5,74.39,74.43,1006850
LINE,2024-09-24,74.66,74.98,73.36,73.62,1749360
LINE,2024-09-25,73.62,74.36,72.68,72.89,872923
LINE,2024-09-26,73.14,74.46,72.16,72.23,849460
LINE,2024-09-27,72.77,73.83,72.04,72.25,1522336
LINE,2024-09-30,72.18,73.56,71.76,72.68,2584322
LINE,2024-10-01,72.86,73.87,70.61,71.15,2119733
LINE,2024-10-02,70.9,71.72,70.37,70.4,2058804
LINE,2024-10-03,70.34,71.41,70.22,71.17,2628409
LINE,2024-10-04,71.75,72.11,70.75,71.28,1580877
LINE,2024-10-07,71.01,71.35,69.08,69.61,950670
LINE,2024-10-08,69.61,70.24,69.35,69.95,870987
LINE,2024-10-09,69.8,70.11,68.06,68.88,845100
LINE,2024-10-10,68.8,69.62,67.84,68.61,1002553
LINE,2024-10-11,68.87,70.04,68.87,69.8,624096
