symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LMND,2024-08-27,18.4,18.49,17.91,18.16,935128
LMND,2024-08-28,18.03,18.03,17.28,17.67,1507300
LMND,2024-08-29,17.87,19.3,17.73,18.57,1733441
LMND,2024-08-30,18.7,19.06,18.23,18.53,698200
LMND,2024-09-03,18.42,18.81,18.15,18.33,982300
LMND,2024-09-04,18.21,19.42,18.06,18.77,1019600
LMND,2024-09-05,18.92,19.3,18.43,18.89,886542
LMND,2024-09-06,19.01,19.2,18.2,18.4,879600
LMND,2024-09-09,18.5,18.51,17.82,18.14,905062
LMND,2024-09-10,18.24,18.41,17.58,17.95,788112
LMND,2024-09-11,17.65,17.72,17.27,17.35,1095233
LMND,2024-09-12,17.35,18.19,17.29,18.02,897800
LMND,2024-09-13,18.18,18.49,17.97,18.24,733885
LMND,2024-09-16,18.1,18.44,17.99,18.29,700506
LMND,2024-09-17,18.46,18.75,18.18,18.18,566135
LMND,2024-09-18,18.27,18.93,17.97,18.22,958000
LMND,2024-09-19,18.84,18.88,18.33,18.42,1176400
LMND,2024-09-20,18.39,18.85,18.18,18.34,2407433
LMND,2024-09-23,18.3,18.33,17.15,17.46,1664400
LMND,2024-09-24,17.5,17.51,16.72,17.23,1452832
LMND,2024-09-25,17.16,17.5,17.03,17.17,928567
LMND,2024-09-26,17.36,17.41,16.97,17.05,1039900
LMND,2024-09-27,17.21,17.45,16.87,16.95,953600
LMND,2024-09-30,16.87,17.16,16.44,16.49,1227453
LMND,2024-10-01,16.47,16.5,16.04,16.15,1142933
LMND,2024-10-02,16.0,16.53,15.88,16.32,1319400
LMND,2024-10-03,16.17,16.51,16.04,16.5,696819
LMND,2024-10-04,16.62,16.89,16.1,16.69,906477
LMND,2024-10-07,16.22,16.41,15.42,15.65,2656400
LMND,2024-10-08,15.72,15.98,15.67,15.73,917332
LMND,2024-10-09,15.53,16.39,15.27,16.35,1302200
LMND,2024-10-10,16.19,17.15,16.08,16.92,1695102
LMND,2024-10-11,16.92,17.46,16.87,17.39,1493400
LMND,2024-10-14,17.49,17.65,17.16,17.54,1080800
LMND,2024-10-15,17.66,18.96,17.59,18.71,1878043
LMND,2024-10-16,18.8,19.54,18.71,19.19,1574218
LMND,2024-10-17,19.39,19.39,18.58,19.02,1010700
LMND,2024-10-18,19.07,19.43,18.56,18.59,1062227
LMND,2024-10-21,18.5,18.83,18.38,18.59,733090
LMND,2024-10-22,18.31,18.75,18.01,18.64,725856
LMND,2024-10-23,18.64,18.75,18.03,18.61,849100
LMND,2024-10-24,18.79,19.19,18.43,18.95,829729
LMND,2024-10-25,19.0,19.15,18.41,18.43,875800
LMND,2024-10-28,18.7,19.11,18.53,18.64,995140
LMND,2024-10-29,18.64,18.64,18.02,18.07,818110
LMND,2024-10-30,18.06,19.13,17.91,18.75,2318745
LMND,2024-10-31,20.88,25.4,20.42,23.77,9628524
LMND,2024-11-01,24.29,25.98,24.03,24.15,3895800
LMND,2024-11-04,24.04,25.17,23.55,23.57,2119123
LMND,2024-11-05,23.63,25.1,23.5,25.05,2021912
LMND,2024-11-06,26.29,29.41,26.29,29.29,3267500
LMND,2024-11-07,28.14,28.7,26.89,27.33,3159318
LMND,2024-11-08,27.37,28.99,27.01,28.44,2233415
LMND,2024-11-11,29.5,34.95,29.35,34.24,5757300
LMND,2024-11-12,33.12,34.05,32.18,32.27,2473300
LMND,2024-11-13,32.91,33.62,31.97,31.99,1622889
LMND,2024-11-14,33.0,34.12,31.41,31.71,1572400
LMND,2024-11-15,31.97,35.17,31.7,33.3,2765800
LMND,2024-11-18,32.71,34.85,32.51,34.31,2774600
LMND,2024-11-19,34.2,40.49,34.04,40.14,6075115
LMND,2024-11-20,42.88,48.15,42.48,46.58,9349300
LMND,2024-11-21,46.36,52.22,45.0,50.36,9914400
LMND,2024-11-22,49.41,51.67,47.15,49.28,4444100
LMND,2024-11-25,50.32,53.85,48.31,51.02,3924016
LMND,2024-11-26,49.68,52.45,48.97,49.93,2317613
LMND,2024-11-27,50.06,51.23,47.47,49.16,2105829
LMND,2024-11-29,49.37,52.69,48.79,51.81,2018237
LMND,2024-12-02,52.27,52.27,45.25,45.91,4563900
LMND,2024-12-03,45.5,46.7,44.31,45.08,2248600
LMND,2024-12-04,44.91,47.16,43.6,46.12,1934340
LMND,2024-12-05,46.5,47.96,45.35,46.01,1576600
LMND,2024-12-06,46.57,48.0,46.28,47.03,1814439
LMND,2024-12-09,47.02,47.5,42.64,44.55,1989718
