symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LNT,2024-08-27,55.02,55.08,54.42,54.46,664000
LNT,2024-08-28,54.55,54.99,54.49,54.66,972109
LNT,2024-08-29,54.59,54.83,54.13,54.8,741633
LNT,2024-08-30,54.88,55.23,54.65,55.1,1096701
LNT,2024-09-03,55.23,56.01,55.08,55.6,1276300
LNT,2024-09-04,55.75,56.25,55.52,55.92,1149675
LNT,2024-09-05,56.55,56.55,55.59,55.77,1126122
LNT,2024-09-06,55.83,55.85,55.33,55.4,996100
LNT,2024-09-09,55.58,56.04,55.38,56.03,901648
LNT,2024-09-10,56.04,56.28,55.82,56.13,1107500
LNT,2024-09-11,55.88,56.01,55.34,55.8,1067532
LNT,2024-09-12,55.83,56.08,55.33,55.71,952000
LNT,2024-09-13,55.94,56.42,55.61,56.41,797739
LNT,2024-09-16,56.64,57.22,56.49,57.22,1439200
LNT,2024-09-17,57.07,57.37,56.88,57.03,1054612
LNT,2024-09-18,56.84,57.26,56.69,57.05,1331545
LNT,2024-09-19,56.72,56.84,56.11,56.5,1462800
LNT,2024-09-20,56.55,56.8,56.26,56.48,3115330
LNT,2024-09-23,56.77,57.13,56.6,57.07,1103800
LNT,2024-09-24,56.58,57.46,56.28,56.79,924700
LNT,2024-09-25,57.1,57.1,56.47,56.69,1179703
LNT,2024-09-26,56.66,57.23,56.49,56.65,1046023
LNT,2024-09-27,56.89,57.55,56.67,57.44,1074700
LNT,2024-09-30,57.44,57.72,56.96,57.39,1538002
LNT,2024-10-01,57.19,57.78,56.89,57.71,1609500
LNT,2024-10-02,57.21,57.71,57.12,57.3,1456119
LNT,2024-10-03,57.35,57.62,57.12,57.28,898400
LNT,2024-10-04,56.99,57.09,56.48,56.92,935730
LNT,2024-10-07,56.56,56.67,55.99,56.12,1440408
LNT,2024-10-08,56.22,56.68,56.1,56.35,1664100
LNT,2024-10-09,56.37,56.75,56.06,56.32,1131000
LNT,2024-10-10,56.43,56.74,55.73,55.78,1103900
LNT,2024-10-11,55.78,56.51,55.78,56.43,1120833
LNT,2024-10-14,56.57,57.19,56.4,57.1,977600
LNT,2024-10-15,57.57,58.3,57.43,57.76,1615500
LNT,2024-10-16,57.84,59.03,57.8,58.91,1760600
LNT,2024-10-17,58.95,59.09,58.53,58.61,1585409
LNT,2024-10-18,58.47,58.96,58.24,58.79,1212419
LNT,2024-10-21,58.85,58.86,57.99,58.03,973100
LNT,2024-10-22,57.64,57.98,57.43,57.72,1272619
