symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LOPE,2025-02-07,182.27,183.79,180.12,180.45,143600
LOPE,2025-02-10,180.88,182.38,180.75,181.8,110005
LOPE,2025-02-11,180.7,182.43,180.18,182.0,184500
LOPE,2025-02-12,180.46,183.01,180.14,182.11,121770
LOPE,2025-02-13,182.92,183.86,181.79,182.94,96900
LOPE,2025-02-14,183.22,185.52,183.22,183.7,150330
LOPE,2025-02-18,184.22,185.66,183.38,185.52,175000
LOPE,2025-02-19,183.38,185.34,183.27,184.02,404300
LOPE,2025-02-20,183.17,192.18,183.17,187.27,506149
LOPE,2025-02-21,188.1,189.27,181.56,181.7,229100
LOPE,2025-02-24,182.06,182.06,176.3,177.59,246000
LOPE,2025-02-25,178.39,179.04,176.6,177.33,225846
LOPE,2025-02-26,176.65,181.92,176.65,179.39,162233
LOPE,2025-02-27,179.73,183.62,177.0,178.18,219300
LOPE,2025-02-28,179.01,180.91,176.82,179.82,227200
LOPE,2025-03-03,180.03,182.23,178.63,180.9,276400
LOPE,2025-03-04,179.36,183.55,176.37,179.68,191800
LOPE,2025-03-05,178.95,181.11,175.55,181.0,250900
LOPE,2025-03-06,179.76,180.44,172.84,173.19,168622
LOPE,2025-03-07,172.27,172.32,165.52,170.53,198228
LOPE,2025-03-10,169.71,171.72,165.59,167.83,204713
LOPE,2025-03-11,167.44,170.73,165.75,168.05,175700
LOPE,2025-03-12,170.17,170.17,166.86,168.57,212613
LOPE,2025-03-13,168.36,168.47,163.96,164.86,149144
LOPE,2025-03-14,165.59,169.5,162.67,168.91,216438
LOPE,2025-03-17,167.79,170.3,166.9,169.64,135020
LOPE,2025-03-18,168.9,169.45,167.0,167.25,124255
LOPE,2025-03-19,167.83,170.83,167.72,170.48,160000
LOPE,2025-03-20,168.88,171.07,168.88,170.1,142200
LOPE,2025-03-21,169.27,169.82,167.32,168.82,548691
LOPE,2025-03-24,170.79,173.41,169.6,173.37,184100
LOPE,2025-03-25,173.96,175.0,170.97,172.23,261900
LOPE,2025-03-26,173.93,174.2,171.92,173.07,198300
LOPE,2025-03-27,172.26,178.25,171.84,178.18,214800
LOPE,2025-03-28,177.8,177.85,173.41,174.94,273900
LOPE,2025-03-31,172.69,173.91,171.06,173.02,264615
LOPE,2025-04-01,173.31,178.39,171.48,176.81,297700
LOPE,2025-04-02,174.91,180.99,173.25,180.77,213626
LOPE,2025-04-03,174.84,176.54,173.15,175.15,234626
LOPE,2025-04-04,169.68,172.55,165.87,167.21,347615
LOPE,2025-04-07,160.43,169.09,159.38,166.95,454000
LOPE,2025-04-08,171.1,173.75,161.56,162.37,404221
LOPE,2025-04-09,160.65,175.17,160.65,174.07,257366
LOPE,2025-04-10,171.26,173.79,166.48,170.31,235900
LOPE,2025-04-11,170.37,174.39,168.67,172.4,202700
LOPE,2025-04-14,173.26,175.2,170.86,174.11,143616
LOPE,2025-04-15,174.67,177.93,174.09,177.74,130832
LOPE,2025-04-16,177.11,178.97,174.5,178.67,407303
LOPE,2025-04-17,179.19,180.38,173.78,174.32,182100
LOPE,2025-04-21,173.64,174.02,167.63,168.22,197612
LOPE,2025-04-22,169.56,173.6,168.12,173.36,206541
LOPE,2025-04-23,175.99,180.95,174.02,175.6,165648
LOPE,2025-04-24,175.88,177.15,173.93,174.95,199500
LOPE,2025-04-25,175.16,175.76,172.37,175.64,216700
LOPE,2025-04-28,175.25,177.64,173.98,175.92,220400
LOPE,2025-04-29,175.33,178.49,175.2,177.89,183709
LOPE,2025-04-30,176.52,178.66,175.23,178.37,205200
LOPE,2025-05-01,178.23,181.12,177.49,178.97,149247
LOPE,2025-05-02,180.8,186.91,179.17,186.25,225403
LOPE,2025-05-05,184.36,189.37,184.36,186.08,260039
LOPE,2025-05-06,184.44,186.39,183.54,185.45,233150
LOPE,2025-05-07,194.33,202.28,191.89,194.01,596933
LOPE,2025-05-08,194.52,196.29,192.15,192.84,317142
LOPE,2025-05-09,192.22,197.0,191.61,196.1,334003
LOPE,2025-05-12,198.27,198.58,194.58,195.73,257500
LOPE,2025-05-13,195.82,197.13,194.86,195.09,212215
LOPE,2025-05-14,194.21,197.39,192.35,194.25,202822
LOPE,2025-05-15,194.85,196.65,194.85,195.74,137000
LOPE,2025-05-16,195.56,197.44,194.7,197.44,166228
LOPE,2025-05-19,196.45,198.09,195.61,197.98,160000
LOPE,2025-05-20,197.26,197.88,196.55,197.11,104600
LOPE,2025-05-21,195.68,196.7,193.29,193.99,133729
LOPE,2025-05-22,193.26,195.29,193.12,193.41,136400
LOPE,2025-05-23,192.87,195.83,192.52,194.17,117100
LOPE,2025-05-27,195.46,196.98,193.64,196.84,155810
LOPE,2025-05-28,196.44,197.78,195.06,195.57,125900
LOPE,2025-05-29,196.12,196.98,194.5,195.36,106200
LOPE,2025-05-30,194.83,198.32,194.45,197.85,192800
LOPE,2025-06-02,196.89,201.08,195.28,200.76,194700
LOPE,2025-06-03,200.43,202.01,193.33,197.35,183154
LOPE,2025-06-04,197.35,199.41,193.02,194.83,321232
LOPE,2025-06-05,194.79,196.3,188.83,190.54,274825
LOPE,2025-06-06,191.76,194.32,189.58,194.2,225500
LOPE,2025-06-09,194.43,195.3,183.66,185.54,273326
LOPE,2025-06-10,186.03,186.53,182.66,183.45,144900
LOPE,2025-06-11,183.64,185.41,182.81,183.51,166302
LOPE,2025-06-12,183.36,186.1,182.63,183.75,223146
LOPE,2025-06-13,182.01,185.75,181.2,184.86,229600
LOPE,2025-06-16,186.01,190.07,185.57,186.69,192516
LOPE,2025-06-17,186.52,187.2,183.63,185.66,184710
LOPE,2025-06-18,186.33,189.15,185.76,188.34,206430
LOPE,2025-06-20,189.07,190.31,188.31,188.59,685112
LOPE,2025-06-23,189.04,192.68,187.96,191.67,147244
LOPE,2025-06-24,191.95,191.95,188.67,189.08,126700
LOPE,2025-06-25,189.87,189.99,184.92,185.47,172500
LOPE,2025-06-26,185.49,186.81,184.5,186.81,144732
LOPE,2025-06-27,187.16,191.81,185.43,189.45,364547
LOPE,2025-06-30,189.95,191.34,186.76,189.0,248800
LOPE,2025-07-01,189.06,191.0,187.99,189.29,182843
LOPE,2025-07-02,188.47,190.11,180.57,182.51,255000
LOPE,2025-07-03,183.18,185.29,180.54,183.43,135500
LOPE,2025-07-07,181.94,184.01,179.21,179.84,228700
LOPE,2025-07-08,180.08,181.54,178.07,178.72,261626
LOPE,2025-07-09,178.27,178.27,174.83,176.36,226130
LOPE,2025-07-10,176.68,177.49,173.95,174.23,167320
LOPE,2025-07-11,174.3,175.2,172.12,172.79,163304
LOPE,2025-07-14,173.24,174.65,172.3,172.78,155308
LOPE,2025-07-15,172.61,172.74,169.79,169.85,156300
LOPE,2025-07-16,170.41,171.21,168.28,169.37,201700
LOPE,2025-07-17,169.83,170.98,168.75,170.42,190324
LOPE,2025-07-18,171.41,172.37,169.91,171.82,208137
