symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LUNR,2024-08-27,5.09,5.18,4.86,4.88,4456800
LUNR,2024-08-28,4.82,4.82,4.5,4.67,4923200
LUNR,2024-08-29,4.77,5.18,4.76,4.82,10857516
LUNR,2024-08-30,5.95,6.0,4.94,4.97,48433740
LUNR,2024-09-03,4.96,5.33,4.76,5.2,11860700
LUNR,2024-09-04,5.18,5.69,5.07,5.28,13492012
LUNR,2024-09-05,5.26,5.34,5.03,5.1,7502041
LUNR,2024-09-06,5.08,5.15,4.72,5.04,7012100
LUNR,2024-09-09,5.01,5.59,4.95,5.52,10252500
LUNR,2024-09-10,5.51,5.85,5.47,5.81,8433502
LUNR,2024-09-11,5.78,5.81,5.42,5.63,5922336
LUNR,2024-09-12,5.65,6.31,5.51,5.7,19071000
LUNR,2024-09-13,5.66,6.17,5.52,6.13,10581912
LUNR,2024-09-16,6.09,6.26,5.7,5.72,7957820
LUNR,2024-09-17,5.78,5.87,5.34,5.4,25959400
LUNR,2024-09-18,8.38,8.95,7.44,7.47,141864600
LUNR,2024-09-19,7.7,9.54,7.37,9.28,89593600
LUNR,2024-09-20,9.12,9.85,8.65,9.15,59291910
LUNR,2024-09-23,9.01,9.02,8.0,8.03,27845619
LUNR,2024-09-24,7.82,8.33,7.51,7.64,17490837
LUNR,2024-09-25,7.63,8.17,7.57,7.99,16363617
LUNR,2024-09-26,7.9,8.23,7.72,7.98,13828400
LUNR,2024-09-27,7.99,8.98,7.98,8.78,23886800
LUNR,2024-09-30,8.61,8.75,7.92,8.05,15748838
LUNR,2024-10-01,8.07,8.22,7.54,7.57,11157410
LUNR,2024-10-02,7.52,7.63,7.22,7.35,9329200
LUNR,2024-10-03,7.33,7.62,7.08,7.15,7240949
LUNR,2024-10-04,7.35,7.75,7.2,7.62,10056938
LUNR,2024-10-07,7.64,7.64,7.22,7.36,6006709
LUNR,2024-10-08,7.32,8.01,7.22,7.39,13694503
LUNR,2024-10-09,7.26,7.38,6.7,7.12,10364725
LUNR,2024-10-10,7.2,7.34,7.0,7.23,5932202
LUNR,2024-10-11,7.17,7.7,7.07,7.61,10301600
LUNR,2024-10-14,7.61,8.0,7.43,7.82,8800300
LUNR,2024-10-15,7.76,8.19,7.5,8.08,9611100
LUNR,2024-10-16,8.06,8.71,8.06,8.37,14139416
LUNR,2024-10-17,8.3,8.55,7.95,8.35,8429000
LUNR,2024-10-18,8.39,8.68,8.22,8.24,8094909
LUNR,2024-10-21,8.28,8.4,7.74,8.01,9025300
LUNR,2024-10-22,8.05,8.76,7.93,8.58,13854320
LUNR,2024-10-23,8.52,8.74,7.92,8.07,11720708
LUNR,2024-10-24,8.05,8.48,7.76,7.92,11110306
LUNR,2024-10-25,7.97,8.23,7.85,7.99,7581020
LUNR,2024-10-28,8.02,8.66,7.94,8.22,14217500
LUNR,2024-10-29,8.23,8.4,8.06,8.32,6708300
LUNR,2024-10-30,8.22,8.52,7.85,7.86,11187900
LUNR,2024-10-31,8.02,8.02,7.41,7.8,8348313
LUNR,2024-11-01,7.83,8.15,7.71,8.11,6963302
LUNR,2024-11-04,8.05,8.12,7.55,7.58,6961700
LUNR,2024-11-05,7.66,7.87,7.64,7.74,3963400
LUNR,2024-11-06,8.04,8.33,7.76,8.26,11957023
LUNR,2024-11-07,8.39,10.01,8.26,9.52,33700527
LUNR,2024-11-08,9.65,9.82,9.24,9.73,13631623
LUNR,2024-11-11,10.35,11.02,9.6,11.0,18414200
LUNR,2024-11-12,10.71,11.0,10.26,10.4,12708715
LUNR,2024-11-13,11.3,12.99,10.6,11.76,40556601
LUNR,2024-11-14,14.21,14.9,10.11,10.23,62951900
LUNR,2024-11-15,10.12,12.63,10.06,12.42,37661400
LUNR,2024-11-18,12.27,12.4,11.38,11.68,23767900
LUNR,2024-11-19,11.44,13.66,11.3,12.56,31020800
LUNR,2024-11-20,12.44,12.7,11.81,12.07,12758718
LUNR,2024-11-21,12.16,14.8,11.66,14.0,35652400
LUNR,2024-11-22,14.06,15.55,13.66,15.12,28479500
LUNR,2024-11-25,15.56,15.72,14.1,14.68,18442800
