symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LW,2024-08-27,59.22,59.88,59.06,59.36,1564500
LW,2024-08-28,59.03,59.6,57.86,58.3,1665506
LW,2024-08-29,58.63,59.08,57.82,58.46,1422300
LW,2024-08-30,58.9,59.32,58.27,59.05,1962900
LW,2024-09-03,58.55,59.62,58.37,58.86,2465549
LW,2024-09-04,58.39,59.5,58.39,58.82,2272926
LW,2024-09-05,59.22,59.58,58.29,59.21,1910439
LW,2024-09-06,59.17,60.48,59.02,60.1,1815663
LW,2024-09-09,60.44,61.15,60.02,60.24,2289429
LW,2024-09-10,60.59,60.98,59.17,59.77,1542300
LW,2024-09-11,59.71,59.77,58.65,59.67,1407400
LW,2024-09-12,60.0,61.21,59.33,60.91,1787610
LW,2024-09-13,61.14,61.55,60.63,61.2,1291444
LW,2024-09-16,61.61,62.67,61.35,61.76,1426431
LW,2024-09-17,62.07,63.51,61.66,62.65,1792749
LW,2024-09-18,62.69,63.85,62.47,62.72,2297063
LW,2024-09-19,63.75,63.88,62.25,62.57,2804330
LW,2024-09-20,61.97,62.92,61.48,62.41,5336263
LW,2024-09-23,62.26,62.69,61.3,61.89,2517211
LW,2024-09-24,62.93,63.38,61.7,61.84,3055926
LW,2024-09-25,61.99,62.01,61.12,61.92,2377500
LW,2024-09-26,62.7,63.9,62.6,63.42,2293498
LW,2024-09-27,63.89,64.3,62.87,63.7,2279200
LW,2024-09-30,63.58,63.78,61.52,61.74,2978649
LW,2024-10-01,61.74,62.82,61.24,61.9,4151434
LW,2024-10-02,60.08,65.01,59.31,63.49,6786803
LW,2024-10-03,62.7,65.26,62.38,65.13,4480500
LW,2024-10-04,66.14,66.62,64.63,65.66,3321517
LW,2024-10-07,64.73,66.04,64.32,66.02,2583929
LW,2024-10-08,66.01,68.24,65.7,67.81,3403823
LW,2024-10-09,67.81,68.39,67.07,67.66,2386509
LW,2024-10-10,67.37,67.73,66.38,67.68,1948700
LW,2024-10-11,67.81,68.29,67.5,68.04,1252600
LW,2024-10-14,68.33,69.0,67.29,68.95,2058493
LW,2024-10-15,69.12,69.49,67.92,68.01,2199615
LW,2024-10-16,68.18,68.41,66.26,66.52,3777300
LW,2024-10-17,66.86,68.23,66.78,67.71,2068062
LW,2024-10-18,75.5,75.62,71.68,74.6,7982900
LW,2024-10-21,74.48,75.08,73.0,73.73,2286646
LW,2024-10-22,73.73,74.16,72.92,73.68,1682300
LW,2024-10-23,72.81,73.92,72.48,73.57,2384940
LW,2024-10-24,73.57,74.11,73.22,73.79,2336223
LW,2024-10-25,73.82,74.4,73.15,73.36,2568293
LW,2024-10-28,73.57,74.63,73.42,74.05,1877927
LW,2024-10-29,73.69,74.63,73.15,73.82,1960945
LW,2024-10-30,73.82,73.97,72.61,73.67,1749689
LW,2024-10-31,73.5,74.4,73.36,74.09,1861847
LW,2024-11-01,74.32,74.76,73.73,73.86,1750200
LW,2024-11-04,74.17,74.78,73.91,74.22,1725632
LW,2024-11-05,74.38,76.05,73.85,75.86,1601375
LW,2024-11-06,77.06,77.81,76.24,76.64,1886828
LW,2024-11-07,76.57,77.89,76.35,76.94,2131651
LW,2024-11-08,76.64,77.92,76.31,77.8,1580097
LW,2024-11-11,78.14,78.51,77.41,77.6,1197800
LW,2024-11-12,77.7,78.07,76.3,77.03,1420423
LW,2024-11-13,77.07,77.46,76.15,76.72,1393240
LW,2024-11-14,76.76,77.54,76.01,77.04,1750838
LW,2024-11-15,76.48,77.02,72.11,72.31,4403248
LW,2024-11-18,72.5,74.12,72.5,73.6,2215200
LW,2024-11-19,73.09,73.09,70.88,71.93,1696900
LW,2024-11-20,71.71,73.03,71.32,72.92,1131905
LW,2024-11-21,73.16,73.8,72.28,73.54,1266043
LW,2024-11-22,73.66,74.56,72.75,73.7,1171726
LW,2024-11-25,74.23,75.08,73.52,73.57,2729633
LW,2024-11-26,73.72,74.47,72.56,73.61,1830836
LW,2024-11-27,74.26,74.56,73.11,73.5,1338723
LW,2024-11-29,73.78,74.27,73.48,74.01,689202
LW,2024-12-02,73.97,75.24,73.11,75.06,1256937
LW,2024-12-03,75.0,76.34,74.54,76.09,1578800
LW,2024-12-04,75.59,75.85,74.19,74.69,1197990
LW,2024-12-05,74.69,75.18,73.18,74.44,1356900
LW,2024-12-06,75.05,75.54,74.22,74.28,1181000
LW,2024-12-09,74.27,75.81,73.91,74.74,1176739
LW,2024-12-10,74.86,74.86,72.18,72.63,1547202
LW,2024-12-11,73.19,73.64,71.15,71.82,1601414
LW,2024-12-12,72.01,72.02,70.49,71.12,1501000
LW,2024-12-13,69.94,77.61,67.4,75.95,8234411
LW,2024-12-16,76.04,80.47,75.46,78.77,5479984
LW,2024-12-17,77.9,79.62,77.25,78.87,3059034
LW,2024-12-18,77.65,78.33,74.62,74.95,4076645
LW,2024-12-19,63.19,65.91,57.46,59.88,12301321
LW,2024-12-20,59.82,61.28,58.94,59.49,6510375
LW,2024-12-23,59.7,61.6,59.35,61.23,4385125
LW,2024-12-24,61.64,62.43,60.81,61.02,1734200
LW,2024-12-26,61.03,62.89,60.98,62.55,3467888
LW,2024-12-27,62.15,65.74,62.15,64.2,3453708
LW,2024-12-30,63.59,63.93,61.5,62.25,2405293
LW,2024-12-31,62.28,64.14,62.06,64.03,1709946
LW,2025-01-02,64.39,65.09,63.15,63.28,1811627
LW,2025-01-03,63.29,63.58,62.62,62.79,1596200
LW,2025-01-06,63.04,64.01,60.38,60.41,3164523
LW,2025-01-07,60.57,61.71,59.06,59.1,3578054
LW,2025-01-08,58.92,59.28,57.61,58.34,2737800
LW,2025-01-10,57.68,58.62,57.03,58.19,3063200
LW,2025-01-13,58.44,59.01,57.37,58.3,2324701
LW,2025-01-14,58.43,58.77,57.16,57.32,2028880
LW,2025-01-15,59.12,59.37,56.53,56.55,2245903
LW,2025-01-16,56.59,57.4,55.86,56.6,2530600
LW,2025-01-17,57.32,58.2,57.05,57.57,1961018
LW,2025-01-21,58.2,60.1,58.15,60.08,2253858
LW,2025-01-22,60.07,60.07,58.23,58.32,1937101
LW,2025-01-23,58.45,59.14,57.3,57.98,2410314
LW,2025-01-24,58.07,58.39,57.45,58.05,1774228
LW,2025-01-27,58.43,59.9,57.95,59.79,1868267
LW,2025-01-28,60.65,60.91,57.61,57.8,2049300
LW,2025-01-29,58.21,58.96,58.0,58.94,2471283
LW,2025-01-30,59.62,59.65,58.5,59.05,2662851
LW,2025-01-31,58.95,59.38,57.39,57.78,2511316
LW,2025-02-03,57.64,58.29,55.96,58.11,3312100
LW,2025-02-04,58.09,58.11,56.38,57.02,1981946
LW,2025-02-05,56.98,57.36,56.11,56.92,2402127
LW,2025-02-06,57.78,57.96,56.87,57.31,1219542
LW,2025-02-07,57.71,57.71,56.25,56.78,1152548
