symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LYB,2024-08-27,86.57,86.69,85.98,86.49,1138713
LYB,2024-08-28,85.81,86.58,85.54,86.5,1267000
LYB,2024-08-29,87.1,87.65,85.97,86.9,1194943
LYB,2024-08-30,86.86,87.57,86.24,87.37,3213500
LYB,2024-09-03,86.21,86.61,84.31,84.73,1784436
LYB,2024-09-04,85.11,85.41,83.84,83.98,1714122
LYB,2024-09-05,84.2,84.22,82.94,83.41,1584315
LYB,2024-09-06,83.25,83.96,82.16,82.75,2257149
LYB,2024-09-09,82.84,84.41,82.84,83.9,2138814
LYB,2024-09-10,83.89,83.93,82.7,83.02,1789660
LYB,2024-09-11,83.17,83.4,81.57,83.17,1606845
LYB,2024-09-12,83.09,83.39,81.92,83.08,1315139
LYB,2024-09-13,83.6,83.91,82.36,82.48,2321700
LYB,2024-09-16,82.88,83.92,82.65,83.28,1412842
LYB,2024-09-17,83.5,84.68,83.43,84.08,1161867
LYB,2024-09-18,84.33,84.68,83.04,83.15,2483022
LYB,2024-09-19,84.54,85.62,83.65,85.06,2768026
LYB,2024-09-20,83.94,84.19,82.43,83.24,8485535
LYB,2024-09-23,83.48,84.35,82.65,82.85,3126349
LYB,2024-09-24,83.91,85.41,83.83,85.06,2283112
LYB,2024-09-25,85.22,85.32,83.67,83.97,2044514
LYB,2024-09-26,84.73,85.28,84.35,85.07,2364621
LYB,2024-09-27,85.87,86.4,85.19,85.36,2075045
LYB,2024-09-30,85.55,86.22,84.39,84.89,1708700
LYB,2024-10-01,84.76,85.44,84.53,84.81,2143393
LYB,2024-10-02,85.11,85.52,84.24,84.34,1769300
LYB,2024-10-03,84.17,84.39,83.37,83.98,1907844
LYB,2024-10-04,84.87,85.69,84.74,85.64,1729021
LYB,2024-10-07,85.29,85.44,84.23,84.44,1528414
LYB,2024-10-08,83.42,83.73,82.91,83.29,1913333
LYB,2024-10-09,83.2,83.93,83.16,83.44,1463200
LYB,2024-10-10,83.55,84.32,83.07,83.79,1636682
LYB,2024-10-11,83.74,84.33,83.0,83.02,1766620
LYB,2024-10-14,82.93,83.03,82.25,82.71,1797500
LYB,2024-10-15,81.95,82.41,81.23,81.5,2170400
LYB,2024-10-16,81.53,82.34,81.14,81.36,1798264
LYB,2024-10-17,81.74,81.99,80.65,81.07,1713700
LYB,2024-10-18,81.55,81.56,80.38,80.98,1669653
LYB,2024-10-21,81.08,81.12,79.32,79.44,1956700
LYB,2024-10-22,79.44,79.57,78.48,79.23,1530039
LYB,2024-10-23,78.58,78.92,78.07,78.67,1754017
LYB,2024-10-24,79.22,79.22,77.75,78.33,1663753
LYB,2024-10-25,78.1,78.38,77.37,77.45,2086488
LYB,2024-10-28,77.31,77.76,76.9,77.65,1645366
LYB,2024-10-29,77.36,77.52,76.97,77.17,1750171
LYB,2024-10-30,77.08,78.03,76.78,77.14,1794107
LYB,2024-10-31,77.16,77.64,76.86,76.88,3521239
LYB,2024-11-01,77.19,78.59,75.81,76.62,2468922
LYB,2024-11-04,75.95,76.45,74.39,74.52,3501200
LYB,2024-11-05,74.47,75.6,73.79,75.57,3563147
LYB,2024-11-06,77.54,78.08,75.66,76.51,3842600
LYB,2024-11-07,76.75,77.5,76.47,77.3,2417352
LYB,2024-11-08,76.22,76.53,74.79,75.51,3327973
LYB,2024-11-11,75.4,75.99,74.98,75.21,1958835
LYB,2024-11-12,75.04,75.34,73.89,74.0,1948942
LYB,2024-11-13,73.8,74.18,73.49,73.86,1388600
LYB,2024-11-14,74.02,74.12,72.76,73.08,1939118
LYB,2024-11-15,73.15,73.75,72.82,73.16,2236451
LYB,2024-11-18,73.63,73.89,73.26,73.65,1712367
LYB,2024-11-19,73.02,73.24,72.5,72.76,2364846
LYB,2024-11-20,72.76,73.1,72.1,73.01,2305933
LYB,2024-11-21,73.07,73.67,72.71,73.29,3462720
LYB,2024-11-22,73.05,74.58,72.95,74.24,3268400
LYB,2024-11-25,74.8,75.46,74.2,74.41,5618495
LYB,2024-11-26,74.27,74.29,72.24,72.71,3047117
LYB,2024-11-27,72.81,73.91,72.73,73.5,2625863
LYB,2024-11-29,73.52,73.88,73.23,73.77,1683321
LYB,2024-12-02,73.71,74.06,72.92,73.81,1844742
LYB,2024-12-03,73.98,74.0,72.53,72.67,2453800
LYB,2024-12-04,71.96,71.96,69.61,70.12,5921500
LYB,2024-12-05,69.95,70.26,68.57,69.64,4741536
LYB,2024-12-06,69.82,70.14,68.35,68.72,4269800
LYB,2024-12-09,69.68,70.96,69.09,69.55,3301229
LYB,2024-12-10,69.18,70.57,68.51,69.85,3803118
LYB,2024-12-11,69.58,69.84,68.66,68.78,2836008
LYB,2024-12-12,68.37,69.4,68.37,68.53,2418715
LYB,2024-12-13,68.55,68.56,67.4,68.07,2606383
LYB,2024-12-16,67.47,68.49,67.11,67.18,3125515
LYB,2024-12-17,67.47,68.69,67.47,67.87,2889400
LYB,2024-12-18,67.79,69.12,67.25,67.29,4329839
LYB,2024-12-19,67.25,67.89,65.63,65.64,4604200
LYB,2024-12-20,65.64,66.9,65.62,66.12,6761332
LYB,2024-12-23,66.28,66.77,65.78,66.58,2740500
LYB,2024-12-24,66.28,66.89,66.03,66.68,1016400
LYB,2024-12-26,66.47,67.32,66.41,66.89,1759366
