symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
LYFT,2024-08-27,11.76,11.76,11.48,11.62,9434205
LYFT,2024-08-28,11.52,11.58,11.27,11.46,8257600
LYFT,2024-08-29,11.55,11.69,11.34,11.55,7295434
LYFT,2024-08-30,11.6,11.8,11.49,11.67,8450131
LYFT,2024-09-03,11.65,11.87,11.26,11.35,9611505
LYFT,2024-09-04,11.28,11.7,11.22,11.34,6694100
LYFT,2024-09-05,11.26,11.89,11.16,11.25,10283412
LYFT,2024-09-06,11.24,11.58,10.92,11.06,9280513
LYFT,2024-09-09,11.08,11.18,10.72,10.8,10120230
LYFT,2024-09-10,10.86,11.58,10.62,11.27,15124100
LYFT,2024-09-11,11.22,11.97,11.07,11.95,14523336
LYFT,2024-09-12,11.96,12.07,11.61,11.62,11672300
LYFT,2024-09-13,11.43,11.52,11.04,11.35,21496900
LYFT,2024-09-16,11.32,11.77,11.32,11.68,11636500
LYFT,2024-09-17,11.86,12.31,11.7,12.25,14684129
LYFT,2024-09-18,12.29,12.66,12.11,12.17,11079500
LYFT,2024-09-19,12.65,12.79,12.41,12.53,11163900
LYFT,2024-09-20,12.44,12.66,12.32,12.47,19941346
LYFT,2024-09-23,12.54,12.75,12.37,12.72,8891526
LYFT,2024-09-24,12.98,13.39,12.94,13.33,14273600
LYFT,2024-09-25,13.38,13.68,13.3,13.35,9489600
LYFT,2024-09-26,13.66,13.79,13.1,13.28,9942700
LYFT,2024-09-27,13.36,13.39,12.74,12.84,10160500
LYFT,2024-09-30,12.78,12.88,12.63,12.75,6988012
LYFT,2024-10-01,12.78,12.83,12.39,12.49,9432000
LYFT,2024-10-02,12.49,12.86,12.47,12.54,9129700
LYFT,2024-10-03,12.47,12.5,12.21,12.36,6308123
LYFT,2024-10-04,12.75,12.77,12.43,12.57,6711087
LYFT,2024-10-07,12.56,12.64,12.29,12.51,8926500
LYFT,2024-10-08,12.38,12.5,11.99,12.44,10134632
LYFT,2024-10-09,12.48,12.7,12.24,12.51,8445532
LYFT,2024-10-10,12.48,12.54,12.13,12.41,10784200
LYFT,2024-10-11,12.86,13.82,12.84,13.6,32506500
LYFT,2024-10-14,13.46,13.5,12.96,13.26,15504014
LYFT,2024-10-15,13.25,13.48,12.94,13.3,11267148
LYFT,2024-10-16,13.5,13.57,13.28,13.39,7658300
LYFT,2024-10-17,13.39,13.66,13.2,13.62,10115600
LYFT,2024-10-18,13.71,14.07,13.57,13.99,11041100
LYFT,2024-10-21,13.98,14.18,13.71,14.04,8409935
LYFT,2024-10-22,14.06,14.14,13.73,13.76,7997200
LYFT,2024-10-23,13.69,13.74,13.4,13.66,8358200
LYFT,2024-10-24,13.27,13.81,13.27,13.78,9302047
LYFT,2024-10-25,13.87,13.94,13.23,13.41,17618600
LYFT,2024-10-28,13.51,13.97,13.49,13.89,10921110
LYFT,2024-10-29,13.66,14.02,13.62,13.91,8212000
LYFT,2024-10-30,13.81,13.98,13.64,13.67,10824700
LYFT,2024-10-31,13.33,13.56,12.87,12.97,12775400
LYFT,2024-11-01,13.14,13.77,13.07,13.48,13461532
LYFT,2024-11-04,13.46,13.92,13.36,13.58,9704400
LYFT,2024-11-05,13.73,13.92,13.57,13.8,13287603
LYFT,2024-11-06,14.12,14.53,13.78,14.4,33833100
LYFT,2024-11-07,17.78,18.82,17.4,17.69,73961421
LYFT,2024-11-08,17.69,17.95,17.17,17.78,28925410
LYFT,2024-11-11,17.95,19.07,17.76,18.59,22088000
LYFT,2024-11-12,18.47,18.58,18.05,18.34,13508224
LYFT,2024-11-13,18.52,18.6,17.55,17.78,14056400
LYFT,2024-11-14,17.89,18.43,17.59,17.92,12402423
LYFT,2024-11-15,18.23,18.57,17.87,18.12,18407236
LYFT,2024-11-18,17.53,17.6,16.8,17.3,19905718
LYFT,2024-11-19,16.85,17.0,16.47,16.57,19030000
LYFT,2024-11-20,16.55,16.98,16.41,16.77,11351518
LYFT,2024-11-21,16.77,16.82,16.26,16.29,11762000
LYFT,2024-11-22,16.43,16.86,16.3,16.79,12366800
LYFT,2024-11-25,16.94,18.01,16.93,17.89,17267200
LYFT,2024-11-26,17.58,17.92,17.42,17.61,9460326
LYFT,2024-11-27,17.82,17.87,17.05,17.18,22227000
LYFT,2024-11-29,17.26,17.39,17.09,17.36,4561719
LYFT,2024-12-02,17.26,17.39,17.06,17.17,6847400
LYFT,2024-12-03,17.31,17.32,16.88,16.92,7666323
LYFT,2024-12-04,17.1,17.63,16.94,17.24,10434400
LYFT,2024-12-05,17.25,17.48,15.39,15.5,25984500
LYFT,2024-12-06,15.85,15.99,15.51,15.94,13260224
LYFT,2024-12-09,16.16,16.77,16.12,16.3,14769226
LYFT,2024-12-10,16.32,16.56,16.11,16.19,9394605
LYFT,2024-12-11,16.24,16.29,14.85,15.42,25855212
LYFT,2024-12-12,15.46,15.58,14.82,14.85,15366846
LYFT,2024-12-13,14.84,14.94,14.09,14.14,16070800
LYFT,2024-12-16,14.24,14.36,13.86,14.29,15547207
LYFT,2024-12-17,14.04,14.16,13.87,14.01,8938834
LYFT,2024-12-18,14.02,14.51,13.54,13.61,18535400
LYFT,2024-12-19,13.76,13.89,13.41,13.58,12668600
LYFT,2024-12-20,13.44,13.84,13.21,13.57,18630900
LYFT,2024-12-23,13.65,13.81,13.46,13.71,7903500
LYFT,2024-12-24,13.87,13.92,13.59,13.91,5356836
LYFT,2024-12-26,13.8,14.0,13.64,13.77,8637845
LYFT,2024-12-27,13.71,13.71,13.16,13.31,11502649
LYFT,2024-12-30,13.12,13.15,12.76,13.05,16952115
LYFT,2024-12-31,13.2,13.24,12.85,12.9,11161413
LYFT,2025-01-02,13.08,13.8,12.96,13.65,25295745
LYFT,2025-01-03,13.79,14.54,13.76,14.27,17118900
LYFT,2025-01-06,14.83,14.88,14.34,14.39,12612700
LYFT,2025-01-07,14.58,14.67,14.17,14.32,13853500
LYFT,2025-01-08,14.13,14.13,13.24,13.36,16543600
LYFT,2025-01-10,13.06,13.29,12.77,12.98,18895341
LYFT,2025-01-13,12.79,13.04,12.58,12.99,16917000
LYFT,2025-01-14,13.24,13.3,12.85,12.97,9406200
LYFT,2025-01-15,13.33,13.62,13.28,13.4,13008000
LYFT,2025-01-16,13.35,13.72,13.15,13.6,14793226
LYFT,2025-01-17,13.75,13.79,13.38,13.41,13932428
LYFT,2025-01-21,13.62,13.84,13.43,13.67,10362732
LYFT,2025-01-22,13.77,13.89,13.38,13.42,14105736
LYFT,2025-01-23,13.31,13.67,13.11,13.6,10575929
LYFT,2025-01-24,13.63,14.05,13.61,13.8,9070328
LYFT,2025-01-27,13.6,13.97,13.47,13.86,10687634
LYFT,2025-01-28,13.84,14.18,13.25,13.96,20743828
LYFT,2025-01-29,13.92,13.92,13.22,13.43,14502236
LYFT,2025-01-30,13.02,13.63,12.78,13.56,17349817
LYFT,2025-01-31,13.63,13.85,13.33,13.54,11616900
LYFT,2025-02-03,13.04,13.89,12.96,13.81,15472200
LYFT,2025-02-04,13.91,14.17,13.69,14.07,13743200
LYFT,2025-02-05,13.57,13.97,13.23,13.42,22640004
LYFT,2025-02-06,13.63,14.14,13.6,14.07,15109223
LYFT,2025-02-07,14.1,14.75,14.02,14.17,20423327
LYFT,2025-02-10,14.89,15.19,14.54,15.12,28666513
LYFT,2025-02-11,15.27,15.35,14.2,14.39,59236347
LYFT,2025-02-12,12.28,14.19,12.06,13.25,87916200
LYFT,2025-02-13,13.32,13.48,12.79,13.47,29279700
LYFT,2025-02-14,13.45,13.54,13.05,13.43,22337600
LYFT,2025-02-18,13.41,14.43,13.41,14.01,29389200
LYFT,2025-02-19,13.92,13.93,13.22,13.39,23935100
