symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
M,2024-08-27,14.46,14.51,14.15,14.18,5668000
M,2024-08-28,14.25,14.38,14.05,14.2,5764330
M,2024-08-29,14.26,14.58,14.13,14.37,5777800
M,2024-08-30,14.55,14.65,14.27,14.37,5960924
M,2024-09-03,14.23,14.61,14.2,14.3,6306405
M,2024-09-04,14.3,14.46,13.97,14.12,5359103
M,2024-09-05,14.16,14.22,13.72,13.73,6463629
M,2024-09-06,13.72,13.8,13.39,13.49,4870513
M,2024-09-09,13.47,13.67,13.37,13.39,6221400
M,2024-09-10,13.39,13.43,13.11,13.21,4464749
M,2024-09-11,13.27,13.53,12.98,13.5,4494000
M,2024-09-12,13.51,13.59,13.24,13.56,3822319
M,2024-09-13,13.82,14.22,13.79,14.01,6098200
M,2024-09-16,14.0,14.14,13.95,13.96,3693100
M,2024-09-17,14.14,14.4,13.98,14.03,4343519
M,2024-09-18,14.03,14.47,13.99,14.12,5652343
M,2024-09-19,14.47,14.55,14.21,14.31,5345400
M,2024-09-20,14.29,14.45,14.19,14.29,6156131
M,2024-09-23,14.29,14.3,13.94,14.15,5797743
M,2024-09-24,14.3,14.35,14.02,14.07,5526400
M,2024-09-25,14.06,14.16,13.82,13.88,3654400
M,2024-09-26,13.99,14.2,13.93,14.2,4023200
M,2024-09-27,14.3,14.36,14.17,14.24,2806500
M,2024-09-30,14.28,14.71,14.28,14.65,5540511
M,2024-10-01,14.58,14.61,14.08,14.4,5419026
M,2024-10-02,14.34,14.6,14.21,14.33,4594700
M,2024-10-03,14.16,14.42,14.05,14.35,4409000
M,2024-10-04,14.6,14.84,14.53,14.75,5017084
M,2024-10-07,14.67,14.7,14.28,14.34,3549814
M,2024-10-08,14.32,14.45,14.16,14.21,3073522
M,2024-10-09,14.21,14.48,14.16,14.43,2831200
M,2024-10-10,14.35,14.52,14.19,14.42,3175400
M,2024-10-11,14.44,14.82,14.39,14.74,3717408
M,2024-10-14,14.7,14.7,14.33,14.36,4669647
M,2024-10-15,14.29,14.97,14.29,14.6,5436323
M,2024-10-16,14.7,15.21,14.67,15.18,5596000
M,2024-10-17,15.23,15.49,15.05,15.21,4911300
M,2024-10-18,15.24,15.38,15.01,15.11,3893829
M,2024-10-21,15.11,15.28,14.89,14.96,3521500
M,2024-10-22,14.84,14.87,14.46,14.66,3788803
M,2024-10-23,14.52,14.62,14.23,14.32,3468500
M,2024-10-24,14.48,14.63,14.32,14.39,4292631
M,2024-10-25,14.52,14.57,14.35,14.37,3702645
M,2024-10-28,14.41,14.65,14.4,14.48,3379336
M,2024-10-29,14.44,14.78,14.44,14.54,6292504
M,2024-10-30,14.53,14.6,14.33,14.41,3936400
M,2024-10-31,14.34,14.44,14.12,14.32,3363333
M,2024-11-01,14.35,14.62,14.24,14.26,3816227
M,2024-11-04,14.2,14.37,14.13,14.2,3968145
M,2024-11-05,14.15,14.34,14.01,14.31,4475342
M,2024-11-06,14.67,15.04,14.62,15.02,8045442
M,2024-11-07,15.03,15.54,14.84,15.36,6146900
M,2024-11-08,15.14,15.28,14.6,14.63,5487400
M,2024-11-11,14.66,14.88,14.31,14.32,7312110
M,2024-11-12,14.26,14.26,13.96,14.08,6796825
M,2024-11-13,14.21,14.33,14.03,14.07,3947466
M,2024-11-14,14.26,14.62,14.07,14.54,5108000
M,2024-11-15,14.47,14.57,14.22,14.46,3779108
M,2024-11-18,14.38,14.47,14.07,14.25,5537533
M,2024-11-19,14.09,14.32,13.98,14.14,4373702
M,2024-11-20,14.01,14.19,13.56,13.6,7084000
M,2024-11-21,13.66,14.08,13.55,14.07,4825000
M,2024-11-22,14.3,15.28,14.3,15.22,10894900
M,2024-11-25,15.04,15.04,14.44,14.88,16890300
M,2024-11-26,14.83,15.11,14.64,14.84,8097600
M,2024-11-27,14.98,15.11,14.83,14.9,4363718
M,2024-11-29,14.94,15.27,14.92,15.16,3101600
M,2024-12-02,15.28,15.85,15.25,15.81,7005400
M,2024-12-03,15.82,15.82,15.33,15.39,4913013
M,2024-12-04,15.49,15.64,15.3,15.63,3918500
M,2024-12-05,15.64,15.68,15.28,15.36,3605500
M,2024-12-06,15.54,15.58,15.13,15.34,3320200
M,2024-12-09,15.98,16.14,15.52,15.61,8873001
M,2024-12-10,15.64,15.88,15.36,15.61,8297300
M,2024-12-11,13.91,15.6,13.66,15.48,28762147
M,2024-12-12,15.32,15.72,15.14,15.23,9700600
M,2024-12-13,15.28,15.74,15.27,15.63,7830541
M,2024-12-16,15.8,16.26,15.71,15.78,8444800
M,2024-12-17,15.87,16.2,15.54,15.79,8817200
M,2024-12-18,15.83,15.88,14.91,14.96,6160100
M,2024-12-19,15.16,15.28,14.88,14.96,5197270
M,2024-12-20,14.83,15.69,14.82,15.32,10420200
M,2024-12-23,15.41,15.74,15.34,15.71,5011833
M,2024-12-24,15.67,15.91,15.51,15.87,2312500
M,2024-12-26,15.82,17.11,15.8,17.08,10639103
M,2024-12-27,16.83,16.99,16.51,16.55,5819800
M,2024-12-30,16.29,16.31,15.71,15.82,5662100
M,2024-12-31,15.79,16.21,15.66,15.97,5851000
M,2025-01-02,16.12,16.14,15.37,15.63,6447981
M,2025-01-03,15.65,15.89,15.29,15.87,7396387
M,2025-01-06,15.96,16.35,15.45,15.47,7411524
M,2025-01-07,15.71,15.98,15.22,15.44,6335982
M,2025-01-08,15.24,15.33,14.65,15.13,6198100
M,2025-01-10,15.03,15.22,14.74,14.95,7325021
M,2025-01-13,14.92,14.92,13.7,13.74,13104934
M,2025-01-14,13.87,13.88,13.22,13.23,11551639
M,2025-01-15,13.35,13.48,12.89,13.01,15032100
M,2025-01-16,13.02,13.41,12.99,13.09,8438732
M,2025-01-17,13.26,13.36,13.12,13.2,6079040
M,2025-01-21,13.27,13.77,13.27,13.57,9139205
M,2025-01-22,13.61,13.81,13.43,13.78,7447800
M,2025-01-23,13.69,14.2,13.67,14.18,6443200
M,2025-01-24,14.31,14.68,14.19,14.49,8232525
M,2025-01-27,14.43,14.69,14.2,14.42,5718220
M,2025-01-28,14.44,14.8,14.35,14.79,5363700
M,2025-01-29,14.78,14.79,14.43,14.53,4561620
M,2025-01-30,14.63,14.91,14.5,14.88,4372900
M,2025-01-31,14.91,15.04,14.61,14.7,6019505
M,2025-02-03,14.15,14.53,14.11,14.37,6360436
M,2025-02-04,14.31,14.53,14.13,14.23,4030600
M,2025-02-05,14.22,14.25,13.9,14.04,4276732
M,2025-02-06,14.26,14.29,13.67,13.78,4712400
M,2025-02-07,13.83,13.83,13.32,13.46,5853217
M,2025-02-10,13.55,13.86,13.38,13.71,4746457
M,2025-02-11,13.76,14.01,13.69,13.84,3345625
M,2025-02-12,13.71,14.06,13.61,13.95,5074036
M,2025-02-13,13.84,14.29,13.69,14.26,5134200
M,2025-02-14,14.29,14.43,14.05,14.19,4206300
M,2025-02-18,14.17,14.55,14.09,14.45,4594128
M,2025-02-19,14.28,14.54,14.23,14.46,4416054
