symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MAR,2024-08-27,221.29,225.02,220.7,224.47,1017819
MAR,2024-08-28,223.28,225.02,223.05,224.17,1026200
MAR,2024-08-29,226.57,230.38,225.71,228.17,1954464
MAR,2024-08-30,229.34,232.17,227.85,231.44,2218129
MAR,2024-09-03,230.95,231.44,226.55,227.52,1802700
MAR,2024-09-04,226.81,227.46,224.95,226.28,1412200
MAR,2024-09-05,226.55,227.36,223.72,225.89,1808800
MAR,2024-09-06,226.29,229.68,224.02,224.45,3355319
MAR,2024-09-09,225.76,227.75,223.4,225.42,1876900
MAR,2024-09-10,224.52,225.82,218.87,222.54,1755200
MAR,2024-09-11,222.54,224.62,218.77,224.18,1330936
MAR,2024-09-12,225.63,227.62,224.43,227.5,1044702
MAR,2024-09-13,228.34,229.34,226.49,228.53,1034102
MAR,2024-09-16,229.84,232.48,228.69,229.24,993122
MAR,2024-09-17,230.5,232.96,229.54,232.35,1005300
MAR,2024-09-18,235.59,238.38,233.52,235.43,1539802
MAR,2024-09-19,239.6,242.61,238.68,241.07,1676231
MAR,2024-09-20,240.53,241.36,237.57,241.01,3663555
MAR,2024-09-23,241.46,241.73,238.01,238.32,1393435
MAR,2024-09-24,239.65,244.03,239.48,243.95,1225328
MAR,2024-09-25,244.04,244.19,241.24,242.1,951400
MAR,2024-09-26,244.74,247.53,242.81,247.24,1431803
MAR,2024-09-27,249.31,250.91,248.19,249.54,1238400
MAR,2024-09-30,248.56,250.44,243.05,245.16,1646374
MAR,2024-10-01,245.26,245.86,239.73,242.67,1382540
MAR,2024-10-02,241.89,245.55,241.46,245.37,857615
MAR,2024-10-03,242.65,246.21,242.6,246.02,935640
MAR,2024-10-04,249.77,251.31,248.72,251.08,1129513
MAR,2024-10-07,250.49,252.31,249.57,251.63,2406904
MAR,2024-10-08,251.79,253.79,250.02,253.03,1207924
MAR,2024-10-09,252.74,259.37,252.45,258.25,1442671
MAR,2024-10-10,257.28,258.29,255.7,256.93,1038242
MAR,2024-10-11,257.61,260.48,257.43,258.99,1084725
MAR,2024-10-14,257.6,259.7,256.82,257.94,1139700
MAR,2024-10-15,257.75,259.67,255.9,256.97,1252400
MAR,2024-10-16,256.82,259.64,256.0,258.93,709200
MAR,2024-10-17,260.84,261.53,258.66,260.91,1163528
MAR,2024-10-18,260.9,262.89,259.43,261.92,886800
MAR,2024-10-21,260.83,262.75,259.61,261.3,869100
MAR,2024-10-22,261.13,262.2,259.7,261.82,1198254
MAR,2024-10-23,256.87,259.36,251.94,254.25,1990316
MAR,2024-10-24,256.37,258.19,253.86,257.02,1195100
MAR,2024-10-25,259.66,261.46,257.74,258.49,1162123
MAR,2024-10-28,260.69,260.93,257.07,258.91,1127532
MAR,2024-10-29,259.17,261.44,258.65,260.24,791538
MAR,2024-10-30,260.02,261.92,259.6,260.6,897851
MAR,2024-10-31,260.6,261.7,256.32,256.42,1308428
MAR,2024-11-01,254.9,259.74,254.85,256.96,1481686
MAR,2024-11-04,251.89,253.14,246.1,252.88,2222042
MAR,2024-11-05,250.56,257.45,250.56,256.06,1604478
MAR,2024-11-06,266.37,273.56,264.77,272.43,2148694
MAR,2024-11-07,272.3,274.64,270.06,273.83,1472700
MAR,2024-11-08,273.96,278.88,273.37,276.91,1516600
MAR,2024-11-11,277.18,282.23,277.18,281.95,1895938
MAR,2024-11-12,281.67,283.03,279.78,282.06,1143262
