symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MAT,2024-08-27,19.5,19.59,19.42,19.52,1441800
MAT,2024-08-28,19.44,19.52,19.25,19.27,1778348
MAT,2024-08-29,19.3,19.41,19.07,19.14,2399620
MAT,2024-08-30,19.25,19.25,18.91,18.98,3682207
MAT,2024-09-03,18.93,18.99,18.64,18.7,1864300
MAT,2024-09-04,18.64,18.86,18.51,18.71,2279141
MAT,2024-09-05,18.79,18.82,18.51,18.66,1542603
MAT,2024-09-06,18.69,18.76,18.35,18.44,1497993
MAT,2024-09-09,18.43,19.05,18.16,18.98,3531300
MAT,2024-09-10,18.99,18.99,18.46,18.59,3179900
MAT,2024-09-11,18.5,18.5,18.01,18.23,2253880
MAT,2024-09-12,18.32,18.54,18.26,18.51,1510200
MAT,2024-09-13,18.59,19.15,18.59,19.01,3445100
MAT,2024-09-16,19.24,19.28,18.96,19.02,1949840
MAT,2024-09-17,19.1,19.35,19.0,19.26,1376400
MAT,2024-09-18,19.31,19.6,19.18,19.42,1921107
MAT,2024-09-19,19.77,19.8,19.34,19.54,2501200
MAT,2024-09-20,19.3,19.36,18.95,19.23,9397144
MAT,2024-09-23,19.37,19.37,19.02,19.15,1888689
MAT,2024-09-24,19.27,19.4,19.12,19.16,1715738
MAT,2024-09-25,19.12,19.17,18.72,18.77,2016662
MAT,2024-09-26,19.0,19.26,18.88,19.04,2285127
MAT,2024-09-27,19.16,19.28,18.86,19.04,1685000
MAT,2024-09-30,18.95,19.1,18.82,19.05,2039600
MAT,2024-10-01,19.07,19.2,18.83,19.13,2121600
MAT,2024-10-02,19.07,19.2,18.93,18.98,1447300
MAT,2024-10-03,18.95,19.02,18.69,18.97,2080124
MAT,2024-10-04,19.14,19.43,19.12,19.26,1809314
MAT,2024-10-07,19.21,19.37,19.0,19.35,1189800
MAT,2024-10-08,19.32,19.41,18.94,19.26,1283548
MAT,2024-10-09,19.27,19.35,19.16,19.26,1274218
