symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MDLZ,2024-08-27,67.95,68.09,67.42,67.51,4236163
MDLZ,2024-08-28,67.51,67.84,67.34,67.51,3363521
MDLZ,2024-08-29,67.64,67.64,66.77,67.01,5462784
MDLZ,2024-08-30,67.2,68.2,66.93,68.04,6158437
MDLZ,2024-09-03,68.16,68.61,67.68,68.45,7366773
MDLZ,2024-09-04,68.67,71.7,68.66,71.31,9422000
MDLZ,2024-09-05,71.31,71.75,70.6,71.12,7607800
MDLZ,2024-09-06,71.26,71.95,71.11,71.35,8019940
MDLZ,2024-09-09,71.15,72.04,70.93,71.73,8018327
MDLZ,2024-09-10,71.85,72.06,70.98,71.18,4770251
MDLZ,2024-09-11,71.25,71.25,69.86,70.44,5327505
MDLZ,2024-09-12,70.16,70.62,69.61,70.47,5808956
MDLZ,2024-09-13,70.5,71.43,70.33,71.3,3603123
MDLZ,2024-09-16,71.76,71.99,71.04,71.56,4731140
MDLZ,2024-09-17,71.7,71.95,71.14,71.15,3533625
MDLZ,2024-09-18,71.14,71.54,70.6,71.11,4622201
MDLZ,2024-09-19,71.13,71.28,70.63,70.85,5091258
MDLZ,2024-09-20,70.84,71.53,70.29,70.38,11330200
MDLZ,2024-09-23,70.63,71.09,69.84,70.65,5274041
MDLZ,2024-09-24,70.5,70.86,70.15,70.26,8149600
MDLZ,2024-09-25,70.56,70.7,70.0,70.17,4949754
MDLZ,2024-09-26,70.16,70.72,70.14,70.41,3961504
MDLZ,2024-09-27,70.79,71.16,70.21,70.3,4697065
MDLZ,2024-09-30,70.59,70.9,69.78,70.24,5792771
MDLZ,2024-10-01,70.24,70.47,69.52,69.6,5307600
MDLZ,2024-10-02,69.47,69.58,68.67,68.92,5047618
MDLZ,2024-10-03,68.84,68.84,67.76,67.85,4997100
MDLZ,2024-10-04,67.65,68.27,67.5,68.18,4379169
MDLZ,2024-10-07,68.18,68.26,67.51,67.7,4354600
MDLZ,2024-10-08,67.69,67.86,67.07,67.55,4186300
MDLZ,2024-10-09,67.51,67.89,67.08,67.75,4317100
MDLZ,2024-10-10,68.07,68.11,67.46,67.83,4572300
MDLZ,2024-10-11,68.09,68.09,67.29,67.37,4338547
MDLZ,2024-10-14,67.25,67.44,66.68,67.25,5143600
MDLZ,2024-10-15,67.51,69.32,67.44,68.46,5888611
MDLZ,2024-10-16,68.52,68.71,68.02,68.57,4231507
MDLZ,2024-10-17,68.79,68.98,67.71,67.81,5208532
MDLZ,2024-10-18,67.79,68.44,67.62,68.25,7374000
MDLZ,2024-10-21,68.17,68.48,67.12,67.15,4811746
MDLZ,2024-10-22,66.98,68.07,66.79,68.03,5687600
MDLZ,2024-10-23,67.59,68.01,67.24,67.28,6588700
MDLZ,2024-10-24,67.03,67.51,66.67,66.7,4756803
MDLZ,2024-10-25,66.79,67.04,65.95,66.01,6176667
MDLZ,2024-10-28,66.19,66.8,65.81,66.31,4821900
MDLZ,2024-10-29,66.03,66.46,65.85,65.93,8407609
MDLZ,2024-10-30,65.13,66.89,64.64,66.54,10475200
MDLZ,2024-10-31,66.41,66.6,65.27,65.29,7207838
MDLZ,2024-11-01,65.56,65.76,65.04,65.32,6470448
MDLZ,2024-11-04,65.6,65.61,64.6,65.18,5704400
MDLZ,2024-11-05,65.19,65.97,64.85,65.84,5383800
MDLZ,2024-11-06,65.81,65.97,63.04,63.28,9758623
MDLZ,2024-11-07,63.33,63.48,62.54,62.66,6511632
MDLZ,2024-11-08,62.66,63.18,62.51,63.12,4864543
MDLZ,2024-11-11,62.65,63.48,62.6,63.03,7972400
MDLZ,2024-11-12,63.25,63.64,62.74,63.43,6304294
MDLZ,2024-11-13,62.98,63.11,62.33,62.93,5389200
MDLZ,2024-11-14,63.1,63.32,62.42,62.51,6837737
MDLZ,2024-11-15,62.28,62.3,60.94,61.49,7204038
MDLZ,2024-11-18,61.66,61.67,60.76,60.87,6983698
MDLZ,2024-11-19,60.74,61.0,60.45,60.9,5621715
MDLZ,2024-11-20,60.89,61.51,60.68,61.42,5232709
MDLZ,2024-11-21,61.44,61.89,60.98,61.78,6971800
