symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MDT,2024-12-05,80.63,81.36,80.09,80.22,6967700
MDT,2024-12-06,80.09,80.61,79.68,80.1,4310061
MDT,2024-12-09,80.21,80.48,79.76,80.05,5015090
MDT,2024-12-10,80.09,80.19,79.02,79.69,5095605
MDT,2024-12-11,79.52,80.06,79.03,79.06,6125600
MDT,2024-12-12,79.05,79.38,78.69,78.88,5482817
MDT,2024-12-13,78.98,79.08,78.07,78.64,4301567
MDT,2024-12-16,78.18,78.67,77.34,77.56,6351900
MDT,2024-12-17,77.19,78.46,76.93,77.58,8021428
MDT,2024-12-18,77.58,77.85,76.27,76.3,7048610
MDT,2024-12-19,76.07,76.83,75.81,76.26,7191234
MDT,2024-12-20,76.15,77.49,76.09,77.26,10707300
MDT,2024-12-23,76.93,77.8,76.68,77.61,7421726
MDT,2024-12-24,77.51,77.97,77.31,77.74,2465929
MDT,2024-12-26,77.52,77.96,77.44,77.8,3320029
MDT,2024-12-27,77.46,78.16,77.37,77.65,3880783
MDT,2024-12-30,77.13,77.29,76.25,76.56,5136445
MDT,2024-12-31,76.76,77.16,76.34,76.82,4803813
MDT,2025-01-02,77.29,77.58,76.8,77.15,5575206
MDT,2025-01-03,77.42,77.9,76.92,77.85,5394979
MDT,2025-01-06,77.43,78.03,76.61,76.78,7886375
MDT,2025-01-07,77.29,77.96,76.68,76.81,7363342
MDT,2025-01-08,77.33,80.03,77.27,79.51,11154164
MDT,2025-01-10,78.86,79.33,77.43,77.57,7068239
MDT,2025-01-13,77.81,78.98,76.95,78.66,6487705
MDT,2025-01-14,80.19,82.04,79.92,81.98,13399703
MDT,2025-01-15,80.71,82.6,80.71,82.13,12261139
MDT,2025-01-16,82.16,83.88,81.77,83.82,7267500
MDT,2025-01-17,83.9,85.23,83.71,84.7,9578900
MDT,2025-01-21,85.06,85.3,84.4,84.99,8376600
MDT,2025-01-22,84.85,85.07,84.07,84.47,5222900
MDT,2025-01-23,84.5,85.91,84.44,85.83,5694300
MDT,2025-01-24,85.69,86.84,85.41,86.73,7349517
MDT,2025-01-27,87.19,88.94,86.89,88.92,9164300
MDT,2025-01-28,88.92,89.52,88.16,88.46,7961373
MDT,2025-01-29,88.99,89.42,87.86,87.91,5514700
MDT,2025-01-30,88.2,89.26,87.95,88.46,5101862
MDT,2025-01-31,88.21,88.57,87.18,87.34,7216805
MDT,2025-02-03,86.81,87.71,85.83,87.06,5800340
MDT,2025-02-04,86.41,87.61,86.26,87.48,5196300
MDT,2025-02-05,87.78,88.55,87.21,88.18,5181172
MDT,2025-02-06,87.76,88.42,87.28,87.34,4509493
MDT,2025-02-07,87.63,87.68,86.12,86.56,6349592
MDT,2025-02-10,86.83,87.46,86.56,87.36,5029341
MDT,2025-02-11,87.36,87.97,87.04,87.71,6535110
MDT,2025-02-12,87.13,88.13,86.47,87.85,7053205
MDT,2025-02-13,87.78,88.94,87.39,88.67,5991000
MDT,2025-02-14,88.87,89.48,88.34,89.25,10855448
MDT,2025-02-18,84.59,85.05,81.8,82.77,14516700
MDT,2025-02-19,82.71,83.83,82.42,83.67,8972100
MDT,2025-02-20,83.44,84.89,83.04,84.57,5804300
MDT,2025-02-21,84.28,87.65,84.22,86.49,11763000
MDT,2025-02-24,86.1,87.58,85.7,86.71,7158500
MDT,2025-02-25,86.89,87.37,85.8,87.01,6290495
MDT,2025-02-26,86.99,87.7,86.55,87.11,5108500
MDT,2025-02-27,86.84,87.78,86.64,87.26,4735900
MDT,2025-02-28,88.04,88.86,86.84,88.49,7685318
MDT,2025-03-03,89.12,91.3,88.77,90.69,9306335
MDT,2025-03-04,91.12,91.91,89.39,89.47,7644300
MDT,2025-03-05,90.01,91.1,89.7,90.46,5820604
MDT,2025-03-06,90.15,90.38,88.56,89.56,5339821
MDT,2025-03-07,89.05,91.39,88.9,90.88,7796339
MDT,2025-03-10,90.96,92.57,89.97,90.21,10771734
MDT,2025-03-11,89.83,90.34,89.12,89.71,7457625
MDT,2025-03-12,89.33,89.43,86.88,88.0,6301000
MDT,2025-03-13,88.25,89.18,88.05,88.79,6737600
MDT,2025-03-14,88.77,89.72,88.59,89.5,7788807
MDT,2025-03-17,89.5,90.09,89.26,89.77,8099201
MDT,2025-03-18,90.08,90.13,88.23,88.68,12259300
MDT,2025-03-19,88.73,89.26,87.65,88.35,11665315
MDT,2025-03-20,88.47,88.47,86.83,87.72,10469600
MDT,2025-03-21,87.09,87.36,86.2,86.87,14027974
MDT,2025-03-24,87.22,87.36,86.27,86.68,5420539
MDT,2025-03-25,86.83,87.04,84.17,85.2,8819832
MDT,2025-03-26,85.23,85.74,84.65,84.85,7466403
MDT,2025-03-27,85.26,86.02,84.63,85.57,7340176
MDT,2025-03-28,85.15,85.67,84.55,84.94,6320312
MDT,2025-03-31,84.33,87.54,84.26,87.1,8241412
MDT,2025-04-01,86.06,86.84,85.5,85.77,7059601
MDT,2025-04-02,85.71,86.26,84.77,86.13,5577200
MDT,2025-04-03,85.88,86.79,85.0,85.19,7663140
MDT,2025-04-04,85.28,85.39,80.14,80.33,12034000
MDT,2025-04-07,78.72,82.74,78.1,80.59,12129100
MDT,2025-04-08,81.9,82.68,78.13,79.36,10183900
MDT,2025-04-09,78.03,82.87,77.11,82.66,11981144
MDT,2025-04-10,82.22,82.68,78.5,80.0,8838405
MDT,2025-04-11,80.6,80.87,78.68,80.35,8014039
MDT,2025-04-14,81.39,81.67,80.56,81.63,5596036
MDT,2025-04-15,82.03,82.13,79.69,79.84,5829510
MDT,2025-04-16,80.64,81.9,79.68,80.16,7111766
MDT,2025-04-17,79.97,80.76,79.59,80.06,5940500
MDT,2025-04-21,80.06,80.34,78.66,79.28,5220184
MDT,2025-04-22,80.27,81.05,79.97,80.81,5284905
MDT,2025-04-23,81.58,82.73,80.8,81.15,6468233
