symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MDU,2024-08-27,13.26,13.32,13.16,13.21,1232472
MDU,2024-08-28,13.22,13.32,13.12,13.15,1173594
MDU,2024-08-29,13.2,13.41,13.17,13.27,1533045
MDU,2024-08-30,13.32,13.56,13.25,13.54,1954587
MDU,2024-09-03,13.46,13.51,13.18,13.33,2095453
MDU,2024-09-04,13.31,13.46,13.2,13.21,2259319
MDU,2024-09-05,13.23,13.3,13.06,13.13,1424025
MDU,2024-09-06,13.16,13.25,13.01,13.03,1350420
MDU,2024-09-09,13.05,13.22,12.93,13.15,1616434
MDU,2024-09-10,13.18,13.28,13.14,13.2,1384571
MDU,2024-09-11,13.16,13.24,12.93,13.21,1075367
MDU,2024-09-12,13.29,13.63,13.27,13.54,1446666
MDU,2024-09-13,13.74,14.7,13.7,14.52,4991950
MDU,2024-09-16,14.58,14.71,14.31,14.45,3709455
MDU,2024-09-17,14.41,14.5,13.92,13.99,3662560
MDU,2024-09-18,14.02,14.02,13.7,13.86,3987538
MDU,2024-09-19,14.05,14.19,13.93,14.1,2390781
MDU,2024-09-20,14.08,14.45,14.06,14.45,4150081
MDU,2024-09-23,14.51,14.78,14.46,14.66,2710943
MDU,2024-09-24,14.69,14.73,14.57,14.61,2134281
MDU,2024-09-25,14.63,14.68,14.52,14.62,1462783
MDU,2024-09-26,14.67,14.75,14.43,14.52,1944479
MDU,2024-09-27,14.59,14.63,14.5,14.52,2600860
MDU,2024-09-30,14.53,14.64,14.41,14.52,3622887
MDU,2024-10-01,14.51,14.52,14.31,14.36,2062951
MDU,2024-10-02,14.27,14.51,14.27,14.4,1601068
MDU,2024-10-03,14.38,14.41,14.17,14.25,1743026
MDU,2024-10-04,14.36,14.47,14.28,14.43,1727491
MDU,2024-10-07,14.36,14.6,14.34,14.53,2151183
MDU,2024-10-08,14.94,15.21,14.89,14.89,9108719
MDU,2024-10-09,14.89,15.14,14.87,14.9,5024468
MDU,2024-10-10,14.89,14.93,14.47,14.51,65452525
MDU,2024-10-11,14.63,15.15,14.61,15.14,5167030
MDU,2024-10-14,15.15,15.31,15.12,15.28,5107847
MDU,2024-10-15,15.35,15.64,15.28,15.35,5009313
MDU,2024-10-16,15.37,15.83,15.37,15.8,4863840
MDU,2024-10-17,15.76,15.95,15.39,15.42,4820785
MDU,2024-10-18,15.48,16.16,15.34,16.04,7922929
MDU,2024-10-21,15.65,15.92,15.47,15.48,5330623
MDU,2024-10-22,15.43,15.45,15.19,15.27,4156203
MDU,2024-10-23,15.24,15.43,15.1,15.29,2826475
MDU,2024-10-24,15.3,15.46,15.19,15.24,3561033
MDU,2024-10-25,15.36,15.44,15.14,15.25,2551637
MDU,2024-10-28,15.33,15.77,15.3,15.69,3448575
MDU,2024-10-29,15.51,15.56,15.3,15.46,2674044
MDU,2024-10-30,15.36,15.66,15.27,15.31,3540516
