symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MGTX,2025-02-07,6.93,7.09,6.71,6.81,192512
MGTX,2025-02-10,6.81,6.83,6.57,6.67,202923
MGTX,2025-02-11,6.54,6.61,6.3,6.39,351200
MGTX,2025-02-12,6.28,6.45,6.23,6.44,223627
MGTX,2025-02-13,6.49,6.68,6.31,6.6,164400
MGTX,2025-02-14,6.45,6.85,6.45,6.7,197805
MGTX,2025-02-18,6.75,7.06,6.73,6.79,280331
MGTX,2025-02-19,6.77,7.01,6.72,6.89,306827
MGTX,2025-02-20,6.86,7.0,6.81,6.83,172200
MGTX,2025-02-21,7.35,7.8,6.87,7.3,954300
MGTX,2025-02-24,7.42,7.52,6.92,7.17,522000
MGTX,2025-02-25,7.17,7.36,6.96,7.13,420200
MGTX,2025-02-26,7.12,7.31,6.9,7.31,310085
MGTX,2025-02-27,7.3,7.42,6.95,6.98,332643
MGTX,2025-02-28,6.9,7.13,6.85,7.13,390100
MGTX,2025-03-03,7.14,7.26,6.42,6.48,304887
MGTX,2025-03-04,6.3,6.82,6.1,6.68,380900
MGTX,2025-03-05,6.68,6.7,6.36,6.58,368792
MGTX,2025-03-06,6.48,6.59,6.36,6.46,311600
MGTX,2025-03-07,6.51,6.63,6.27,6.38,190500
MGTX,2025-03-10,6.31,6.36,5.86,6.09,366399
MGTX,2025-03-11,6.13,6.17,5.77,6.1,487346
MGTX,2025-03-12,6.14,6.42,6.1,6.41,273205
MGTX,2025-03-13,7.73,8.49,7.4,8.25,6307100
MGTX,2025-03-14,8.56,8.75,7.7,7.79,1505400
MGTX,2025-03-17,7.93,8.07,7.66,7.87,605164
MGTX,2025-03-18,7.82,7.96,7.46,7.5,481131
MGTX,2025-03-19,7.49,7.82,7.36,7.77,360344
MGTX,2025-03-20,7.65,7.75,7.57,7.65,357335
MGTX,2025-03-21,7.54,7.64,7.37,7.56,849500
MGTX,2025-03-24,7.52,7.79,7.28,7.69,647022
MGTX,2025-03-25,7.72,7.95,7.68,7.79,616949
MGTX,2025-03-26,7.77,7.85,7.13,7.23,366119
MGTX,2025-03-27,7.2,7.48,7.16,7.39,444211
MGTX,2025-03-28,7.17,7.53,7.05,7.33,266700
