symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MKTX,2025-02-12,190.11,190.11,185.09,189.04,1180308
MKTX,2025-02-13,189.67,190.07,186.74,187.58,431000
MKTX,2025-02-14,188.77,191.55,188.1,189.61,642725
MKTX,2025-02-18,190.1,190.37,188.07,190.2,475712
MKTX,2025-02-19,189.47,192.03,187.4,188.44,683558
MKTX,2025-02-20,188.52,188.88,185.51,186.73,508000
MKTX,2025-02-21,187.05,191.87,183.82,190.82,799412
MKTX,2025-02-24,190.99,195.33,189.16,191.11,797300
MKTX,2025-02-25,190.41,195.66,189.12,193.58,900651
MKTX,2025-02-26,193.59,194.1,187.68,188.7,616138
MKTX,2025-02-27,187.82,191.8,187.82,188.25,826300
MKTX,2025-02-28,187.29,190.21,186.92,189.66,3564000
MKTX,2025-03-03,190.46,192.54,188.82,190.89,650400
MKTX,2025-03-04,190.84,196.45,189.86,194.68,1341944
MKTX,2025-03-05,193.25,194.45,190.63,192.68,1185651
MKTX,2025-03-06,192.68,203.64,192.68,202.81,1423821
MKTX,2025-03-07,202.81,207.51,202.39,205.55,920700
MKTX,2025-03-10,203.65,212.71,203.65,209.12,876300
MKTX,2025-03-11,209.95,211.53,205.53,206.56,860145
MKTX,2025-03-12,206.56,207.42,201.95,203.6,504119
MKTX,2025-03-13,203.59,208.89,203.59,208.57,526300
MKTX,2025-03-14,209.24,211.3,207.13,208.94,518300
MKTX,2025-03-17,209.94,215.17,209.94,213.81,600009
MKTX,2025-03-18,213.59,215.01,211.96,213.84,329800
MKTX,2025-03-19,213.37,215.23,212.77,213.24,392200
MKTX,2025-03-20,212.44,214.84,212.17,214.29,327264
MKTX,2025-03-21,213.79,215.61,213.15,213.35,797045
MKTX,2025-03-24,213.38,213.49,207.44,208.35,502914
MKTX,2025-03-25,208.2,210.59,207.07,209.96,356600
MKTX,2025-03-26,210.32,211.7,209.97,211.4,385728
MKTX,2025-03-27,212.12,217.56,211.51,215.46,473833
MKTX,2025-03-28,215.97,215.97,212.65,213.24,365011
MKTX,2025-03-31,213.93,215.55,212.11,212.84,669950
MKTX,2025-04-01,212.6,213.67,210.77,212.42,541500
MKTX,2025-04-02,211.53,211.77,206.38,207.41,614918
MKTX,2025-04-03,210.88,219.65,208.18,212.65,867339
MKTX,2025-04-04,223.67,226.12,208.84,209.49,1502700
MKTX,2025-04-07,208.03,216.39,203.96,204.55,1154416
MKTX,2025-04-08,208.27,208.57,200.89,202.93,811100
MKTX,2025-04-09,200.43,211.61,190.86,199.9,1822000
MKTX,2025-04-10,200.83,208.92,199.51,206.91,790314
MKTX,2025-04-11,207.59,219.8,206.11,218.21,1218949
MKTX,2025-04-14,216.77,220.1,215.89,218.81,510600
MKTX,2025-04-15,218.67,222.92,217.62,220.35,497000
MKTX,2025-04-16,221.25,223.02,218.72,219.12,460200
MKTX,2025-04-17,218.77,222.96,218.77,221.51,351905
MKTX,2025-04-21,221.26,222.28,216.03,218.57,367600
MKTX,2025-04-22,218.23,220.28,216.64,218.8,466747
MKTX,2025-04-23,216.73,216.93,212.01,214.06,619847
MKTX,2025-04-24,216.42,217.36,213.39,214.65,483200
MKTX,2025-04-25,213.93,216.67,212.43,215.45,402427
MKTX,2025-04-28,215.12,216.03,213.65,215.09,320868
MKTX,2025-04-29,215.47,218.87,214.53,218.1,431725
MKTX,2025-04-30,217.94,219.15,212.16,218.0,669200
MKTX,2025-05-01,216.71,221.41,216.49,220.34,429935
MKTX,2025-05-02,220.52,223.24,219.89,222.02,366400
MKTX,2025-05-05,222.67,224.2,219.87,223.12,556000
MKTX,2025-05-06,224.87,227.53,221.27,225.17,739010
MKTX,2025-05-07,214.46,226.26,214.46,224.44,514828
MKTX,2025-05-08,228.04,229.06,222.31,222.57,394937
MKTX,2025-05-09,223.4,228.5,221.77,227.34,379434
MKTX,2025-05-12,224.51,226.78,213.43,214.55,899816
MKTX,2025-05-13,215.34,216.04,208.21,209.68,1262300
MKTX,2025-05-14,210.24,210.24,206.4,207.4,791209
