symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MLI,2024-08-27,68.98,69.23,68.06,68.41,450100
MLI,2024-08-28,68.41,69.33,68.28,68.59,680146
MLI,2024-08-29,69.01,70.38,68.63,69.95,453048
MLI,2024-08-30,70.14,71.38,69.99,71.27,602163
MLI,2024-09-03,70.63,71.4,66.96,67.26,915437
MLI,2024-09-04,66.38,66.84,65.57,66.53,748701
MLI,2024-09-05,66.46,66.46,65.18,65.55,551400
MLI,2024-09-06,65.68,66.66,64.61,64.78,715704
MLI,2024-09-09,65.3,66.33,65.04,65.72,663418
MLI,2024-09-10,65.82,66.27,65.08,66.0,601956
MLI,2024-09-11,65.68,66.28,64.14,66.01,483730
MLI,2024-09-12,66.39,67.21,65.66,67.11,505600
MLI,2024-09-13,68.27,69.77,67.76,69.08,595400
MLI,2024-09-16,69.33,69.54,68.48,69.31,612825
MLI,2024-09-17,70.0,71.21,69.64,70.02,700111
MLI,2024-09-18,70.27,71.32,69.35,69.74,1008806
MLI,2024-09-19,71.68,72.5,70.62,72.42,833600
MLI,2024-09-20,72.22,73.22,71.3,71.34,5770400
MLI,2024-09-23,71.76,72.58,70.49,70.6,619413
MLI,2024-09-24,70.61,71.09,69.93,70.23,468930
MLI,2024-09-25,70.36,70.49,69.16,69.35,706524
MLI,2024-09-26,70.34,71.0,69.75,70.39,741507
MLI,2024-09-27,71.03,72.4,70.48,70.89,652000
MLI,2024-09-30,70.88,72.86,70.73,72.85,1039724
MLI,2024-10-01,72.63,72.98,70.95,71.75,640002
MLI,2024-10-02,71.26,71.9,70.85,70.99,512832
MLI,2024-10-03,70.81,71.34,69.96,70.57,530342
MLI,2024-10-04,71.93,72.07,70.83,71.42,426617
MLI,2024-10-07,70.65,70.94,69.8,70.68,399100
MLI,2024-10-08,70.69,71.13,69.68,70.73,570300
MLI,2024-10-09,71.05,71.6,70.8,71.03,718100
MLI,2024-10-10,70.29,70.39,68.31,70.0,831225
MLI,2024-10-11,70.42,72.04,70.42,71.61,446047
MLI,2024-10-14,71.44,72.55,71.18,72.18,566900
MLI,2024-10-15,72.14,72.86,71.6,71.63,531400
MLI,2024-10-16,72.37,73.57,72.13,72.95,861000
MLI,2024-10-17,73.14,73.72,72.19,72.75,468646
MLI,2024-10-18,72.86,72.86,70.85,71.01,862300
MLI,2024-10-21,71.15,71.25,70.05,70.87,863877
MLI,2024-10-22,77.17,82.69,75.7,80.83,1953161
MLI,2024-10-23,80.54,81.15,78.17,79.64,1078963
MLI,2024-10-24,79.91,80.46,79.19,80.42,890295
MLI,2024-10-25,80.91,81.34,79.86,80.47,1023640
MLI,2024-10-28,81.01,82.0,80.38,81.66,932808
MLI,2024-10-29,80.86,81.68,80.26,81.6,551900
MLI,2024-10-30,81.6,82.64,81.34,81.6,621000
MLI,2024-10-31,81.99,82.47,80.56,80.59,774303
MLI,2024-11-01,81.6,81.81,79.95,80.09,930200
MLI,2024-11-04,80.22,82.43,80.22,81.6,600889
MLI,2024-11-05,81.04,83.45,80.68,83.3,510765
MLI,2024-11-06,88.94,94.23,87.3,93.4,1725324
MLI,2024-11-07,93.0,93.36,91.46,91.93,796253
MLI,2024-11-08,91.83,93.49,91.09,92.81,677747
MLI,2024-11-11,93.87,95.18,92.9,93.73,691988
MLI,2024-11-12,93.07,94.29,91.52,91.88,708912
MLI,2024-11-13,92.55,92.91,89.44,89.47,630836
MLI,2024-11-14,89.45,91.06,88.43,88.63,763948
MLI,2024-11-15,89.06,89.47,87.1,87.19,719100
