symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MO,2024-12-05,51.01,51.65,50.96,51.24,5398617
MO,2024-12-06,51.89,52.23,51.33,51.61,5733000
MO,2024-12-09,51.67,51.67,49.81,50.29,8641403
MO,2024-12-10,50.15,50.54,49.89,49.96,8319917
MO,2024-12-11,50.14,50.42,49.17,49.24,9363845
MO,2024-12-12,49.43,49.57,49.09,49.51,6278749
MO,2024-12-13,49.39,49.68,49.12,49.45,6532800
MO,2024-12-16,49.61,49.69,49.21,49.25,6723314
MO,2024-12-17,49.14,49.23,48.57,48.73,10125526
MO,2024-12-18,48.63,48.77,47.9,47.94,10619446
MO,2024-12-19,48.11,48.42,47.7,47.71,10823516
MO,2024-12-20,47.64,48.51,47.58,48.47,27063835
MO,2024-12-23,48.47,48.48,47.67,48.24,7199632
MO,2024-12-24,48.28,48.29,48.07,48.14,5406818
MO,2024-12-26,47.99,48.45,47.69,48.28,5231835
MO,2024-12-27,48.03,48.5,47.81,48.07,6425528
MO,2024-12-30,47.95,48.03,47.39,47.8,5409900
MO,2024-12-31,47.92,48.05,47.58,47.99,4708900
MO,2025-01-02,48.14,48.62,48.07,48.19,5473356
MO,2025-01-03,48.49,48.81,48.27,48.77,5609678
MO,2025-01-06,48.7,48.81,47.7,47.81,6242400
MO,2025-01-07,47.99,48.11,47.21,47.23,5365700
MO,2025-01-08,47.18,47.29,46.76,47.26,6487200
MO,2025-01-10,46.95,47.49,46.4,46.69,12003224
MO,2025-01-13,46.86,46.93,46.49,46.67,5816244
MO,2025-01-14,46.77,47.2,46.63,47.14,6391513
MO,2025-01-15,46.67,47.3,46.64,46.84,7026100
MO,2025-01-16,46.71,47.3,46.55,46.95,5969600
MO,2025-01-17,46.88,47.74,46.77,47.6,6532500
MO,2025-01-21,47.74,47.89,46.94,47.24,8195412
MO,2025-01-22,47.11,47.3,46.45,46.63,7840300
MO,2025-01-23,46.63,47.17,46.6,47.0,6539822
MO,2025-01-24,47.04,47.88,46.99,47.77,8030424
MO,2025-01-27,48.11,49.38,48.11,49.07,9771200
MO,2025-01-28,49.01,49.17,47.89,48.28,10642010
MO,2025-01-29,48.46,48.74,48.22,48.33,8537628
MO,2025-01-30,46.82,47.4,45.96,47.3,16528200
MO,2025-01-31,47.09,48.15,47.09,47.94,9555360
MO,2025-02-03,47.72,48.58,47.58,48.5,8428500
MO,2025-02-04,48.56,48.64,47.73,48.29,6876333
MO,2025-02-05,48.56,48.57,48.1,48.26,5166509
MO,2025-02-06,48.99,49.1,48.06,48.31,6968107
MO,2025-02-07,48.43,48.7,48.12,48.33,5531130
MO,2025-02-10,48.38,49.44,48.38,49.41,5778646
MO,2025-02-11,49.42,49.5,48.92,49.42,5172700
MO,2025-02-12,49.11,49.45,48.8,48.95,4829405
MO,2025-02-13,48.94,49.31,48.09,49.21,6379331
