symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MSA,2025-02-10,162.97,164.0,162.71,163.69,118218
MSA,2025-02-11,162.85,164.23,162.17,162.97,97902
MSA,2025-02-12,161.13,161.79,159.07,160.39,141200
MSA,2025-02-13,158.53,163.72,158.53,160.77,203400
MSA,2025-02-14,161.12,162.37,154.97,156.3,148500
MSA,2025-02-18,154.91,158.07,154.31,157.73,152400
MSA,2025-02-19,157.31,157.85,155.59,156.66,137200
MSA,2025-02-20,155.59,157.8,155.07,157.05,145500
MSA,2025-02-21,157.46,157.48,154.14,156.43,166200
MSA,2025-02-24,156.62,159.48,154.74,158.76,236011
MSA,2025-02-25,159.17,161.77,158.08,161.11,186000
MSA,2025-02-26,159.51,161.74,159.51,159.68,224232
MSA,2025-02-27,158.55,161.04,158.55,160.09,240000
MSA,2025-02-28,160.2,162.29,159.61,161.69,234709
MSA,2025-03-03,161.86,162.36,157.9,158.07,223400
MSA,2025-03-04,157.16,157.41,154.41,155.9,135200
MSA,2025-03-05,155.85,157.63,155.14,157.59,157500
MSA,2025-03-06,156.67,157.07,155.0,156.49,125614
MSA,2025-03-07,155.61,157.63,155.22,156.05,176900
MSA,2025-03-10,155.69,158.18,152.92,153.56,142922
MSA,2025-03-11,153.98,154.38,149.28,150.59,135030
MSA,2025-03-12,151.24,152.01,148.28,148.76,151800
MSA,2025-03-13,148.77,149.63,146.76,147.79,113937
MSA,2025-03-14,147.61,149.25,147.26,148.54,241130
MSA,2025-03-17,149.06,151.53,149.06,150.16,141422
MSA,2025-03-18,150.16,152.04,148.48,149.49,118700
MSA,2025-03-19,149.57,150.86,148.88,150.14,192455
MSA,2025-03-20,149.06,149.57,147.55,148.71,201634
MSA,2025-03-21,147.66,148.36,146.41,148.01,672223
MSA,2025-03-24,148.15,149.39,147.78,149.32,145600
MSA,2025-03-25,150.35,152.12,149.62,150.75,168600
MSA,2025-03-26,151.32,152.75,149.98,151.0,221000
MSA,2025-03-27,151.74,153.53,149.92,150.03,219200
MSA,2025-03-28,149.68,150.55,145.95,146.19,176628
MSA,2025-03-31,145.63,146.17,144.22,144.89,184100
MSA,2025-04-01,144.4,145.81,142.35,145.27,180100
MSA,2025-04-02,144.4,148.1,144.4,147.82,135100
MSA,2025-04-03,144.16,144.19,141.24,141.3,226400
MSA,2025-04-04,137.38,138.52,132.3,132.51,296533
MSA,2025-04-07,130.06,132.12,126.29,128.61,295100
MSA,2025-04-08,132.05,133.13,130.04,131.19,444416
MSA,2025-04-09,130.13,143.49,130.13,141.8,409149
MSA,2025-04-10,139.72,141.2,136.86,140.12,355345
MSA,2025-04-11,140.36,143.53,138.87,142.42,310809
MSA,2025-04-14,143.24,144.29,139.26,142.87,287900
MSA,2025-04-15,143.1,143.76,140.15,141.02,241000
MSA,2025-04-16,141.52,141.86,139.31,140.75,234045
MSA,2025-04-17,140.91,143.01,139.43,142.31,161903
MSA,2025-04-21,141.78,142.45,139.78,140.62,244300
MSA,2025-04-22,142.35,143.93,140.59,143.38,199300
MSA,2025-04-23,146.44,148.56,145.86,147.54,364632
MSA,2025-04-24,147.68,151.66,146.93,151.43,276153
MSA,2025-04-25,150.42,152.03,150.14,151.53,227400
MSA,2025-04-28,151.02,153.04,149.4,150.72,277079
MSA,2025-04-29,149.93,152.48,149.73,152.36,323500
MSA,2025-04-30,153.09,157.28,148.79,155.48,541424
MSA,2025-05-01,154.92,156.08,153.82,153.89,257918
MSA,2025-05-02,156.26,156.7,154.58,155.09,172317
MSA,2025-05-05,154.36,154.98,153.65,153.79,179316
MSA,2025-05-06,152.62,154.48,152.62,153.61,295100
MSA,2025-05-07,154.22,154.67,152.63,153.88,289748
MSA,2025-05-08,155.17,157.64,152.74,155.57,157000
MSA,2025-05-09,155.54,157.16,154.47,155.62,139918
MSA,2025-05-12,158.54,159.9,158.33,159.58,144431
MSA,2025-05-13,159.42,160.22,158.91,159.02,271700
MSA,2025-05-14,159.02,159.11,156.45,156.57,218947
MSA,2025-05-15,157.34,157.81,156.45,157.14,192400
MSA,2025-05-16,158.0,158.33,156.73,158.06,299241
MSA,2025-05-19,156.06,158.13,156.06,158.03,158500
MSA,2025-05-20,157.95,158.84,156.93,157.61,172300
MSA,2025-05-21,156.54,158.43,155.85,156.09,342226
MSA,2025-05-22,155.79,157.79,155.05,156.89,251705
MSA,2025-05-23,155.12,156.8,154.71,156.33,157108
MSA,2025-05-27,158.18,161.04,157.14,160.94,179400
MSA,2025-05-28,160.6,161.2,159.68,160.87,263802
MSA,2025-05-29,161.53,163.2,160.97,162.73,335000
MSA,2025-05-30,162.43,162.57,160.67,161.5,373900
MSA,2025-06-02,160.78,161.91,159.66,160.39,445801
MSA,2025-06-03,160.25,164.65,159.63,163.72,235636
MSA,2025-06-04,164.66,165.03,163.56,163.56,170349
MSA,2025-06-05,163.71,164.96,162.89,163.76,175200
MSA,2025-06-06,165.3,166.0,163.41,163.63,134100
MSA,2025-06-09,164.11,165.48,163.52,164.6,179200
MSA,2025-06-10,165.21,165.84,164.58,164.92,138002
MSA,2025-06-11,164.81,165.13,163.06,163.58,128026
MSA,2025-06-12,163.33,163.59,162.0,163.35,115000
MSA,2025-06-13,162.16,163.33,160.44,160.71,204600
MSA,2025-06-16,162.14,164.59,161.56,164.44,177714
MSA,2025-06-17,163.44,165.28,162.36,162.66,277647
MSA,2025-06-18,162.6,165.16,162.51,163.64,271015
MSA,2025-06-20,164.35,165.58,163.34,163.37,757600
MSA,2025-06-23,162.87,165.02,161.94,164.9,196806
MSA,2025-06-24,166.11,167.96,165.03,167.14,212247
MSA,2025-06-25,166.99,168.25,164.9,166.55,227800
MSA,2025-06-26,167.19,168.36,165.91,167.64,153932
MSA,2025-06-27,168.24,168.59,164.76,165.83,377222
MSA,2025-06-30,165.76,166.53,163.98,166.02,195800
MSA,2025-07-01,165.32,171.18,164.45,169.76,169132
MSA,2025-07-02,169.67,171.99,168.91,171.97,205810
MSA,2025-07-03,172.91,174.19,172.29,174.19,154900
MSA,2025-07-07,173.9,173.9,169.07,170.0,218447
MSA,2025-07-08,169.99,173.47,169.99,172.76,212928
MSA,2025-07-09,173.62,175.4,171.42,171.88,222709
MSA,2025-07-10,171.67,174.72,170.95,173.42,134316
MSA,2025-07-11,172.4,172.63,170.97,171.22,87227
