symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MSGS,2025-02-12,206.18,210.01,206.16,210.0,86630
MSGS,2025-02-13,210.25,211.66,209.73,210.99,71838
MSGS,2025-02-14,210.82,212.0,209.29,211.67,77900
MSGS,2025-02-18,212.3,212.99,206.65,206.91,117322
MSGS,2025-02-19,207.57,209.77,205.83,207.52,132303
MSGS,2025-02-20,206.74,207.39,205.46,205.46,96209
MSGS,2025-02-21,205.74,205.96,201.79,203.11,103000
MSGS,2025-02-24,204.01,206.95,201.95,202.66,114220
MSGS,2025-02-25,201.8,202.87,199.25,201.99,129300
MSGS,2025-02-26,202.09,204.51,201.84,202.76,91949
MSGS,2025-02-27,202.84,204.47,200.72,201.32,82300
MSGS,2025-02-28,199.99,203.75,199.38,203.69,134800
MSGS,2025-03-03,205.06,205.06,200.26,201.48,148000
MSGS,2025-03-04,199.67,200.04,197.14,198.73,171114
MSGS,2025-03-05,198.71,201.44,197.52,200.29,112800
MSGS,2025-03-06,198.59,200.52,197.53,198.37,101100
MSGS,2025-03-07,196.96,199.32,193.56,196.84,130910
MSGS,2025-03-10,195.0,196.45,187.61,189.78,184943
MSGS,2025-03-11,189.93,192.23,186.5,187.75,117755
MSGS,2025-03-12,188.26,188.66,185.24,188.45,107829
MSGS,2025-03-13,186.89,188.07,185.3,185.75,154500
MSGS,2025-03-14,187.73,189.02,186.15,188.92,154700
MSGS,2025-03-17,187.69,193.46,187.69,192.04,111100
MSGS,2025-03-18,191.73,191.73,189.19,191.01,96300
MSGS,2025-03-19,191.2,196.67,190.7,194.68,198700
MSGS,2025-03-20,193.17,201.2,193.17,197.75,421642
MSGS,2025-03-21,196.78,198.53,195.14,198.52,264630
MSGS,2025-03-24,200.84,201.67,198.6,199.29,188300
MSGS,2025-03-25,198.61,199.18,195.27,197.87,177211
MSGS,2025-03-26,199.18,199.99,197.3,198.51,112900
MSGS,2025-03-27,198.51,199.1,196.18,198.7,103628
MSGS,2025-03-28,198.72,198.81,192.68,194.97,191600
MSGS,2025-03-31,193.99,195.04,191.27,194.72,180450
MSGS,2025-04-01,195.17,198.5,193.4,198.36,174944
MSGS,2025-04-02,195.93,199.48,194.5,199.23,96806
MSGS,2025-04-03,193.26,195.65,191.17,193.35,172300
MSGS,2025-04-04,188.58,190.83,178.58,180.96,341736
MSGS,2025-04-07,177.01,185.07,173.26,178.79,383631
MSGS,2025-04-08,184.0,184.14,173.67,175.61,150900
MSGS,2025-04-09,173.6,189.39,173.6,188.67,191805
MSGS,2025-04-10,186.51,189.5,182.9,187.96,171200
MSGS,2025-04-11,188.56,191.89,186.1,190.42,175600
MSGS,2025-04-14,191.73,193.19,190.15,190.35,129900
MSGS,2025-04-15,190.45,194.0,190.0,192.58,116100
MSGS,2025-04-16,192.11,192.11,186.29,188.83,108835
MSGS,2025-04-17,190.0,192.33,188.35,191.65,72800
MSGS,2025-04-21,189.29,189.35,183.58,185.4,133324
MSGS,2025-04-22,185.5,189.08,185.5,188.09,283800
MSGS,2025-04-23,192.04,195.12,188.96,189.57,88332
MSGS,2025-04-24,189.42,192.88,189.42,191.74,76800
MSGS,2025-04-25,192.37,192.95,189.39,192.16,93500
MSGS,2025-04-28,193.45,196.59,193.26,195.4,134851
MSGS,2025-04-29,194.82,196.12,192.57,193.44,157027
MSGS,2025-04-30,192.49,192.78,188.99,192.57,170800
MSGS,2025-05-01,193.15,194.64,192.13,192.85,165000
MSGS,2025-05-02,188.92,192.59,184.63,187.36,219233
MSGS,2025-05-05,186.23,190.23,185.25,188.87,207641
MSGS,2025-05-06,189.11,191.94,188.2,190.63,130900
MSGS,2025-05-07,191.14,193.98,190.24,190.31,193249
MSGS,2025-05-08,190.89,193.36,190.44,190.91,118100
MSGS,2025-05-09,191.22,192.78,191.0,191.8,105539
MSGS,2025-05-12,196.0,196.0,194.11,195.13,105842
MSGS,2025-05-13,194.58,198.34,194.12,196.76,137900
MSGS,2025-05-14,197.0,197.0,194.69,196.09,128300
MSGS,2025-05-15,196.82,197.34,194.86,196.76,92100
MSGS,2025-05-16,197.88,198.77,195.73,197.42,110600
MSGS,2025-05-19,196.49,198.54,196.22,198.53,88737
MSGS,2025-05-20,198.95,199.0,195.36,196.63,73500
MSGS,2025-05-21,196.31,196.31,190.67,191.13,118018
MSGS,2025-05-22,190.22,191.61,188.43,190.25,135300
MSGS,2025-05-23,188.4,191.6,188.4,190.72,79208
MSGS,2025-05-27,192.34,192.34,189.97,191.27,148700
MSGS,2025-05-28,191.61,191.61,187.12,187.78,142000
MSGS,2025-05-29,187.78,189.63,186.72,189.63,108178
MSGS,2025-05-30,189.0,190.11,187.1,189.89,114163
MSGS,2025-06-02,189.18,190.3,187.0,189.76,107914
MSGS,2025-06-03,189.33,190.48,188.64,189.34,93724
MSGS,2025-06-04,189.25,190.14,188.53,188.8,151611
MSGS,2025-06-05,189.37,190.85,189.0,189.75,105400
MSGS,2025-06-06,191.28,191.28,189.53,191.22,102709
MSGS,2025-06-09,191.74,192.27,189.36,189.98,113107
MSGS,2025-06-10,190.04,192.28,189.97,192.27,181042
MSGS,2025-06-11,192.28,193.71,190.72,191.24,89400
MSGS,2025-06-12,190.2,190.46,188.55,189.49,135500
MSGS,2025-06-13,189.24,190.04,186.0,187.36,168800
MSGS,2025-06-16,188.26,190.97,188.24,190.74,181200
MSGS,2025-06-17,190.6,190.99,186.28,186.85,196526
MSGS,2025-06-18,187.04,191.23,186.21,191.11,374800
MSGS,2025-06-20,201.34,208.33,197.51,203.1,582044
MSGS,2025-06-23,203.17,209.62,201.89,207.29,447582
MSGS,2025-06-24,210.0,210.0,204.82,207.6,277820
MSGS,2025-06-25,207.59,208.15,203.94,205.73,195454
MSGS,2025-06-26,205.7,207.92,204.83,206.72,151275
MSGS,2025-06-27,206.82,208.88,205.7,208.57,426747
MSGS,2025-06-30,208.75,210.33,207.28,208.95,245800
MSGS,2025-07-01,207.72,209.14,204.51,205.0,202400
MSGS,2025-07-02,205.0,208.35,204.01,208.2,214103
MSGS,2025-07-03,209.0,211.88,206.2,207.9,148500
MSGS,2025-07-07,208.19,208.19,204.0,204.78,160700
MSGS,2025-07-08,204.12,206.06,202.58,202.95,175309
