symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MTB,2024-12-06,205.13,206.72,202.73,203.62,789700
MTB,2024-12-09,202.86,203.6,199.02,199.26,1192620
MTB,2024-12-10,202.04,203.05,198.92,199.51,948546
MTB,2024-12-11,200.58,200.92,194.4,194.67,1967937
MTB,2024-12-12,195.45,195.85,191.93,192.72,1714848
MTB,2024-12-13,193.29,193.73,190.15,192.09,1654907
MTB,2024-12-16,192.64,193.16,190.76,192.5,1435745
MTB,2024-12-17,191.05,191.86,187.56,189.06,1404221
MTB,2024-12-18,190.28,190.58,179.07,179.42,1876795
MTB,2024-12-19,183.55,184.57,178.18,178.72,1528661
MTB,2024-12-20,178.0,183.44,177.56,182.63,3379520
MTB,2024-12-23,180.9,183.85,180.59,182.26,1047200
MTB,2024-12-24,182.54,184.1,181.8,184.01,293501
MTB,2024-12-26,183.23,184.4,182.2,184.12,423735
MTB,2024-12-27,182.78,184.75,181.01,182.39,506756
MTB,2024-12-30,180.9,182.73,179.91,181.74,554436
MTB,2024-12-31,182.17,183.61,180.54,181.21,817610
MTB,2025-01-02,182.33,184.0,180.94,181.9,1292400
MTB,2025-01-03,182.54,184.88,179.94,184.62,1007500
MTB,2025-01-06,186.0,189.02,184.78,186.26,1034008
MTB,2025-01-07,187.92,188.89,184.22,185.1,920701
MTB,2025-01-08,184.6,185.35,182.76,184.23,1101007
MTB,2025-01-10,183.53,183.61,179.0,180.96,1445500
MTB,2025-01-13,180.79,184.64,179.67,184.24,1374041
MTB,2025-01-14,186.02,188.82,185.1,187.97,1516842
MTB,2025-01-15,192.75,194.1,189.74,193.61,2139100
MTB,2025-01-16,188.63,191.36,186.12,189.01,2392900
MTB,2025-01-17,189.04,190.02,187.38,189.65,2029636
MTB,2025-01-21,190.02,192.5,189.36,191.09,1325900
MTB,2025-01-22,190.64,190.64,187.34,188.53,1295187
MTB,2025-01-23,189.4,191.08,189.07,189.86,1539333
MTB,2025-01-24,188.41,193.09,188.41,191.76,971600
MTB,2025-01-27,192.54,194.89,191.88,193.77,1239860
MTB,2025-01-28,193.57,194.84,191.16,192.6,1353500
MTB,2025-01-29,192.7,195.44,191.87,193.12,1082618
MTB,2025-01-30,195.08,195.97,192.87,194.68,867905
MTB,2025-01-31,194.34,195.55,193.04,193.97,1691502
MTB,2025-02-03,189.45,190.44,186.77,188.79,1263500
MTB,2025-02-04,188.45,192.31,188.28,190.76,835538
MTB,2025-02-05,191.94,192.44,189.77,191.57,794600
MTB,2025-02-06,193.09,195.01,191.61,194.65,966600
MTB,2025-02-07,194.78,194.78,191.41,193.14,906334
MTB,2025-02-10,192.99,193.15,190.13,190.39,608124
MTB,2025-02-11,189.78,192.27,189.2,192.01,637428
MTB,2025-02-12,190.03,190.91,189.41,190.45,700760
MTB,2025-02-13,190.15,190.94,189.19,190.01,803772
MTB,2025-02-14,190.84,192.58,190.45,191.63,1197300
MTB,2025-02-18,192.19,194.05,190.84,193.36,1036116
MTB,2025-02-19,191.74,192.62,190.8,192.03,717418
MTB,2025-02-20,192.66,192.66,188.36,190.31,1240128
MTB,2025-02-21,191.19,191.21,185.42,186.53,1753100
MTB,2025-02-24,187.95,188.23,184.89,185.93,1136003
MTB,2025-02-25,186.98,186.98,183.32,183.72,1780100
MTB,2025-02-26,184.06,186.71,181.88,182.84,1378800
MTB,2025-02-27,183.5,185.57,181.45,182.59,1622212
MTB,2025-02-28,183.84,184.92,181.32,184.79,1590840
MTB,2025-03-03,185.8,187.41,181.06,183.28,1216500
MTB,2025-03-04,181.57,181.57,174.22,176.01,1660033
MTB,2025-03-05,176.01,176.67,171.43,172.98,2503810
MTB,2025-03-06,171.01,172.75,168.29,171.84,1727800
MTB,2025-03-07,171.9,173.9,169.19,173.5,1615500
MTB,2025-03-10,170.21,172.45,167.1,168.66,2021289
MTB,2025-03-11,168.44,170.29,164.83,166.16,1673700
MTB,2025-03-12,168.16,168.61,163.92,167.03,1179300
MTB,2025-03-13,168.24,169.06,165.07,165.48,1289696
MTB,2025-03-14,166.67,170.8,166.14,170.45,1244300
MTB,2025-03-17,169.68,170.94,167.53,170.28,1437922
MTB,2025-03-18,170.24,171.17,168.04,169.71,1288800
MTB,2025-03-19,169.48,173.45,169.1,171.87,880300
MTB,2025-03-20,170.36,173.43,169.56,171.73,1058200
MTB,2025-03-21,170.63,173.15,169.55,173.03,8883500
MTB,2025-03-24,174.76,177.5,174.07,177.02,924234
MTB,2025-03-25,177.04,178.42,176.28,177.63,708935
MTB,2025-03-26,178.83,180.22,176.12,176.86,787400
MTB,2025-03-27,177.14,177.38,174.13,174.41,709300
MTB,2025-03-28,173.25,174.77,169.22,170.15,1084945
MTB,2025-03-31,168.88,174.2,168.05,173.51,1286909
MTB,2025-04-01,172.63,173.11,169.11,171.2,1039700
MTB,2025-04-02,169.74,174.74,169.48,174.45,822568
MTB,2025-04-03,165.89,166.37,158.45,158.58,2143532
MTB,2025-04-04,153.68,154.18,147.8,152.42,2483366
MTB,2025-04-07,148.56,160.65,146.33,153.03,2079234
MTB,2025-04-08,158.05,160.36,149.2,151.99,1233000
MTB,2025-04-09,149.75,164.96,148.19,163.14,1751929
MTB,2025-04-10,159.78,159.78,149.01,153.23,1695916
MTB,2025-04-11,150.84,154.36,149.2,153.32,1548700
MTB,2025-04-14,152.4,157.25,149.49,153.86,1841655
MTB,2025-04-15,154.01,160.17,153.88,154.92,1400787
MTB,2025-04-16,153.96,157.33,152.93,154.25,1547430
MTB,2025-04-17,155.35,157.69,154.73,155.54,1105326
MTB,2025-04-21,154.04,154.87,150.44,152.18,1816922
MTB,2025-04-22,154.15,157.66,153.89,157.26,1412339
MTB,2025-04-23,161.24,165.97,159.62,160.5,1217332
MTB,2025-04-24,161.04,164.86,159.33,164.21,1022001
MTB,2025-04-25,162.72,163.77,161.38,162.49,829200
MTB,2025-04-28,163.28,164.33,162.42,163.78,884497
MTB,2025-04-29,162.79,165.52,162.23,164.93,722600
MTB,2025-04-30,161.67,165.18,160.5,164.79,1067600
MTB,2025-05-01,164.25,167.31,162.45,165.86,844643
MTB,2025-05-02,168.48,170.82,167.82,170.18,854223
MTB,2025-05-05,168.17,172.11,167.47,170.29,1004407
MTB,2025-05-06,168.48,170.02,167.29,167.5,1101000
MTB,2025-05-07,168.69,170.32,167.88,168.69,1420532
MTB,2025-05-08,169.96,174.0,169.96,172.36,1261900
MTB,2025-05-09,172.5,173.05,171.62,171.96,872900
MTB,2025-05-12,179.02,182.37,179.02,179.29,1452208
MTB,2025-05-13,179.9,181.97,179.03,181.04,1030800
MTB,2025-05-14,180.64,180.81,179.35,179.98,1125838
MTB,2025-05-15,179.95,181.9,179.25,181.5,762700
MTB,2025-05-16,181.03,182.88,180.46,182.23,1114824
MTB,2025-05-19,180.68,182.64,179.59,181.85,957000
MTB,2025-05-20,181.21,182.03,179.69,180.3,710668
MTB,2025-05-21,179.02,179.36,174.62,174.68,1280000
MTB,2025-05-22,174.48,176.63,173.76,175.32,976935
MTB,2025-05-23,173.16,174.99,171.92,174.18,1262206
MTB,2025-05-27,176.39,178.84,174.75,178.74,1114013
MTB,2025-05-28,178.74,179.64,176.03,176.13,1010063
MTB,2025-05-29,177.27,177.79,176.14,177.6,1189218
MTB,2025-05-30,176.78,177.94,175.72,177.29,1945000
MTB,2025-06-02,176.73,177.18,173.89,176.07,1280835
MTB,2025-06-03,175.56,178.99,174.98,178.58,1060712
MTB,2025-06-04,178.37,179.59,175.85,175.9,954043
MTB,2025-06-05,176.15,176.88,174.4,175.94,852135
MTB,2025-06-06,178.1,180.32,178.1,180.08,958528
MTB,2025-06-09,181.0,181.49,179.75,180.22,979022
MTB,2025-06-10,179.87,182.61,179.87,181.66,853800
MTB,2025-06-11,182.61,183.2,180.01,180.46,1041005
MTB,2025-06-12,179.43,179.93,177.63,179.93,781200
MTB,2025-06-13,178.44,178.56,173.61,174.1,1301600
MTB,2025-06-16,175.51,177.36,174.52,176.27,992108
MTB,2025-06-17,174.64,176.38,173.48,174.39,1109419
MTB,2025-06-18,174.46,178.44,174.46,177.69,1350000
MTB,2025-06-20,179.41,181.27,178.31,180.98,3680805
MTB,2025-06-23,180.15,185.51,180.08,185.23,1377004
MTB,2025-06-24,187.05,188.94,185.74,185.92,1073300
MTB,2025-06-25,185.46,187.09,184.48,187.01,1065400
MTB,2025-06-26,187.66,189.43,187.4,189.22,977600
MTB,2025-06-27,189.46,190.44,188.65,189.5,1351607
MTB,2025-06-30,191.05,191.93,189.08,189.71,1411916
MTB,2025-07-01,189.06,194.48,188.82,193.14,1163223
MTB,2025-07-02,194.85,195.83,192.52,195.64,1434047
MTB,2025-07-03,196.83,199.09,196.68,198.11,838320
MTB,2025-07-07,197.71,199.25,195.15,196.24,742200
MTB,2025-07-08,196.95,197.76,195.3,196.37,801814
MTB,2025-07-09,197.58,197.69,194.51,195.96,1033704
MTB,2025-07-10,196.06,199.81,195.55,199.55,1183719
MTB,2025-07-11,198.24,198.78,196.65,197.45,1004401
MTB,2025-07-14,197.27,198.8,196.73,198.57,1307700
MTB,2025-07-15,197.23,197.65,192.4,192.93,1736997
MTB,2025-07-16,194.69,195.71,187.19,188.27,2700384
MTB,2025-07-17,188.6,191.52,186.02,191.28,1751633
MTB,2025-07-18,191.67,192.21,190.14,191.86,1191700
MTB,2025-07-21,192.02,193.78,190.87,190.98,795023
MTB,2025-07-22,191.36,193.94,191.35,192.44,1453929
MTB,2025-07-23,192.5,193.02,189.73,191.49,1055435
MTB,2025-07-24,191.49,192.38,189.36,189.4,814900
MTB,2025-07-25,188.42,189.77,185.97,189.49,779400
MTB,2025-07-28,189.46,190.01,188.3,189.87,1140343
MTB,2025-07-29,190.73,191.75,189.3,190.05,590900
MTB,2025-07-30,189.99,190.8,186.47,187.32,731603
MTB,2025-07-31,186.84,187.42,184.26,184.54,861720
MTB,2025-08-01,181.43,181.85,178.6,180.91,1282129
MTB,2025-08-04,181.19,184.47,181.1,184.13,852847
MTB,2025-08-05,184.58,185.02,180.87,183.89,1039200
MTB,2025-08-06,184.01,184.21,181.37,181.41,755800
MTB,2025-08-07,183.01,183.04,179.08,179.68,852745
MTB,2025-08-08,181.09,183.63,178.97,183.04,811016
MTB,2025-08-11,183.44,184.27,181.48,182.39,942900
MTB,2025-08-12,184.04,187.03,183.19,186.86,935000
MTB,2025-08-13,187.45,189.23,186.64,188.95,1031900
MTB,2025-08-14,188.12,189.89,186.79,189.67,761128
MTB,2025-08-15,189.79,189.79,185.81,185.88,741904
MTB,2025-08-18,185.68,186.53,184.5,186.46,729800
MTB,2025-08-19,186.14,188.36,186.04,186.16,640236
MTB,2025-08-20,186.99,189.63,186.72,188.92,990113
MTB,2025-08-21,187.47,188.35,186.56,188.18,904547
MTB,2025-08-22,189.51,195.74,189.04,195.33,1111466
MTB,2025-08-25,194.52,195.31,193.47,193.52,645732
MTB,2025-08-26,192.94,196.13,192.85,195.73,878030
MTB,2025-08-27,195.56,198.7,195.5,197.56,884700
MTB,2025-08-28,198.64,198.64,195.31,196.37,848700
MTB,2025-08-29,196.23,198.32,195.73,197.21,748500
MTB,2025-09-02,195.03,196.05,192.73,196.05,1044104
MTB,2025-09-03,196.13,197.88,194.35,195.65,954200
MTB,2025-09-04,197.03,199.84,195.81,199.38,916662
MTB,2025-09-05,199.81,200.96,195.99,196.63,977422
MTB,2025-09-08,196.42,196.72,193.46,196.29,700100
MTB,2025-09-09,196.25,198.66,196.22,196.86,628815
MTB,2025-09-10,197.69,197.86,194.51,195.25,927300
MTB,2025-09-11,195.07,195.99,193.13,194.92,904900
MTB,2025-09-12,195.18,196.89,194.11,195.87,696800
MTB,2025-09-15,195.92,196.75,193.34,193.68,782305
MTB,2025-09-16,194.07,194.07,189.84,192.41,805798
MTB,2025-09-17,192.96,198.15,192.32,195.68,1020262
MTB,2025-09-18,195.49,198.03,194.83,197.48,984510
MTB,2025-09-19,197.23,199.59,195.96,199.05,3604921
MTB,2025-09-22,197.64,198.85,195.22,195.97,1012500
