symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MU,2024-08-27,96.5,97.9,96.09,97.27,17234616
MU,2024-08-28,96.77,97.09,92.14,94.29,25564300
MU,2024-08-29,95.97,97.39,94.41,94.99,18984300
MU,2024-08-30,96.34,97.82,94.42,95.66,18819400
MU,2024-09-03,93.06,93.31,87.77,88.04,28897236
MU,2024-09-04,87.83,90.18,87.28,88.75,16356537
MU,2024-09-05,87.57,90.15,87.23,88.85,13890700
MU,2024-09-06,88.83,89.11,84.75,85.86,23587100
MU,2024-09-09,87.32,87.43,84.5,85.75,20526400
MU,2024-09-10,86.44,86.66,84.35,86.32,17019016
MU,2024-09-11,87.66,90.28,85.56,90.1,20879600
MU,2024-09-12,86.57,87.5,83.61,86.68,30982533
MU,2024-09-13,87.56,90.92,87.34,90.67,21267222
MU,2024-09-16,86.71,87.7,85.4,86.65,26494332
MU,2024-09-17,87.52,89.02,87.01,88.19,17744800
MU,2024-09-18,87.46,88.66,86.18,86.82,20130600
MU,2024-09-19,88.81,89.84,87.05,88.71,25208917
MU,2024-09-20,87.87,90.42,87.8,90.35,28711000
MU,2024-09-23,92.12,94.22,92.02,93.0,23394101
MU,2024-09-24,94.16,94.42,92.2,93.43,23043237
MU,2024-09-25,93.59,95.6,93.36,95.19,54762900
MU,2024-09-26,112.41,114.1,106.87,109.21,107965900
MU,2024-09-27,109.83,110.3,106.38,106.85,42960200
MU,2024-09-30,105.44,106.1,101.64,103.08,39627713
MU,2024-10-01,102.77,103.57,98.34,99.7,34309800
MU,2024-10-02,99.98,101.5,98.72,99.24,26334900
MU,2024-10-03,98.86,101.91,98.79,101.2,22176700
MU,2024-10-04,103.02,103.61,100.79,101.63,21945805
MU,2024-10-07,101.65,104.07,100.31,102.4,21749300
MU,2024-10-08,101.67,102.43,100.76,102.03,18858300
MU,2024-10-09,101.75,101.79,99.83,101.2,18442718
MU,2024-10-10,100.87,106.06,100.35,105.17,27605600
MU,2024-10-11,104.52,107.12,104.47,106.39,19133928
MU,2024-10-14,107.27,108.17,106.27,107.8,15021917
MU,2024-10-15,107.32,108.94,102.2,103.8,23419132
MU,2024-10-16,105.5,109.09,105.09,108.7,20450900
MU,2024-10-17,110.78,113.57,110.46,111.49,26584811
MU,2024-10-18,111.2,112.34,109.32,110.6,16700400
MU,2024-10-21,110.55,110.59,107.16,108.54,14829420
MU,2024-10-22,107.71,107.99,105.85,107.29,13758100
MU,2024-10-23,106.03,106.57,103.03,104.53,15174706
MU,2024-10-24,106.25,107.0,105.03,106.32,13206300
MU,2024-10-25,107.8,109.33,107.18,107.37,12265000
MU,2024-10-28,106.25,107.64,105.79,105.86,12381045
MU,2024-10-29,106.06,108.21,105.07,107.64,15164600
MU,2024-10-30,105.73,106.27,103.12,103.56,14321800
MU,2024-10-31,101.7,101.99,98.58,99.16,19830324
MU,2024-11-01,99.51,100.12,98.88,99.24,13623400
