symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NATL,2024-08-27,27.73,28.28,27.5,27.87,250822
NATL,2024-08-28,27.82,28.93,27.79,28.51,438400
NATL,2024-08-29,28.68,30.09,28.61,28.97,931533
NATL,2024-08-30,28.87,29.11,28.24,28.61,469500
NATL,2024-09-03,28.26,28.75,28.05,28.33,771349
NATL,2024-09-04,28.37,29.11,28.18,28.32,1093400
NATL,2024-09-05,28.49,28.85,28.25,28.5,476100
NATL,2024-09-06,28.42,28.48,27.58,27.87,747000
NATL,2024-09-09,27.59,27.88,27.34,27.43,700525
NATL,2024-09-10,27.25,27.6,26.55,26.67,644700
NATL,2024-09-11,26.5,26.96,25.9,26.89,283700
NATL,2024-09-12,26.9,27.3,26.6,26.85,223739
NATL,2024-09-13,27.09,27.95,27.08,27.86,227600
NATL,2024-09-16,28.0,28.34,27.53,27.71,223446
NATL,2024-09-17,28.04,28.98,27.87,28.67,250324
NATL,2024-09-18,28.76,29.47,28.37,28.47,272500
NATL,2024-09-19,29.42,29.5,28.5,28.8,280900
NATL,2024-09-20,28.95,29.37,28.62,28.66,1017800
NATL,2024-09-23,28.94,29.21,27.87,28.27,248100
NATL,2024-09-24,28.32,28.79,28.14,28.67,208800
NATL,2024-09-25,28.57,28.79,28.13,28.31,378200
NATL,2024-09-26,28.77,29.0,28.25,28.54,381321
NATL,2024-09-27,28.84,29.4,28.56,28.74,235512
NATL,2024-09-30,28.46,28.93,27.99,28.53,377100
NATL,2024-10-01,28.48,28.58,27.97,28.12,334549
NATL,2024-10-02,27.81,27.92,26.69,27.17,527227
NATL,2024-10-03,26.89,27.97,26.87,27.94,411049
NATL,2024-10-04,28.34,28.73,27.86,28.71,275724
NATL,2024-10-07,28.55,29.07,28.3,28.77,294300
NATL,2024-10-08,28.89,29.08,28.38,28.7,256600
NATL,2024-10-09,28.55,29.0,28.45,28.83,267800
NATL,2024-10-10,28.63,28.93,27.65,28.31,537800
NATL,2024-10-11,28.26,29.01,28.09,28.89,313427
NATL,2024-10-14,28.77,29.61,28.77,28.87,492536
NATL,2024-10-15,28.63,29.01,28.51,28.58,231430
NATL,2024-10-16,28.86,29.18,28.59,28.62,275000
NATL,2024-10-17,28.71,28.77,28.41,28.72,224506
NATL,2024-10-18,28.74,28.74,27.36,27.55,369700
NATL,2024-10-21,27.52,27.55,27.09,27.22,312800
NATL,2024-10-22,27.22,27.36,26.88,27.06,287240
NATL,2024-10-23,26.99,27.2,26.73,27.0,262017
NATL,2024-10-24,27.08,27.21,26.71,27.1,296745
NATL,2024-10-25,27.21,27.35,26.27,26.33,446900
NATL,2024-10-28,26.72,27.2,26.67,27.06,248932
NATL,2024-10-29,26.93,26.94,26.47,26.65,231745
NATL,2024-10-30,26.52,27.69,26.52,27.42,304741
NATL,2024-10-31,27.44,27.67,26.18,26.18,427500
NATL,2024-11-01,26.33,26.63,25.7,26.22,328797
NATL,2024-11-04,26.02,26.72,25.98,26.71,304932
NATL,2024-11-05,26.73,27.78,26.56,27.66,497906
NATL,2024-11-06,29.0,29.92,28.24,29.34,838000
NATL,2024-11-07,29.3,29.38,28.24,28.25,324900
NATL,2024-11-08,28.42,28.79,28.12,28.46,291200
NATL,2024-11-11,28.85,30.24,28.85,29.65,326905
NATL,2024-11-12,29.69,29.95,28.9,29.04,444200
NATL,2024-11-13,30.29,32.87,29.35,30.42,768900
NATL,2024-11-14,31.11,31.11,29.07,29.39,398300
NATL,2024-11-15,29.57,29.8,29.04,29.44,354424
NATL,2024-11-18,29.5,29.74,28.67,28.88,318900
NATL,2024-11-19,28.82,29.95,28.82,29.65,320228
NATL,2024-11-20,29.37,30.3,29.28,30.27,388805
NATL,2024-11-21,30.54,31.42,30.54,31.24,532933
NATL,2024-11-22,31.57,32.1,31.28,31.51,660723
NATL,2024-11-25,31.8,32.5,31.06,31.16,559728
NATL,2024-11-26,30.68,32.38,30.39,32.17,726944
NATL,2024-11-27,32.26,33.6,32.21,32.68,739000
NATL,2024-11-29,32.91,33.15,32.52,32.81,210343
NATL,2024-12-02,33.21,34.04,32.67,33.77,506218
NATL,2024-12-03,33.94,34.21,32.69,32.95,387002
NATL,2024-12-04,33.23,34.79,33.1,34.49,661300
NATL,2024-12-05,34.43,34.6,33.8,34.04,228000
NATL,2024-12-06,34.01,34.22,33.18,33.39,539377
NATL,2024-12-09,33.84,34.5,33.23,33.24,627000
NATL,2024-12-10,33.51,34.85,33.13,34.32,790400
NATL,2024-12-11,34.5,34.62,33.71,34.07,624220
NATL,2024-12-12,34.13,34.46,33.67,33.89,699810
NATL,2024-12-13,33.86,34.24,33.23,33.24,660436
NATL,2024-12-16,33.0,33.93,33.0,33.55,394200
NATL,2024-12-17,33.25,33.68,32.64,33.0,491629
NATL,2024-12-18,33.18,33.36,31.6,31.78,666400
NATL,2024-12-19,32.11,32.74,31.23,31.83,441800
NATL,2024-12-20,31.55,32.49,31.14,32.23,1679141
NATL,2024-12-23,33.06,34.35,32.5,33.96,472400
NATL,2024-12-24,34.03,34.21,33.53,34.18,142730
NATL,2024-12-26,34.23,35.5,33.89,35.38,329000
NATL,2024-12-27,34.99,35.27,33.77,34.27,302700
NATL,2024-12-30,33.9,34.25,33.31,33.42,270625
NATL,2024-12-31,33.71,34.22,33.52,33.92,264313
NATL,2025-01-02,34.25,35.02,33.84,34.07,374700
NATL,2025-01-03,34.37,35.06,33.82,34.92,486600
NATL,2025-01-06,34.7,35.21,33.97,34.03,483607
NATL,2025-01-07,34.16,34.5,33.13,33.56,407200
NATL,2025-01-08,33.2,33.5,32.55,33.01,581200
NATL,2025-01-10,32.21,32.29,30.74,31.99,500400
NATL,2025-01-13,31.26,31.88,30.77,31.86,389440
NATL,2025-01-14,31.99,32.18,30.9,31.24,359300
NATL,2025-01-15,32.0,33.0,31.98,32.76,334400
NATL,2025-01-16,32.7,33.8,32.57,32.67,288242
NATL,2025-01-17,33.16,33.37,32.73,32.97,204525
NATL,2025-01-21,33.29,33.58,33.01,33.04,196800
NATL,2025-01-22,32.96,33.23,32.7,33.17,280400
NATL,2025-01-23,32.96,33.41,32.15,32.56,255720
NATL,2025-01-24,32.4,32.83,32.33,32.52,218421
