symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NCNO,2024-08-27,34.32,34.8,34.25,34.53,1716800
NCNO,2024-08-28,29.75,30.69,29.28,29.74,6298590
NCNO,2024-08-29,29.86,30.72,29.75,30.2,1702900
NCNO,2024-08-30,30.35,30.35,29.67,29.96,2636200
NCNO,2024-09-03,30.55,30.97,29.71,30.05,1731944
NCNO,2024-09-04,29.93,30.26,29.8,30.19,954104
NCNO,2024-09-05,30.19,30.52,30.05,30.23,859500
NCNO,2024-09-06,30.34,30.5,29.9,30.05,963800
NCNO,2024-09-09,30.25,30.29,29.86,29.89,1240240
NCNO,2024-09-10,30.04,30.11,28.78,29.0,1117533
NCNO,2024-09-11,29.0,29.43,28.79,29.17,1091100
NCNO,2024-09-12,29.26,29.53,28.8,29.1,816722
NCNO,2024-09-13,29.34,29.71,29.11,29.39,966545
NCNO,2024-09-16,29.4,29.8,29.32,29.69,1188500
NCNO,2024-09-17,29.84,29.87,29.46,29.72,639325
NCNO,2024-09-18,29.67,30.45,29.54,29.88,1086400
NCNO,2024-09-19,30.48,30.89,30.14,30.73,1570215
NCNO,2024-09-20,30.72,30.72,30.06,30.44,3068412
NCNO,2024-09-23,30.6,30.6,29.83,30.09,654917
NCNO,2024-09-24,30.31,30.65,30.01,30.61,618000
NCNO,2024-09-25,30.55,30.7,30.03,30.04,843600
NCNO,2024-09-26,30.47,30.96,30.21,30.88,659000
NCNO,2024-09-27,31.23,31.49,30.76,31.29,760722
NCNO,2024-09-30,31.23,31.85,31.05,31.59,1011700
NCNO,2024-10-01,31.62,31.67,30.78,31.11,1112313
NCNO,2024-10-02,31.06,31.56,30.88,31.01,794600
NCNO,2024-10-03,30.81,31.07,30.71,30.89,814900
NCNO,2024-10-04,31.28,31.35,30.8,30.97,517524
NCNO,2024-10-07,30.92,30.92,29.94,30.14,840100
NCNO,2024-10-08,30.26,31.16,30.08,31.09,762953
NCNO,2024-10-09,31.33,32.1,31.11,32.06,864200
NCNO,2024-10-10,31.89,33.58,31.84,33.46,2214300
NCNO,2024-10-11,33.39,35.03,33.3,34.51,2384800
NCNO,2024-10-14,34.58,35.1,34.41,35.07,1317400
NCNO,2024-10-15,35.14,35.63,34.88,35.05,1123600
NCNO,2024-10-16,35.09,36.22,35.01,36.06,3645403
NCNO,2024-10-17,36.0,36.35,35.76,36.22,1687500
NCNO,2024-10-18,36.32,36.89,36.07,36.58,3008400
NCNO,2024-10-21,36.66,37.73,36.55,37.21,1539723
NCNO,2024-10-22,37.44,37.86,36.93,36.95,1047200
NCNO,2024-10-23,36.88,37.57,36.83,37.55,1172000
NCNO,2024-10-24,37.62,38.33,36.53,38.25,1828413
NCNO,2024-10-25,38.31,38.48,37.59,37.83,898146
NCNO,2024-10-28,38.2,38.4,37.88,38.19,601700
NCNO,2024-10-29,38.19,38.65,38.03,38.42,493937
NCNO,2024-10-30,38.2,38.94,37.91,38.38,727500
NCNO,2024-10-31,38.43,38.55,37.19,37.3,1187119
NCNO,2024-11-01,37.55,37.86,37.21,37.33,774400
NCNO,2024-11-04,37.2,37.2,36.77,36.82,683200
NCNO,2024-11-05,36.74,37.67,36.51,37.55,672900
NCNO,2024-11-06,39.3,40.6,38.76,40.15,2537400
NCNO,2024-11-07,40.07,42.07,40.07,41.99,1687208
NCNO,2024-11-08,42.0,43.0,41.78,42.53,1279300
NCNO,2024-11-11,42.8,43.2,42.33,42.64,1093300
NCNO,2024-11-12,42.26,42.88,42.26,42.33,673900
NCNO,2024-11-13,41.91,42.66,41.46,41.49,889141
NCNO,2024-11-14,41.45,41.45,40.3,40.71,912218
NCNO,2024-11-15,40.34,40.85,40.14,40.22,1103927
NCNO,2024-11-18,40.28,40.63,39.88,40.0,930534
NCNO,2024-11-19,39.56,40.31,39.55,40.05,654900
NCNO,2024-11-20,40.25,40.5,39.61,40.08,385200
NCNO,2024-11-21,40.42,41.02,40.26,40.45,564329
NCNO,2024-11-22,40.75,41.96,40.65,41.42,783400
NCNO,2024-11-25,41.78,42.41,41.65,42.2,945300
NCNO,2024-11-26,42.14,42.73,41.82,42.25,580300
NCNO,2024-11-27,42.35,42.38,41.64,41.88,722500
NCNO,2024-11-29,42.2,42.35,41.87,41.99,592613
NCNO,2024-12-02,42.41,42.69,41.51,41.55,1396994
NCNO,2024-12-03,41.5,41.82,41.12,41.5,1160215
NCNO,2024-12-04,41.96,42.88,41.92,42.5,2149642
NCNO,2024-12-05,36.03,40.29,35.58,37.28,4948441
NCNO,2024-12-06,37.44,37.72,36.66,37.41,1769303
NCNO,2024-12-09,37.53,37.93,36.93,37.12,1653814
NCNO,2024-12-10,37.15,37.15,35.91,36.0,2393600
NCNO,2024-12-11,36.34,37.13,36.27,36.41,2261313
NCNO,2024-12-12,36.02,37.2,36.02,36.55,1717015
NCNO,2024-12-13,36.37,36.65,35.42,35.46,837112
NCNO,2024-12-16,35.93,36.5,35.5,35.96,1188544
NCNO,2024-12-17,35.8,35.91,35.29,35.4,804618
NCNO,2024-12-18,35.53,36.26,34.09,34.38,6103900
NCNO,2024-12-19,34.96,35.28,34.13,34.54,1598500
NCNO,2024-12-20,33.98,35.92,33.98,35.22,2274148
NCNO,2024-12-23,35.14,35.28,34.2,35.18,973137
NCNO,2024-12-24,35.22,35.64,34.95,35.27,405218
NCNO,2024-12-26,34.89,35.53,34.88,35.44,763037
NCNO,2024-12-27,35.39,35.52,34.24,34.43,761400
NCNO,2024-12-30,34.02,34.27,33.23,33.56,1383800
NCNO,2024-12-31,33.78,34.16,33.48,33.58,1148109
NCNO,2025-01-02,33.73,34.19,33.21,33.41,766249
NCNO,2025-01-03,33.77,34.11,33.61,34.07,663731
NCNO,2025-01-06,35.31,35.43,34.11,34.15,1454000
NCNO,2025-01-07,34.23,34.49,33.24,33.56,781900
NCNO,2025-01-08,33.29,33.83,33.23,33.51,559900
NCNO,2025-01-10,32.85,33.18,32.19,32.54,1101823
NCNO,2025-01-13,32.27,32.64,32.08,32.54,1305900
NCNO,2025-01-14,32.71,33.07,32.61,32.98,1263732
NCNO,2025-01-15,33.81,33.81,33.11,33.36,1368344
NCNO,2025-01-16,33.3,33.49,32.77,32.89,774800
NCNO,2025-01-17,33.37,33.49,33.01,33.24,746227
NCNO,2025-01-21,33.58,33.98,33.22,33.23,722600
NCNO,2025-01-22,33.35,33.4,32.4,32.51,894616
NCNO,2025-01-23,32.4,32.54,32.0,32.51,887442
NCNO,2025-01-24,32.55,33.27,32.37,32.57,507204
NCNO,2025-01-27,32.25,34.21,32.23,33.76,984100
NCNO,2025-01-28,33.76,35.03,33.58,34.81,1052574
NCNO,2025-01-29,34.65,34.67,33.92,34.42,1240322
NCNO,2025-01-30,34.44,34.93,34.31,34.56,606226
NCNO,2025-01-31,34.84,35.04,33.66,34.01,1041300
NCNO,2025-02-03,32.0,33.23,31.99,32.85,1407241
NCNO,2025-02-04,32.85,33.02,32.36,32.76,1402300
NCNO,2025-02-05,32.71,33.17,32.5,32.74,1307300
NCNO,2025-02-06,32.86,32.98,32.18,32.45,729500
NCNO,2025-02-07,32.48,32.68,32.21,32.44,1006800
NCNO,2025-02-10,32.81,33.23,32.42,32.96,1021625
NCNO,2025-02-11,33.01,34.07,33.01,33.34,1449517
NCNO,2025-02-12,32.9,34.01,32.81,33.71,1182281
NCNO,2025-02-13,34.02,34.43,33.42,34.4,1013900
NCNO,2025-02-14,34.5,34.55,34.08,34.25,1107439
NCNO,2025-02-18,34.14,34.27,32.66,33.35,2088700
NCNO,2025-02-19,33.1,33.49,32.8,33.03,1649019
NCNO,2025-02-20,32.95,33.02,32.48,32.85,1319046
NCNO,2025-02-21,32.9,33.05,31.86,32.06,1747100
NCNO,2025-02-24,32.01,32.23,30.97,31.42,1112800
NCNO,2025-02-25,31.38,31.58,30.69,31.26,1009500
NCNO,2025-02-26,31.4,31.64,30.93,31.11,1256624
NCNO,2025-02-27,31.23,31.4,30.6,30.76,1088791
NCNO,2025-02-28,30.7,31.49,30.58,31.31,1269600
NCNO,2025-03-03,31.51,31.6,30.27,30.46,2052411
NCNO,2025-03-04,30.16,30.8,29.23,30.01,1730827
NCNO,2025-03-05,30.08,30.44,29.64,30.35,946118
NCNO,2025-03-06,29.7,30.38,29.68,29.94,1535521
NCNO,2025-03-07,29.68,30.58,29.4,30.53,1501600
NCNO,2025-03-10,30.1,30.21,28.48,29.0,1798267
NCNO,2025-03-11,28.84,29.4,28.13,28.45,1543906
NCNO,2025-03-12,28.87,29.19,28.43,29.02,1779801
NCNO,2025-03-13,28.89,28.89,27.29,27.36,890150
NCNO,2025-03-14,27.94,28.37,27.56,28.34,1264233
NCNO,2025-03-17,28.34,29.08,28.31,28.69,1109382
NCNO,2025-03-18,28.5,28.61,28.1,28.51,999717
NCNO,2025-03-19,28.68,29.3,28.64,28.77,745400
NCNO,2025-03-20,28.49,28.98,28.22,28.41,722600
NCNO,2025-03-21,28.12,28.53,27.95,28.5,1112000
NCNO,2025-03-24,29.04,29.25,28.65,28.98,1187521
NCNO,2025-03-25,29.14,29.65,28.98,29.38,1013850
NCNO,2025-03-26,29.59,30.02,29.3,29.73,1542300
NCNO,2025-03-27,29.55,29.76,28.77,29.49,1172500
NCNO,2025-03-28,29.42,29.42,28.6,28.92,1242226
NCNO,2025-03-31,28.39,28.5,27.45,27.47,1911400
NCNO,2025-04-01,27.59,28.33,27.3,28.12,3563747
NCNO,2025-04-02,18.88,23.03,18.75,22.59,20086402
NCNO,2025-04-03,21.62,22.0,20.91,21.71,5955843
NCNO,2025-04-04,21.51,22.04,20.92,21.45,3451500
NCNO,2025-04-07,20.74,22.34,20.71,21.72,4774700
NCNO,2025-04-08,22.66,22.66,21.66,22.05,4755700
NCNO,2025-04-09,22.09,24.51,21.98,24.43,3986500
NCNO,2025-04-10,23.87,23.99,22.7,23.4,3313263
NCNO,2025-04-11,23.42,24.0,22.51,23.86,3390327
NCNO,2025-04-14,24.47,24.47,23.37,23.66,1775100
NCNO,2025-04-15,23.64,24.26,23.61,24.02,1943930
NCNO,2025-04-16,23.8,24.28,23.53,23.92,1944542
NCNO,2025-04-17,23.94,24.14,23.62,23.95,2013934
NCNO,2025-04-21,23.69,23.73,22.97,23.18,1399732
NCNO,2025-04-22,23.46,23.55,22.95,23.28,1759700
NCNO,2025-04-23,23.8,24.23,22.7,22.8,2935400
