symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NDSN,2025-02-12,209.72,211.93,208.7,210.59,228800
NDSN,2025-02-13,211.25,213.95,210.49,213.49,284000
NDSN,2025-02-14,214.95,216.95,212.29,212.64,299621
NDSN,2025-02-18,212.62,216.2,212.1,215.69,360312
NDSN,2025-02-19,214.49,216.4,212.56,213.93,550033
NDSN,2025-02-20,208.07,217.73,208.07,214.64,454300
NDSN,2025-02-21,214.64,215.35,210.23,211.68,350942
NDSN,2025-02-24,210.52,210.81,203.78,209.09,393000
NDSN,2025-02-25,209.83,213.28,208.89,211.23,385300
NDSN,2025-02-26,211.51,212.88,207.24,207.31,372411
NDSN,2025-02-27,207.3,209.6,205.59,205.84,347719
NDSN,2025-02-28,206.26,207.15,203.77,206.62,550800
NDSN,2025-03-03,207.62,208.43,202.7,203.49,370701
NDSN,2025-03-04,203.81,206.19,201.6,202.95,496935
NDSN,2025-03-05,203.39,207.05,203.39,206.77,322800
NDSN,2025-03-06,205.01,208.77,204.64,207.85,315200
NDSN,2025-03-07,207.32,212.18,206.72,211.55,398741
NDSN,2025-03-10,210.09,212.7,207.66,208.69,387635
NDSN,2025-03-11,209.39,209.56,201.28,202.42,314713
NDSN,2025-03-12,202.94,206.68,201.03,201.18,325311
NDSN,2025-03-13,200.68,202.66,197.27,198.47,354304
NDSN,2025-03-14,199.9,204.15,199.9,203.78,296348
NDSN,2025-03-17,203.94,208.27,203.94,207.0,279628
NDSN,2025-03-18,206.63,207.8,203.73,204.89,251800
NDSN,2025-03-19,204.4,205.93,202.65,204.93,273401
NDSN,2025-03-20,202.8,205.63,202.35,202.81,274834
NDSN,2025-03-21,201.15,202.51,198.74,201.05,533848
NDSN,2025-03-24,202.19,206.25,201.75,204.72,287600
NDSN,2025-03-25,205.53,207.0,200.92,203.09,290406
NDSN,2025-03-26,203.28,205.42,202.63,203.7,196502
NDSN,2025-03-27,203.03,205.29,201.95,203.7,253936
NDSN,2025-03-28,203.39,203.61,197.58,197.7,300400
NDSN,2025-03-31,197.24,200.69,194.29,198.94,382200
NDSN,2025-04-01,198.08,199.9,196.42,198.18,284911
NDSN,2025-04-02,196.45,200.91,195.61,200.55,234776
NDSN,2025-04-03,193.93,195.04,183.66,183.82,450740
NDSN,2025-04-04,178.09,178.36,170.97,174.29,707560
NDSN,2025-04-07,177.33,178.37,166.44,168.45,1024427
NDSN,2025-04-08,173.06,175.42,162.79,165.2,716288
NDSN,2025-04-09,163.7,185.29,162.76,184.71,767100
NDSN,2025-04-10,180.53,180.64,172.84,178.55,666807
NDSN,2025-04-11,178.54,183.28,176.49,183.0,622407
NDSN,2025-04-14,184.49,185.25,179.63,181.91,449119
NDSN,2025-04-15,181.28,183.7,179.78,180.57,272384
NDSN,2025-04-16,180.57,181.1,176.46,178.2,249814
NDSN,2025-04-17,178.2,180.15,177.09,178.32,404300
NDSN,2025-04-21,176.16,177.21,172.18,174.67,389801
NDSN,2025-04-22,176.82,181.01,174.43,180.54,302400
NDSN,2025-04-23,184.32,189.45,181.78,182.18,255800
NDSN,2025-04-24,182.55,187.23,181.38,186.84,298459
NDSN,2025-04-25,186.64,186.64,184.76,185.63,219632
NDSN,2025-04-28,186.29,189.2,184.52,186.1,245622
NDSN,2025-04-29,185.87,187.88,185.2,186.16,248600
NDSN,2025-04-30,183.93,187.47,182.04,186.96,638800
NDSN,2025-05-01,187.29,189.62,184.66,187.74,435603
NDSN,2025-05-02,191.23,191.64,189.31,190.18,333200
NDSN,2025-05-05,188.32,190.68,188.07,188.27,268461
NDSN,2025-05-06,187.1,188.23,185.3,185.84,229511
NDSN,2025-05-07,186.32,187.75,185.62,186.68,295700
NDSN,2025-05-08,189.0,193.65,188.19,191.43,277120
NDSN,2025-05-09,191.74,192.49,189.59,189.97,251400
NDSN,2025-05-12,197.76,200.91,197.24,200.2,420100
NDSN,2025-05-13,200.62,201.97,198.79,199.81,294300
NDSN,2025-05-14,198.38,200.2,197.27,198.36,316207
NDSN,2025-05-15,198.55,199.22,196.33,198.33,277500
NDSN,2025-05-16,198.71,202.81,197.75,202.52,313932
NDSN,2025-05-19,200.24,202.19,199.51,201.63,303100
NDSN,2025-05-20,200.59,201.64,198.61,199.61,194300
NDSN,2025-05-21,198.0,198.53,193.5,193.76,262000
NDSN,2025-05-22,192.8,194.42,191.5,193.14,299700
NDSN,2025-05-23,189.98,191.15,189.35,190.72,319100
NDSN,2025-05-27,193.05,195.83,192.0,195.28,354300
NDSN,2025-05-28,194.19,195.92,192.6,193.04,442638
NDSN,2025-05-29,206.97,215.0,202.34,206.09,908600
NDSN,2025-05-30,208.33,210.99,206.81,209.07,908624
NDSN,2025-06-02,207.47,209.81,204.15,209.26,694916
NDSN,2025-06-03,209.57,211.9,208.43,209.38,394501
NDSN,2025-06-04,209.85,210.97,208.09,210.27,408300
NDSN,2025-06-05,210.61,212.01,208.95,210.61,383638
