symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NE,2024-12-06,29.5,29.55,28.26,28.58,2766932
NE,2024-12-09,28.88,29.48,28.69,29.23,2341916
NE,2024-12-10,29.26,29.39,28.75,29.35,1400073
NE,2024-12-11,29.19,29.67,28.55,29.43,1421124
NE,2024-12-12,29.14,29.15,28.47,28.48,1033642
NE,2024-12-13,28.4,28.42,27.79,27.87,1389341
NE,2024-12-16,27.41,28.17,27.27,27.85,1954141
NE,2024-12-17,27.53,27.66,26.78,27.29,2103400
NE,2024-12-18,27.78,28.1,26.05,26.15,2199649
NE,2024-12-19,26.86,27.01,25.87,26.01,1862721
NE,2024-12-20,25.67,26.44,25.6,26.0,2757328
NE,2024-12-23,25.96,26.35,25.72,26.21,1617536
NE,2024-12-24,26.27,26.65,25.87,26.57,589647
NE,2024-12-26,26.49,27.03,26.04,26.94,1112100
NE,2024-12-27,26.8,27.36,26.59,26.73,1472893
NE,2024-12-30,26.77,27.8,26.45,27.4,1917205
NE,2024-12-31,27.53,28.49,27.53,28.31,1540733
NE,2025-01-02,28.99,29.74,28.89,29.71,1926700
NE,2025-01-03,29.98,30.01,29.28,29.7,900000
NE,2025-01-06,30.1,30.6,29.77,29.85,1605443
NE,2025-01-07,30.21,30.54,29.86,30.28,998584
NE,2025-01-08,29.85,30.11,29.28,29.44,1188122
NE,2025-01-10,30.23,30.57,29.16,29.4,1857507
NE,2025-01-13,29.53,30.14,29.42,29.75,1862544
NE,2025-01-14,29.74,30.67,29.66,30.61,1395400
NE,2025-01-15,30.7,31.61,30.62,31.22,1605332
NE,2025-01-16,30.93,31.35,30.06,30.43,1701818
NE,2025-01-17,30.72,30.93,30.0,30.24,1390100
NE,2025-01-21,30.65,30.78,29.92,30.15,1573800
NE,2025-01-22,30.03,30.3,29.75,29.89,1442018
NE,2025-01-23,30.13,30.35,29.94,30.02,1465723
NE,2025-01-24,30.01,30.45,29.84,29.97,902665
NE,2025-01-27,29.84,30.3,29.29,29.43,1566119
NE,2025-01-28,29.58,29.66,28.64,29.0,1554712
NE,2025-01-29,28.92,29.11,28.43,28.87,959200
NE,2025-01-30,29.06,29.6,28.81,29.41,1245356
NE,2025-01-31,29.46,29.65,28.69,28.89,1105433
NE,2025-02-03,28.6,28.79,27.94,28.34,1221946
NE,2025-02-04,28.63,29.29,28.2,29.25,1505733
NE,2025-02-05,29.05,29.3,28.49,29.03,1378216
NE,2025-02-06,29.26,29.48,28.29,28.73,2328730
NE,2025-02-07,28.8,29.36,27.94,27.95,1721425
NE,2025-02-10,28.27,28.88,28.21,28.69,1499700
NE,2025-02-11,28.69,28.93,28.34,28.59,1722200
NE,2025-02-12,28.19,28.3,27.39,27.48,1939300
NE,2025-02-13,27.53,27.62,26.64,26.69,2602100
NE,2025-02-14,26.82,27.11,26.02,26.25,2332085
NE,2025-02-18,25.87,27.36,25.41,26.21,3194835
NE,2025-02-19,25.71,25.99,24.9,25.05,2080824
NE,2025-02-20,25.19,25.42,24.85,25.16,2434515
NE,2025-02-21,26.11,26.12,24.2,24.27,3140000
NE,2025-02-24,24.34,24.65,23.69,24.51,2113739
NE,2025-02-25,24.51,25.0,23.97,24.2,2044009
NE,2025-02-26,24.25,24.36,23.46,23.65,2769347
NE,2025-02-27,23.76,24.0,23.23,23.37,2218856
NE,2025-02-28,23.04,23.76,22.94,23.35,3033913
NE,2025-03-03,23.43,23.52,20.95,21.28,5095637
NE,2025-03-04,20.92,21.48,20.27,20.86,6439339
NE,2025-03-05,20.91,20.92,20.33,20.75,4670158
NE,2025-03-06,20.6,21.28,20.31,21.19,3211196
NE,2025-03-07,21.42,22.86,21.32,22.77,4007473
NE,2025-03-10,22.53,22.75,21.08,21.52,3867600
NE,2025-03-11,21.64,21.97,20.97,21.35,3181613
NE,2025-03-12,21.35,21.76,21.21,21.21,2109539
NE,2025-03-13,21.48,21.89,20.39,20.7,2710462
NE,2025-03-14,21.06,22.03,20.73,21.91,1927809
NE,2025-03-17,22.1,22.5,22.04,22.28,1529872
