symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NEE,2024-08-27,76.39,76.66,75.65,75.68,5086035
NEE,2024-08-28,75.79,76.17,75.28,75.49,5462405
NEE,2024-08-29,75.6,76.22,74.83,76.08,5179200
NEE,2024-08-30,76.15,77.25,76.03,77.03,6808205
NEE,2024-09-03,77.28,77.68,76.19,76.48,9883900
NEE,2024-09-04,76.94,78.02,76.85,77.58,7517703
NEE,2024-09-05,78.42,78.59,76.76,76.86,8494900
NEE,2024-09-06,77.37,77.69,76.37,76.53,8181500
NEE,2024-09-09,76.66,77.74,75.84,77.69,6918000
NEE,2024-09-10,77.96,78.84,77.55,78.75,9588045
NEE,2024-09-11,79.13,79.96,78.2,79.83,10216517
NEE,2024-09-12,79.83,80.35,79.14,79.86,7857125
NEE,2024-09-13,80.28,81.08,79.9,81.0,6734402
NEE,2024-09-16,81.42,81.87,80.73,80.99,8791400
NEE,2024-09-17,81.13,81.33,80.54,81.3,7415100
NEE,2024-09-18,80.84,81.32,79.9,80.64,9286200
NEE,2024-09-19,80.02,80.18,77.96,78.74,13965216
NEE,2024-09-20,78.7,80.15,78.51,79.19,26032300
NEE,2024-09-23,80.05,81.27,79.36,81.16,7916000
NEE,2024-09-24,80.56,81.59,80.3,80.65,8205325
NEE,2024-09-25,80.96,81.53,80.23,80.97,8354739
NEE,2024-09-26,80.62,80.95,79.65,79.86,8462500
NEE,2024-09-27,80.15,81.18,80.14,80.89,8200940
NEE,2024-09-30,80.85,81.28,80.38,80.88,13884706
NEE,2024-10-01,80.48,82.05,80.2,81.59,9112611
NEE,2024-10-02,81.11,81.89,80.84,81.74,8403800
NEE,2024-10-03,81.95,82.38,81.09,81.38,7031500
NEE,2024-10-04,79.89,80.45,79.43,80.23,8341913
NEE,2024-10-07,79.94,79.94,76.72,76.82,11971600
NEE,2024-10-08,77.29,78.27,77.01,77.02,10098327
NEE,2024-10-09,76.22,77.6,76.22,77.1,10102500
NEE,2024-10-10,77.51,79.0,77.34,77.45,7928446
NEE,2024-10-11,77.49,78.35,76.92,78.33,7057095
NEE,2024-10-14,78.36,79.6,78.09,79.33,5815200
NEE,2024-10-15,79.42,80.43,79.11,79.22,15825034
NEE,2024-10-16,79.5,80.99,79.16,80.75,8061600
NEE,2024-10-17,80.66,80.97,80.08,80.16,6153217
NEE,2024-10-18,80.3,80.77,79.95,80.74,8595305
NEE,2024-10-21,81.1,81.29,80.05,80.4,7053832
NEE,2024-10-22,79.61,80.6,79.55,80.09,8358531
NEE,2024-10-23,80.94,82.29,79.41,81.29,10825100
NEE,2024-10-24,80.38,80.9,78.94,79.24,9705333
NEE,2024-10-25,79.32,79.54,77.78,77.91,6581101
NEE,2024-10-28,78.5,80.22,78.08,79.29,8679617
NEE,2024-10-29,76.5,77.22,76.04,76.13,19232900
NEE,2024-10-30,76.31,76.45,75.49,75.68,11650482
NEE,2024-10-31,75.01,76.4,74.77,75.83,13034700
NEE,2024-11-01,75.96,76.03,73.65,74.01,14615300
NEE,2024-11-04,74.01,75.42,73.77,74.99,11759135
NEE,2024-11-05,74.41,75.38,73.64,75.25,9051700
