symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NEXT,2024-12-06,7.08,7.08,6.9,6.99,1360592
NEXT,2024-12-09,7.03,7.09,6.72,6.74,954758
NEXT,2024-12-10,6.76,7.06,6.68,6.72,1193047
NEXT,2024-12-11,6.8,6.9,6.56,6.78,1119267
NEXT,2024-12-12,6.76,6.92,6.69,6.83,972303
NEXT,2024-12-13,6.85,7.03,6.75,7.01,668522
NEXT,2024-12-16,7.0,7.02,6.71,6.77,1267598
NEXT,2024-12-17,6.7,6.74,6.53,6.69,1032900
NEXT,2024-12-18,6.72,6.76,6.19,6.31,2538375
NEXT,2024-12-19,6.45,6.62,6.27,6.56,1876536
NEXT,2024-12-20,6.47,7.03,6.42,6.95,1246766
NEXT,2024-12-23,6.97,7.05,6.78,6.82,779543
NEXT,2024-12-24,6.89,7.05,6.79,6.97,497406
NEXT,2024-12-26,6.95,7.06,6.89,7.04,643214
NEXT,2024-12-27,7.05,7.14,6.91,6.95,940000
NEXT,2024-12-30,6.97,7.16,6.86,6.98,3393846
NEXT,2024-12-31,7.05,7.73,6.94,7.71,4102114
NEXT,2025-01-02,7.81,8.34,7.75,8.3,2159148
NEXT,2025-01-03,8.4,8.48,8.13,8.23,3074478
NEXT,2025-01-06,8.25,8.41,8.04,8.11,1734200
NEXT,2025-01-07,8.12,8.18,7.6,7.71,1698807
NEXT,2025-01-08,7.64,7.86,7.62,7.82,1281113
NEXT,2025-01-10,7.96,8.06,7.75,7.88,1094929
NEXT,2025-01-13,7.8,8.0,7.74,7.79,874903
NEXT,2025-01-14,7.84,8.26,7.83,8.05,2032000
NEXT,2025-01-15,8.29,8.37,8.02,8.1,1499532
NEXT,2025-01-16,7.97,9.11,7.95,9.04,7051101
NEXT,2025-01-17,9.08,9.37,8.78,9.1,3461516
NEXT,2025-01-21,9.38,9.47,8.88,9.05,2036657
NEXT,2025-01-22,8.84,9.03,8.54,8.67,2829600
NEXT,2025-01-23,8.68,8.81,8.33,8.49,3231211
NEXT,2025-01-24,8.47,8.64,8.4,8.51,1699212
NEXT,2025-01-27,8.39,8.4,8.04,8.18,3129845
NEXT,2025-01-28,8.22,8.25,7.74,7.85,2714842
NEXT,2025-01-29,7.8,8.18,7.79,8.15,1638849
NEXT,2025-01-30,8.29,8.8,8.29,8.67,1933440
NEXT,2025-01-31,8.67,8.72,8.46,8.48,1337362
NEXT,2025-02-03,8.24,8.69,8.1,8.58,1408023
NEXT,2025-02-04,8.52,8.58,8.24,8.4,1210561
NEXT,2025-02-05,8.4,8.62,8.33,8.6,1089081
NEXT,2025-02-06,8.72,8.81,7.86,7.9,2437122
NEXT,2025-02-07,7.9,7.97,7.63,7.77,3123049
NEXT,2025-02-10,7.85,7.98,7.78,7.91,1055197
NEXT,2025-02-11,7.85,7.98,7.71,7.92,803300
NEXT,2025-02-12,7.83,7.93,7.53,7.58,1123500
