symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NN,2024-08-27,6.84,7.06,6.71,6.97,466002
NN,2024-08-28,7.33,7.64,6.94,7.19,1040200
NN,2024-08-29,7.24,7.65,7.21,7.52,1136800
NN,2024-08-30,7.5,7.88,7.46,7.67,1123100
NN,2024-09-03,7.57,7.65,7.06,7.09,815600
NN,2024-09-04,7.02,7.4,6.96,7.2,457236
NN,2024-09-05,7.21,7.65,7.06,7.57,901987
NN,2024-09-06,7.56,7.63,6.96,7.02,729800
NN,2024-09-09,7.04,7.44,7.02,7.04,744603
NN,2024-09-10,7.0,7.24,6.83,7.21,668423
NN,2024-09-11,7.2,7.7,7.15,7.6,703640
NN,2024-09-12,7.63,7.7,7.42,7.46,416317
NN,2024-09-13,7.54,8.0,7.54,7.86,770800
NN,2024-09-16,7.82,7.88,7.63,7.74,491300
NN,2024-09-17,7.83,7.91,7.57,7.6,462200
NN,2024-09-18,7.56,7.8,7.44,7.55,672800
NN,2024-09-19,7.89,7.92,7.66,7.81,444500
NN,2024-09-20,7.81,7.88,7.64,7.69,1226400
NN,2024-09-23,7.83,7.83,6.95,6.99,828199
NN,2024-09-24,7.01,7.22,6.75,7.18,712548
NN,2024-09-25,7.15,7.26,6.95,7.15,605310
NN,2024-09-26,7.27,7.47,7.12,7.39,891314
NN,2024-09-27,7.47,7.56,7.4,7.42,411800
NN,2024-09-30,7.35,7.58,7.34,7.49,373120
NN,2024-10-01,7.44,7.56,7.2,7.49,538242
NN,2024-10-02,7.47,7.76,7.41,7.58,529833
NN,2024-10-03,7.52,7.76,7.45,7.63,504800
NN,2024-10-04,7.76,7.93,7.62,7.78,428967
NN,2024-10-07,7.77,7.86,7.56,7.72,375406
NN,2024-10-08,7.7,7.91,7.63,7.85,268300
NN,2024-10-09,7.86,8.03,7.69,7.69,418947
NN,2024-10-10,7.58,7.75,7.49,7.7,347133
NN,2024-10-11,7.7,7.97,7.69,7.91,461955
NN,2024-10-14,7.91,7.96,7.79,7.8,280900
NN,2024-10-15,7.8,7.99,7.76,7.99,458300
NN,2024-10-16,8.05,8.12,7.9,8.0,588215
NN,2024-10-17,8.05,8.4,7.93,8.25,590644
NN,2024-10-18,8.33,8.8,8.26,8.75,1050759
NN,2024-10-21,8.77,9.44,8.73,9.43,1210649
NN,2024-10-22,9.42,10.11,9.32,10.06,1277326
NN,2024-10-23,9.98,10.22,9.86,10.18,1040070
NN,2024-10-24,10.29,10.49,9.71,9.87,869324
NN,2024-10-25,9.94,10.55,9.88,10.47,659300
NN,2024-10-28,10.62,11.81,10.62,11.45,1372373
NN,2024-10-29,11.41,11.89,11.23,11.82,914581
NN,2024-10-30,11.72,11.97,11.23,11.81,851075
NN,2024-10-31,11.84,11.9,11.3,11.62,987748
NN,2024-11-01,11.72,12.13,11.69,11.95,609504
NN,2024-11-04,11.83,13.06,11.67,12.87,2159800
NN,2024-11-05,12.93,13.1,12.37,12.86,1071213
NN,2024-11-06,13.69,13.78,13.0,13.51,1091544
NN,2024-11-07,13.64,14.0,13.49,13.97,949916
NN,2024-11-08,14.01,14.51,13.83,14.48,1246958
NN,2024-11-11,14.81,15.25,14.44,15.05,1224248
NN,2024-11-12,14.9,15.3,14.34,14.89,1343012
NN,2024-11-13,14.82,14.85,13.47,13.56,1641400
NN,2024-11-14,14.9,17.02,13.76,14.15,3825200
NN,2024-11-15,14.3,14.61,13.45,14.22,1156149
NN,2024-11-18,14.37,15.12,14.15,15.1,1610807
NN,2024-11-19,14.97,16.23,14.86,16.21,1591176
NN,2024-11-20,16.3,16.54,15.25,15.35,1268300
NN,2024-11-21,15.58,15.77,15.12,15.54,975359
NN,2024-11-22,15.73,16.25,15.45,15.87,958483
NN,2024-11-25,15.87,16.19,15.35,16.14,1379641
NN,2024-11-26,16.14,17.1,15.75,16.06,1317823
NN,2024-11-27,16.2,17.0,16.12,16.73,1002951
NN,2024-11-29,16.95,18.1,16.91,17.39,1006147
NN,2024-12-02,17.65,17.79,17.06,17.25,1299900
NN,2024-12-03,17.07,17.15,16.17,16.34,952247
NN,2024-12-04,16.47,17.19,16.44,16.9,993824
NN,2024-12-05,17.05,17.3,16.52,17.04,734140
NN,2024-12-06,17.16,17.27,16.67,17.01,685043
NN,2024-12-09,17.05,17.61,16.26,16.99,1063444
NN,2024-12-10,16.96,17.69,16.76,17.14,834703
NN,2024-12-11,17.29,17.51,16.71,17.32,1066904
NN,2024-12-12,17.08,17.75,17.05,17.19,903184
