symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NTSK,2025-09-18,23.0,24.4,21.88,22.49,33905511
NTSK,2025-09-19,24.23,25.58,22.9,24.7,10167508
NTSK,2025-09-22,25.15,27.99,24.87,25.79,8374000
NTSK,2025-09-23,26.85,27.03,23.67,24.1,6556300
NTSK,2025-09-24,24.43,25.2,23.24,23.38,8006207
NTSK,2025-09-25,22.8,23.83,21.71,22.7,3501300
NTSK,2025-09-26,22.98,24.23,22.42,24.23,1994900
NTSK,2025-09-29,24.12,24.19,22.6,23.95,3535200
NTSK,2025-09-30,23.9,23.9,22.15,22.73,3596700
NTSK,2025-10-01,22.5,22.81,21.02,21.3,4218200
NTSK,2025-10-02,21.68,22.78,21.56,22.67,3196730
NTSK,2025-10-03,22.45,23.29,22.45,23.15,1621918
NTSK,2025-10-06,23.15,23.4,22.08,22.13,2117811
NTSK,2025-10-07,22.2,22.44,21.41,22.03,1572433
NTSK,2025-10-08,22.32,23.01,21.72,22.49,1719200
NTSK,2025-10-09,22.49,22.8,21.95,21.96,1208521
NTSK,2025-10-10,22.36,22.49,21.0,21.75,1689804
NTSK,2025-10-13,22.26,23.7,22.1,23.44,3007106
NTSK,2025-10-14,22.84,23.1,22.07,22.45,1370000
NTSK,2025-10-15,23.01,23.7,22.55,22.86,1026800
NTSK,2025-10-16,23.09,23.5,22.28,22.81,1060917
NTSK,2025-10-17,22.5,22.75,21.55,22.24,1201719
NTSK,2025-10-20,22.25,22.68,21.63,22.31,880518
NTSK,2025-10-21,22.29,23.0,21.95,22.55,979837
NTSK,2025-10-22,22.55,22.55,21.4,21.79,1324400
NTSK,2025-10-23,21.91,23.07,21.84,23.0,999315
NTSK,2025-10-24,23.0,23.7,22.46,22.47,2251900
NTSK,2025-10-27,23.05,24.15,22.92,23.99,2066300
NTSK,2025-10-28,23.99,24.0,23.23,23.3,847707
NTSK,2025-10-29,23.5,23.61,22.71,23.41,958167
NTSK,2025-10-30,23.06,23.49,22.62,22.92,869800
NTSK,2025-10-31,23.18,24.05,22.97,23.64,1422700
NTSK,2025-11-03,23.86,24.98,23.52,24.26,2791606
NTSK,2025-11-04,23.5,23.58,22.0,22.03,1499200
NTSK,2025-11-05,22.29,22.76,21.8,22.74,1274521
NTSK,2025-11-06,22.52,22.7,21.04,21.79,1931229
NTSK,2025-11-07,21.39,22.44,20.92,22.32,1263100
NTSK,2025-11-10,22.6,23.19,22.44,22.5,1055407
NTSK,2025-11-11,22.5,22.81,21.33,21.91,1219316
NTSK,2025-11-12,21.97,22.2,20.67,20.86,1570833
NTSK,2025-11-13,20.8,21.1,19.85,19.89,1623987
NTSK,2025-11-14,19.2,20.7,18.86,19.87,3160522
