symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NVO,2024-12-05,103.78,104.45,103.41,103.97,3914400
NVO,2024-12-06,105.03,106.35,104.86,105.83,6045700
NVO,2024-12-09,106.74,107.0,105.38,106.13,4908910
NVO,2024-12-10,106.57,106.57,103.85,104.32,4621729
NVO,2024-12-11,105.53,107.5,105.11,106.71,6545700
NVO,2024-12-12,105.94,106.22,103.58,103.77,3650826
NVO,2024-12-13,102.27,102.81,99.5,102.18,6250400
NVO,2024-12-16,104.41,104.98,103.06,103.23,5346900
NVO,2024-12-17,102.94,104.13,102.92,103.19,5415500
NVO,2024-12-18,103.56,104.18,100.78,101.24,3760940
NVO,2024-12-19,99.62,100.08,98.16,98.83,5344400
NVO,2024-12-20,79.03,82.67,77.87,81.21,53762446
NVO,2024-12-23,84.9,85.12,82.15,84.75,18997927
NVO,2024-12-24,84.93,85.01,83.18,83.47,4774900
NVO,2024-12-26,83.28,84.13,82.99,83.74,6292075
NVO,2024-12-27,83.81,84.81,83.14,83.47,6066026
NVO,2024-12-30,83.09,83.13,81.84,81.91,6110000
NVO,2024-12-31,81.61,82.21,81.21,82.18,4202400
NVO,2025-01-02,83.99,84.57,83.3,83.62,4571212
NVO,2025-01-03,83.59,84.26,83.44,83.74,3769000
NVO,2025-01-06,82.27,82.49,81.02,81.24,10695700
NVO,2025-01-07,80.35,81.02,78.95,79.62,9567948
NVO,2025-01-08,81.7,81.97,80.9,81.82,9196402
NVO,2025-01-10,83.33,83.38,82.01,82.41,6774724
NVO,2025-01-13,80.66,80.95,79.96,80.85,7412400
NVO,2025-01-14,79.22,79.95,76.48,77.56,13694900
NVO,2025-01-15,79.64,80.08,79.02,79.22,9021500
NVO,2025-01-16,79.05,80.25,78.53,79.37,6322400
NVO,2025-01-17,76.37,77.27,74.68,75.18,21265300
NVO,2025-01-21,76.13,77.5,75.79,77.42,8094304
NVO,2025-01-22,78.09,78.16,76.85,76.98,5910400
NVO,2025-01-23,77.7,78.07,76.74,77.48,6765800
NVO,2025-01-24,85.96,85.96,82.71,84.05,27095411
NVO,2025-01-27,81.92,84.52,81.54,83.63,10864940
NVO,2025-01-28,82.23,82.99,80.83,81.39,9534300
NVO,2025-01-29,81.8,81.85,80.16,80.28,6843913
NVO,2025-01-30,80.82,82.61,80.19,81.53,5798825
NVO,2025-01-31,81.08,81.63,80.53,80.68,6546154
NVO,2025-02-03,78.46,79.66,78.41,78.96,5460116
NVO,2025-02-04,77.98,79.72,77.65,78.94,9880721
NVO,2025-02-05,82.58,83.52,81.3,81.91,14099043
NVO,2025-02-06,82.85,84.98,82.8,83.28,10576000
NVO,2025-02-07,84.74,84.82,82.3,82.57,8700839
