symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
NWBI,2024-08-27,12.2,12.2,12.07,12.12,543600
NWBI,2024-08-28,12.07,12.33,12.06,12.29,632631
NWBI,2024-08-29,12.34,12.41,12.17,12.37,592000
NWBI,2024-08-30,12.36,12.45,12.27,12.42,587300
NWBI,2024-09-03,12.35,12.46,12.25,12.31,534700
NWBI,2024-09-04,12.27,12.41,12.13,12.19,423100
NWBI,2024-09-05,12.26,12.26,12.01,12.04,376144
NWBI,2024-09-06,12.1,12.14,11.87,11.92,421100
NWBI,2024-09-09,11.91,11.91,11.76,11.81,735044
NWBI,2024-09-10,11.8,11.88,11.65,11.86,507223
NWBI,2024-09-11,11.75,11.77,11.44,11.69,698000
NWBI,2024-09-12,11.76,11.76,11.61,11.69,518221
NWBI,2024-09-13,11.79,11.95,11.71,11.95,489800
NWBI,2024-09-16,11.96,12.09,11.82,11.99,481107
NWBI,2024-09-17,12.11,12.3,11.98,12.08,582300
NWBI,2024-09-18,12.06,12.46,11.93,12.1,1042200
NWBI,2024-09-19,12.35,12.42,12.17,12.38,899508
NWBI,2024-09-20,12.29,12.31,12.03,12.04,3161000
NWBI,2024-09-23,12.11,12.14,11.97,12.07,731400
NWBI,2024-09-24,12.06,12.08,11.88,11.89,534500
NWBI,2024-09-25,11.91,11.91,11.77,11.78,500000
NWBI,2024-09-26,11.93,11.93,11.78,11.82,525500
NWBI,2024-09-27,11.92,11.97,11.79,11.82,474748
NWBI,2024-09-30,11.82,12.07,11.75,12.0,674400
NWBI,2024-10-01,11.94,11.94,11.59,11.64,586805
NWBI,2024-10-02,11.63,11.79,11.49,11.53,462843
NWBI,2024-10-03,11.47,11.6,11.42,11.53,459000
NWBI,2024-10-04,11.69,11.75,11.59,11.65,507202
NWBI,2024-10-07,11.57,11.63,11.53,11.59,550208
NWBI,2024-10-08,11.64,11.68,11.56,11.58,416610
NWBI,2024-10-09,11.57,11.7,11.53,11.61,392732
NWBI,2024-10-10,11.6,11.63,11.47,11.57,551300
NWBI,2024-10-11,11.6,11.96,11.6,11.9,937300
NWBI,2024-10-14,11.9,12.07,11.82,12.03,398803
NWBI,2024-10-15,12.04,12.35,11.98,12.1,798900
NWBI,2024-10-16,12.21,12.39,12.01,12.31,494136
NWBI,2024-10-17,12.28,12.39,12.21,12.38,476100
NWBI,2024-10-18,12.39,12.39,12.16,12.19,564107
NWBI,2024-10-21,12.18,12.2,11.81,11.84,669600
NWBI,2024-10-22,11.85,11.9,11.74,11.86,679700
NWBI,2024-10-23,11.81,11.93,11.78,11.9,582936
NWBI,2024-10-24,11.89,11.97,11.71,11.93,532244
NWBI,2024-10-25,11.98,11.99,11.69,11.72,801120
NWBI,2024-10-28,11.82,12.14,11.81,12.09,822100
NWBI,2024-10-29,11.93,12.11,11.93,12.07,370800
NWBI,2024-10-30,12.01,12.32,12.01,12.07,434300
NWBI,2024-10-31,12.09,12.14,11.9,11.92,441900
NWBI,2024-11-01,11.98,12.08,11.89,11.94,853700
NWBI,2024-11-04,11.93,11.94,11.74,11.85,448129
NWBI,2024-11-05,11.87,12.05,11.85,12.02,437238
NWBI,2024-11-06,12.81,13.77,12.81,13.7,2149543
NWBI,2024-11-07,13.53,13.64,13.1,13.12,1031300
NWBI,2024-11-08,13.05,13.29,13.05,13.2,711535
NWBI,2024-11-11,13.42,13.76,13.35,13.6,965800
NWBI,2024-11-12,13.58,13.78,13.35,13.53,628000
NWBI,2024-11-13,13.68,13.79,13.43,13.44,822938
NWBI,2024-11-14,13.49,13.54,13.22,13.32,464629
NWBI,2024-11-15,13.38,13.45,13.21,13.38,618000
NWBI,2024-11-18,13.32,13.48,13.28,13.28,1096714
NWBI,2024-11-19,13.03,13.24,12.77,13.12,413000
NWBI,2024-11-20,13.1,13.2,13.02,13.15,473212
NWBI,2024-11-21,13.26,13.45,13.17,13.3,504111
NWBI,2024-11-22,13.34,13.6,13.3,13.57,534014
NWBI,2024-11-25,13.68,14.01,13.65,13.66,802600
NWBI,2024-11-26,13.57,13.64,13.44,13.49,406700
NWBI,2024-11-27,13.6,13.67,13.42,13.46,409400
NWBI,2024-11-29,13.52,13.6,13.27,13.35,364700
NWBI,2024-12-02,13.39,13.47,13.2,13.33,617300
NWBI,2024-12-03,13.32,13.39,13.17,13.19,518326
