symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
O,2024-12-05,51.75,51.93,51.48,51.83,3790633
O,2024-12-06,51.83,52.11,51.73,51.93,3112200
O,2024-12-09,51.87,52.4,51.56,52.22,3946838
O,2024-12-10,52.0,52.07,51.49,51.57,5089600
O,2024-12-11,51.47,51.76,51.01,51.15,6634600
O,2024-12-12,51.01,51.66,50.91,50.98,3885200
O,2024-12-13,50.85,51.32,50.63,51.16,3899139
O,2024-12-16,50.85,51.28,50.4,50.46,5671632
O,2024-12-17,50.31,50.99,50.06,50.41,4951728
O,2024-12-18,50.21,50.69,48.8,48.83,7659414
O,2024-12-19,49.15,49.47,47.83,47.85,7959006
O,2024-12-20,48.08,49.52,48.08,48.81,14467200
O,2024-12-23,48.72,49.06,48.48,49.0,5474900
O,2024-12-24,48.89,49.22,48.69,49.22,2585016
O,2024-12-26,49.11,49.37,48.9,49.07,7391190
O,2024-12-27,48.94,49.45,48.51,48.69,5373900
O,2024-12-30,48.59,48.87,48.26,48.75,5695300
O,2024-12-31,48.96,49.44,48.88,49.38,5643315
O,2025-01-02,49.48,49.57,48.68,48.87,4991100
O,2025-01-03,48.92,49.54,48.82,49.51,4076272
O,2025-01-06,49.45,49.51,48.76,49.0,6850034
O,2025-01-07,49.11,49.78,48.7,48.79,4908545
O,2025-01-08,48.82,48.82,48.27,48.79,4727817
O,2025-01-10,48.33,48.54,47.98,48.01,5852120
O,2025-01-13,48.08,48.81,47.94,48.75,5172748
O,2025-01-14,48.82,49.59,48.74,49.39,4294600
O,2025-01-15,50.52,50.54,49.28,49.4,4978005
O,2025-01-16,49.42,50.76,49.33,50.71,4332035
O,2025-01-17,50.78,51.21,50.6,50.75,5345400
O,2025-01-21,50.86,51.56,50.79,51.35,5732438
O,2025-01-22,50.98,51.06,50.11,50.14,4950005
O,2025-01-23,50.25,50.4,49.74,50.3,3785600
O,2025-01-24,50.22,50.7,50.07,50.49,3359200
O,2025-01-27,51.19,52.17,51.02,52.03,6102700
O,2025-01-28,51.69,51.96,51.01,51.09,3694700
O,2025-01-29,51.19,51.26,50.07,50.23,3510727
O,2025-01-30,50.82,50.95,49.97,50.47,4277800
O,2025-01-31,50.26,51.18,50.2,50.77,6777500
O,2025-02-03,50.33,51.12,50.06,50.88,4324235
O,2025-02-04,50.69,50.83,50.28,50.45,3700800
O,2025-02-05,50.97,51.1,50.47,50.82,4581700
O,2025-02-06,51.0,51.07,50.44,50.69,4367303
O,2025-02-07,50.59,50.74,50.3,50.53,4544545
O,2025-02-10,50.46,50.76,50.03,50.38,3831239
O,2025-02-11,50.42,50.97,50.24,50.78,3893200
O,2025-02-12,50.11,50.56,49.77,50.49,4310000
O,2025-02-13,50.53,51.35,50.36,51.28,4129722
O,2025-02-14,51.43,51.76,50.86,50.88,3721331
O,2025-02-18,50.75,51.58,50.64,51.57,3811538
O,2025-02-19,51.4,52.18,51.35,51.98,4123507
O,2025-02-20,51.98,52.94,51.98,52.77,5226100
O,2025-02-21,52.96,53.53,52.88,53.31,7387242
O,2025-02-24,52.98,53.74,52.9,53.51,5309300
O,2025-02-25,52.0,52.72,50.54,52.51,9778000
O,2025-02-26,52.44,53.14,52.19,52.38,6078300
O,2025-02-27,52.35,53.06,52.33,52.82,5082147
O,2025-02-28,53.07,53.46,52.9,53.25,7520400
O,2025-03-03,53.17,54.07,53.13,53.99,5859826
O,2025-03-04,54.13,54.91,54.13,54.19,8280700
O,2025-03-05,53.79,54.65,53.55,54.51,5369045
O,2025-03-06,54.28,54.66,53.22,53.78,7126649
O,2025-03-07,53.91,55.37,53.87,54.86,6256800
O,2025-03-10,55.11,56.65,54.62,54.87,7584019
O,2025-03-11,54.88,55.13,52.75,53.2,7482500
O,2025-03-12,53.0,53.21,52.42,52.88,7062100
O,2025-03-13,53.0,53.89,52.34,52.4,5824100
O,2025-03-14,52.5,53.3,52.4,53.18,6367747
O,2025-03-17,53.42,53.82,53.29,53.45,3837229
O,2025-03-18,53.46,53.64,53.1,53.43,3708713
O,2025-03-19,53.44,53.5,52.8,52.95,6039805
O,2025-03-20,53.12,53.16,52.63,52.97,5079410
O,2025-03-21,52.79,52.85,52.13,52.35,10839500
O,2025-03-24,52.44,52.97,52.3,52.8,4699400
O,2025-03-25,52.85,52.96,52.08,52.21,6720638
O,2025-03-26,52.35,53.21,52.27,53.06,4475515
O,2025-03-27,52.97,53.4,52.62,52.68,4490649
O,2025-03-28,52.92,53.23,52.52,53.11,3504325
O,2025-03-31,53.24,54.66,53.24,54.42,8202100
O,2025-04-01,54.6,54.85,53.26,53.86,5135812
O,2025-04-02,54.06,54.24,53.42,53.83,4765600
O,2025-04-03,54.2,54.82,53.14,53.78,9623700
O,2025-04-04,53.09,53.71,51.9,51.98,12097501
O,2025-04-07,49.66,51.87,49.46,49.88,13272615
O,2025-04-08,50.93,51.31,48.83,49.26,12132403
O,2025-04-09,48.53,51.24,47.79,50.87,10569200
O,2025-04-10,50.79,51.62,49.58,51.03,7982300
O,2025-04-11,50.89,52.16,50.56,52.04,6516600
O,2025-04-14,52.33,53.38,52.17,53.03,4591800
O,2025-04-15,53.18,53.85,52.91,53.73,4991146
O,2025-04-16,53.71,54.58,53.7,53.96,4657900
O,2025-04-17,54.02,55.24,53.9,54.96,5109606
O,2025-04-21,54.8,55.31,53.87,54.62,4414213
O,2025-04-22,54.96,55.49,54.64,55.15,4058321
O,2025-04-23,55.0,55.28,54.12,54.69,4954516
O,2025-04-24,54.76,54.76,53.68,53.86,5522300
O,2025-04-25,53.97,54.07,53.31,53.62,3861500
O,2025-04-28,53.54,54.07,53.18,53.95,3789839
O,2025-04-29,53.95,54.35,53.56,54.08,3691100
O,2025-04-30,54.25,54.72,53.68,54.53,7999000
O,2025-05-01,54.63,54.8,54.01,54.13,4308514
O,2025-05-02,54.54,54.63,53.77,53.93,4292747
O,2025-05-05,53.93,54.3,53.73,53.91,4392834
O,2025-05-06,53.86,54.49,53.37,53.77,5650200
O,2025-05-07,53.78,54.18,53.57,53.72,6822854
O,2025-05-08,53.69,53.79,53.21,53.26,4858630
O,2025-05-09,53.23,53.86,52.93,53.68,3634800
O,2025-05-12,53.17,53.22,52.41,52.97,8776900
O,2025-05-13,52.81,52.92,51.9,52.13,6642100
O,2025-05-14,52.12,52.25,51.49,51.64,6270223
O,2025-05-15,51.87,52.45,51.62,52.45,5836544
O,2025-05-16,52.55,53.34,52.36,53.25,6484513
O,2025-05-19,53.12,53.38,52.93,53.26,4691300
O,2025-05-20,53.02,53.35,53.02,53.21,2781430
O,2025-05-21,53.14,53.21,52.23,52.31,4534000
O,2025-05-22,52.3,52.45,51.74,52.25,4038600
O,2025-05-23,52.51,52.74,52.11,52.58,4007132
O,2025-05-27,52.82,53.33,52.59,53.17,4487813
O,2025-05-28,53.17,53.21,52.7,52.88,3306017
O,2025-05-29,52.83,53.37,52.6,53.36,4857976
O,2025-05-30,53.39,53.73,53.13,53.61,9971400
O,2025-06-02,53.37,53.84,52.96,53.83,4573642
O,2025-06-03,53.49,53.58,53.14,53.29,4757800
O,2025-06-04,53.13,53.47,52.82,53.2,5147744
O,2025-06-05,53.29,53.31,52.87,53.12,4887518
O,2025-06-06,53.08,53.45,52.91,53.28,4841648
O,2025-06-09,53.24,54.14,53.15,54.05,5659200
O,2025-06-10,54.07,54.75,54.07,54.56,4739230
O,2025-06-11,54.58,55.13,54.56,54.95,4193840
O,2025-06-12,54.98,55.29,54.72,55.14,4266800
O,2025-06-13,55.01,55.34,54.49,54.84,4854100
O,2025-06-16,54.89,55.24,54.45,54.6,5060637
O,2025-06-17,54.61,54.94,54.31,54.73,4274041
O,2025-06-18,54.82,55.09,54.49,54.78,4413000
O,2025-06-20,54.76,55.17,54.36,54.4,16937630
O,2025-06-23,54.44,55.61,54.44,55.53,5171343
O,2025-06-24,55.43,55.57,55.06,55.16,5388624
O,2025-06-25,54.95,54.99,54.28,54.31,8468700
O,2025-06-26,54.59,54.75,53.94,54.42,6188400
O,2025-06-27,54.53,54.85,54.06,54.26,5318636
O,2025-06-30,54.3,54.85,53.81,54.81,7304300
O,2025-07-01,54.91,55.58,54.7,55.25,5686900
O,2025-07-02,54.96,55.29,54.62,55.2,3975042
O,2025-07-03,55.17,55.32,54.85,55.13,2942500
O,2025-07-07,55.14,55.38,54.68,54.99,4691003
O,2025-07-08,54.66,55.1,54.54,54.95,3968800
O,2025-07-09,54.95,55.04,54.41,54.41,5712200
O,2025-07-10,54.28,54.63,54.09,54.41,5415227
O,2025-07-11,54.26,54.8,54.09,54.63,4629333
O,2025-07-14,54.6,56.38,54.55,56.11,13455201
O,2025-07-15,55.63,55.86,54.16,54.16,7800400
O,2025-07-16,54.46,54.66,54.11,54.28,5292737
O,2025-07-17,54.24,54.41,53.87,53.87,4440116
O,2025-07-18,53.96,54.31,53.82,53.98,4161900
O,2025-07-21,54.17,54.47,53.83,53.9,3718444
O,2025-07-22,54.0,55.32,53.99,55.28,5154900
O,2025-07-23,55.22,55.52,55.0,55.32,3666112
O,2025-07-24,55.21,55.69,55.09,55.46,3995900
O,2025-07-25,55.52,55.63,54.76,55.34,4439300
O,2025-07-28,55.34,55.34,54.34,54.35,4243412
O,2025-07-29,54.55,54.91,54.26,54.83,4392200
O,2025-07-30,54.84,55.18,54.09,54.28,3860500
O,2025-07-31,54.25,54.43,53.56,53.65,7458531
O,2025-08-01,54.26,54.74,53.71,54.33,7981900
O,2025-08-04,54.32,55.2,54.29,55.17,5232200
O,2025-08-05,55.1,55.29,54.9,54.93,4204441
O,2025-08-06,54.96,55.21,54.63,54.65,4195512
O,2025-08-07,54.71,54.95,54.04,54.83,5058323
O,2025-08-08,54.89,55.68,54.86,55.16,4538000
O,2025-08-11,55.1,55.62,55.07,55.11,3609420
O,2025-08-12,55.17,55.41,54.75,55.37,4149222
O,2025-08-13,55.44,55.71,55.0,55.59,4666600
O,2025-08-14,55.5,55.72,55.33,55.53,4193700
O,2025-08-15,55.71,56.36,55.53,56.16,6242821
O,2025-08-18,56.17,56.31,55.56,55.58,4331113
