symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
OII,2024-08-28,26.7,27.12,26.4,27.05,396935
OII,2024-08-29,27.37,27.5,27.02,27.29,470900
OII,2024-08-30,27.1,27.1,26.63,26.99,469900
OII,2024-09-03,26.39,26.41,24.93,25.05,859645
OII,2024-09-04,24.98,25.37,24.58,24.76,729827
OII,2024-09-05,25.01,25.04,24.51,24.79,530300
OII,2024-09-06,24.82,25.13,23.55,23.6,734701
OII,2024-09-09,23.64,23.83,23.41,23.44,873337
OII,2024-09-10,23.42,23.42,22.29,22.41,681153
OII,2024-09-11,22.41,22.69,21.75,22.48,598400
OII,2024-09-12,22.59,23.53,22.43,22.85,657448
OII,2024-09-13,23.3,23.82,22.9,23.2,1132415
OII,2024-09-16,23.58,24.08,23.43,23.95,962535
OII,2024-09-17,24.1,25.51,24.1,25.5,1208542
OII,2024-09-18,25.37,25.76,24.83,25.01,736700
OII,2024-09-19,26.14,26.14,25.19,25.86,591200
OII,2024-09-20,25.84,26.37,25.62,26.02,2053801
OII,2024-09-23,26.06,26.62,25.72,26.35,525220
OII,2024-09-24,27.0,27.04,26.09,26.1,708500
OII,2024-09-25,25.94,25.94,24.9,25.06,694800
OII,2024-09-26,24.55,24.76,23.85,24.04,1088289
OII,2024-09-27,24.4,24.92,24.29,24.78,866500
OII,2024-09-30,24.52,25.02,24.33,24.87,972800
OII,2024-10-01,24.63,25.48,24.6,25.42,753205
OII,2024-10-02,25.73,26.13,25.18,25.64,625126
OII,2024-10-03,25.62,26.33,25.31,26.18,690927
OII,2024-10-04,26.7,26.88,26.19,26.54,501120
OII,2024-10-07,26.54,26.67,26.08,26.37,501528
OII,2024-10-08,26.11,26.11,25.33,25.64,669164
OII,2024-10-09,25.29,25.73,25.16,25.55,661081
OII,2024-10-10,25.55,25.82,25.12,25.8,692509
OII,2024-10-11,25.74,26.24,25.73,26.18,545800
OII,2024-10-14,25.83,25.91,25.49,25.74,400600
OII,2024-10-15,24.75,25.14,24.53,24.75,623600
OII,2024-10-16,25.1,25.24,24.92,25.0,585537
OII,2024-10-17,24.74,25.1,24.44,25.04,827600
OII,2024-10-18,24.95,24.97,23.95,24.09,731826
OII,2024-10-21,24.44,24.44,23.96,24.18,738706
OII,2024-10-22,24.34,24.34,23.72,23.87,627000
OII,2024-10-23,23.66,23.86,22.98,23.23,892233
OII,2024-10-24,23.02,24.73,23.0,24.63,1707400
OII,2024-10-25,24.96,25.63,24.73,25.43,1305400
OII,2024-10-28,24.69,25.11,24.35,24.9,826633
OII,2024-10-29,25.03,25.03,24.32,24.75,769107
OII,2024-10-30,24.88,25.36,24.66,24.74,706140
OII,2024-10-31,24.61,24.81,24.37,24.4,831100
OII,2024-11-01,24.64,25.04,24.36,24.44,767000
OII,2024-11-04,24.56,25.76,24.54,25.45,815025
OII,2024-11-05,25.63,26.03,25.43,25.75,938779
OII,2024-11-06,27.6,29.22,26.81,29.0,1317719
OII,2024-11-07,28.84,28.84,27.97,28.22,734421
OII,2024-11-08,27.98,28.4,27.57,27.9,650300
OII,2024-11-11,27.91,29.02,27.91,28.6,745907
OII,2024-11-12,28.62,29.22,28.07,28.31,712524
OII,2024-11-13,28.43,28.51,27.79,27.83,471607
OII,2024-11-14,28.1,28.19,27.26,27.55,780027
OII,2024-11-15,27.72,27.79,26.58,26.81,783632
OII,2024-11-18,27.4,27.97,27.14,27.46,1000700
OII,2024-11-19,27.05,27.71,27.05,27.47,430000
OII,2024-11-20,27.45,27.98,27.26,27.97,495862
OII,2024-11-21,28.15,29.15,28.15,28.81,508035
OII,2024-11-22,28.88,30.09,28.83,30.03,770537
OII,2024-11-25,30.38,30.65,29.71,29.8,1386100
OII,2024-11-26,29.78,30.0,29.15,29.29,677200
OII,2024-11-27,29.46,30.24,29.42,29.79,633106
OII,2024-11-29,30.14,30.31,29.8,29.98,439900
OII,2024-12-02,30.02,30.79,29.71,30.58,767743
OII,2024-12-03,30.83,30.98,30.14,30.42,675900
OII,2024-12-04,30.43,30.43,28.42,28.73,896833
OII,2024-12-05,28.78,28.85,28.03,28.36,889634
OII,2024-12-06,28.41,28.41,26.99,27.09,863500
OII,2024-12-09,27.57,27.82,26.92,26.94,781940
OII,2024-12-10,27.0,27.66,26.66,26.77,796904
OII,2024-12-11,27.14,27.73,26.76,27.2,685400
OII,2024-12-12,27.04,27.16,26.0,26.12,737400
OII,2024-12-13,26.11,26.22,25.82,25.87,778200
OII,2024-12-16,25.5,26.05,25.15,25.38,854300
OII,2024-12-17,24.99,25.34,24.65,25.29,914701
OII,2024-12-18,25.51,25.8,24.48,24.63,1315815
OII,2024-12-19,25.19,25.28,24.19,24.24,685700
OII,2024-12-20,23.86,24.93,23.76,24.55,2292910
OII,2024-12-23,24.53,24.82,24.4,24.79,551429
OII,2024-12-24,24.92,25.11,24.49,25.04,218530
OII,2024-12-26,25.08,25.49,24.52,25.31,622517
OII,2024-12-27,25.17,25.52,24.98,25.2,630100
OII,2024-12-30,25.19,25.89,24.82,25.69,806900
OII,2024-12-31,25.79,26.27,25.72,26.08,545118
OII,2025-01-02,26.6,27.24,26.53,27.15,696603
OII,2025-01-03,27.45,27.57,26.77,27.42,634400
OII,2025-01-06,27.59,28.31,27.25,27.4,624500
OII,2025-01-07,27.54,27.94,27.05,27.93,601868
OII,2025-01-08,27.47,27.55,26.91,27.1,567048
OII,2025-01-10,27.23,27.77,26.24,26.4,952923
OII,2025-01-13,25.94,26.64,25.81,26.0,1180800
OII,2025-01-14,25.8,26.33,25.39,26.31,1408139
OII,2025-01-15,26.64,27.23,26.45,27.11,545449
OII,2025-01-16,26.91,27.21,25.99,26.18,689210
OII,2025-01-17,26.55,26.98,26.4,26.68,544400
OII,2025-01-21,26.92,27.18,26.18,27.1,754939
OII,2025-01-22,26.86,27.04,26.31,26.36,1037200
OII,2025-01-23,26.51,26.74,26.28,26.43,614303
OII,2025-01-24,26.42,26.79,26.22,26.45,610100
OII,2025-01-27,26.25,26.55,25.56,25.63,485611
OII,2025-01-28,25.76,25.89,25.13,25.48,536200
OII,2025-01-29,25.44,25.67,25.13,25.27,385700
OII,2025-01-30,25.48,25.53,25.04,25.37,564500
OII,2025-01-31,25.47,25.47,24.48,24.85,668921
OII,2025-02-03,24.66,25.02,24.0,24.73,577000
OII,2025-02-04,24.59,25.55,24.59,25.41,618400
OII,2025-02-05,25.67,25.75,25.15,25.34,690739
OII,2025-02-06,25.62,25.62,24.33,24.66,788900
OII,2025-02-07,24.67,25.07,24.62,24.7,502936
OII,2025-02-10,24.97,25.77,24.93,25.39,599057
OII,2025-02-11,25.48,25.99,25.38,25.7,419929
OII,2025-02-12,25.24,25.36,24.89,24.91,739736
OII,2025-02-13,25.04,25.37,24.69,25.33,523426
OII,2025-02-14,25.54,25.79,25.29,25.48,455969
OII,2025-02-18,25.7,26.11,25.5,25.69,976700
OII,2025-02-19,25.38,25.68,25.04,25.18,1083500
OII,2025-02-20,24.46,25.59,23.85,24.15,1298045
OII,2025-02-21,24.15,24.33,22.35,22.53,1239249
OII,2025-02-24,22.6,22.66,21.93,22.09,1140179
OII,2025-02-25,22.2,22.57,21.99,22.2,1454600
OII,2025-02-26,22.2,22.46,22.0,22.15,1150646
OII,2025-02-27,22.37,22.9,22.13,22.62,1017800
OII,2025-02-28,22.5,22.75,21.86,22.09,1212100
OII,2025-03-03,22.2,22.37,20.55,20.73,1163684
OII,2025-03-04,20.21,20.5,19.62,20.15,995500
OII,2025-03-05,19.64,20.06,19.03,19.71,1344225
OII,2025-03-06,19.27,19.62,19.01,19.22,1415631
OII,2025-03-07,19.43,19.98,19.13,19.95,1389350
OII,2025-03-10,19.73,19.98,18.87,19.14,1364718
OII,2025-03-11,19.2,19.62,18.97,19.16,1290500
OII,2025-03-12,19.39,19.81,19.28,19.36,922000
OII,2025-03-13,19.54,20.23,19.3,19.56,1407810
OII,2025-03-14,19.75,20.25,19.6,20.14,1538301
OII,2025-03-17,20.09,20.74,19.96,20.61,1639655
OII,2025-03-18,20.69,21.1,20.55,21.0,1066700
OII,2025-03-19,21.1,21.69,21.08,21.56,1146232
OII,2025-03-20,21.3,21.98,21.3,21.74,900900
OII,2025-03-21,21.51,21.78,21.42,21.5,1502329
OII,2025-03-24,21.8,22.23,21.73,22.15,731700
OII,2025-03-25,22.19,22.4,21.97,22.01,1025622
OII,2025-03-26,22.5,22.88,22.03,22.18,734755
OII,2025-03-27,22.05,22.14,21.58,21.97,968149
OII,2025-03-28,21.84,21.93,21.34,21.6,639200
OII,2025-03-31,21.33,21.94,21.08,21.81,775676
OII,2025-04-01,21.69,22.31,21.55,22.27,638928
OII,2025-04-02,22.27,22.69,21.96,22.55,736683
OII,2025-04-03,21.08,21.23,19.53,19.63,910000
OII,2025-04-04,18.39,18.68,16.68,17.14,1814563
OII,2025-04-07,16.33,18.22,15.74,17.07,1593315
OII,2025-04-08,18.02,18.02,15.64,15.95,1238582
OII,2025-04-09,15.48,18.43,15.46,18.08,2692962
OII,2025-04-10,17.23,17.25,15.85,16.32,1164015
OII,2025-04-11,16.39,17.1,16.0,17.0,1012300
OII,2025-04-14,17.44,17.44,16.64,16.98,819177
OII,2025-04-15,16.93,17.34,16.74,16.95,605600
OII,2025-04-16,17.1,17.54,17.0,17.27,782500
OII,2025-04-17,17.6,18.13,17.57,17.9,570925
OII,2025-04-21,17.58,17.68,17.14,17.42,1341932
OII,2025-04-22,17.48,17.61,16.87,17.38,1413608
OII,2025-04-23,17.77,18.13,17.02,17.27,1150119
OII,2025-04-24,18.58,18.59,16.83,17.92,1796934
OII,2025-04-25,17.39,17.87,17.29,17.82,1229222
OII,2025-04-28,17.66,18.05,17.58,17.94,1574333
OII,2025-04-29,17.82,18.68,17.7,18.5,1116714
OII,2025-04-30,18.15,18.2,17.53,17.75,1051936
OII,2025-05-01,17.75,18.94,17.75,18.65,974723
OII,2025-05-02,18.87,19.12,18.58,19.02,635200
OII,2025-05-05,18.5,18.82,18.34,18.35,546600
OII,2025-05-06,18.64,18.89,18.27,18.57,677800
OII,2025-05-07,18.71,18.72,18.31,18.38,547200
OII,2025-05-08,18.89,19.27,18.7,18.98,657825
OII,2025-05-09,19.33,19.51,18.94,19.06,687125
OII,2025-05-12,20.42,20.64,19.62,19.86,700800
OII,2025-05-13,20.05,20.2,19.87,20.02,490729
OII,2025-05-14,19.8,20.34,19.77,20.1,714025
OII,2025-05-15,19.68,19.91,19.46,19.88,565822
OII,2025-05-16,19.9,19.95,19.41,19.64,581293
OII,2025-05-19,19.36,19.77,19.06,19.75,710921
