symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
OKTA,2024-08-27,97.21,97.78,96.33,96.98,1838030
OKTA,2024-08-28,96.89,98.26,95.36,96.54,4047500
OKTA,2024-08-29,83.01,83.88,77.64,79.51,14467000
OKTA,2024-08-30,80.06,80.82,78.05,78.73,4434201
OKTA,2024-09-03,78.58,80.24,75.81,76.04,3410800
OKTA,2024-09-04,74.95,76.93,74.3,75.26,2407600
OKTA,2024-09-05,74.92,75.69,74.11,74.71,2228700
OKTA,2024-09-06,74.99,75.34,72.12,72.45,2462914
OKTA,2024-09-09,72.69,73.14,71.18,71.27,3301123
OKTA,2024-09-10,71.6,71.7,70.56,71.0,2880700
OKTA,2024-09-11,70.89,73.81,70.81,73.34,2386832
OKTA,2024-09-12,73.53,74.29,73.07,73.5,2156723
OKTA,2024-09-13,73.75,75.09,73.58,74.06,1496000
OKTA,2024-09-16,74.01,74.93,73.47,74.03,1633400
OKTA,2024-09-17,74.81,74.94,73.81,74.21,2555911
OKTA,2024-09-18,74.25,74.6,73.44,73.89,1824421
OKTA,2024-09-19,75.61,76.15,74.82,75.02,1940248
OKTA,2024-09-20,74.87,75.81,74.32,75.75,3813000
OKTA,2024-09-23,76.07,76.59,75.58,76.18,2299134
OKTA,2024-09-24,76.02,76.54,75.36,75.83,1284304
OKTA,2024-09-25,74.86,75.68,74.53,74.86,1899300
OKTA,2024-09-26,75.54,75.69,73.53,74.29,2114900
OKTA,2024-09-27,74.82,75.18,73.78,73.99,1796826
OKTA,2024-09-30,73.84,74.49,73.65,74.34,1846163
OKTA,2024-10-01,74.62,74.7,72.47,72.58,1516600
OKTA,2024-10-02,72.62,73.21,72.27,72.39,1701519
OKTA,2024-10-03,71.92,72.62,71.63,72.09,1354684
OKTA,2024-10-04,73.29,73.29,71.76,72.31,1495121
OKTA,2024-10-07,72.31,72.63,71.47,71.81,1368400
OKTA,2024-10-08,71.92,73.31,71.92,73.22,1149025
OKTA,2024-10-09,73.45,76.61,73.33,76.52,2363807
OKTA,2024-10-10,76.53,78.48,76.51,77.93,1938437
OKTA,2024-10-11,77.87,78.58,77.13,77.34,1960728
