symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
OMC,2024-08-27,92.88,93.72,92.87,93.19,772811
OMC,2024-08-28,93.01,93.55,92.33,92.85,887343
OMC,2024-08-29,93.27,93.59,92.35,92.73,1240400
OMC,2024-08-30,93.09,94.6,92.77,94.43,1426251
OMC,2024-09-03,94.05,94.12,92.81,93.39,958743
OMC,2024-09-04,93.35,96.03,92.47,92.85,1663700
OMC,2024-09-05,93.25,94.14,92.34,93.94,1222946
OMC,2024-09-06,93.88,95.27,92.79,92.84,1063400
OMC,2024-09-09,93.09,93.44,92.17,92.99,1364100
OMC,2024-09-10,93.13,93.97,92.68,93.58,941900
OMC,2024-09-11,93.22,93.44,91.37,92.42,1038709
OMC,2024-09-12,92.11,92.9,91.28,92.66,1259800
OMC,2024-09-13,92.91,94.23,92.91,93.99,723300
OMC,2024-09-16,94.81,95.91,94.49,95.05,1199543
OMC,2024-09-17,95.89,96.61,94.99,95.65,949642
OMC,2024-09-18,96.03,97.39,95.91,96.48,900400
OMC,2024-09-19,97.68,98.54,97.4,97.69,1439448
OMC,2024-09-20,97.51,97.82,96.11,96.84,3964446
OMC,2024-09-23,97.02,97.68,96.53,96.85,929800
OMC,2024-09-24,96.74,96.88,95.67,96.3,1088837
OMC,2024-09-25,96.42,96.43,95.14,95.28,919435
OMC,2024-09-26,95.85,97.6,95.77,97.49,1251100
OMC,2024-09-27,98.06,98.63,97.1,97.19,1190234
OMC,2024-09-30,97.06,98.27,96.58,97.87,1440336
OMC,2024-10-01,97.9,97.9,95.97,97.21,1378700
OMC,2024-10-02,96.69,97.17,96.18,96.6,1180700
OMC,2024-10-03,96.14,96.74,95.15,95.63,1416137
OMC,2024-10-04,96.58,97.01,95.74,96.13,725523
OMC,2024-10-07,95.67,96.09,94.89,95.48,1336466
OMC,2024-10-08,95.62,96.54,95.25,96.07,1199400
OMC,2024-10-09,96.29,97.62,96.14,97.3,1240600
OMC,2024-10-10,97.03,97.21,96.07,96.29,884400
OMC,2024-10-11,96.6,97.67,96.45,97.37,696600
OMC,2024-10-14,97.45,97.96,97.0,97.75,836817
OMC,2024-10-15,98.45,99.74,98.35,98.47,1735149
OMC,2024-10-16,97.48,100.28,95.43,99.86,3031206
OMC,2024-10-17,100.83,100.83,99.04,99.61,2171334
OMC,2024-10-18,99.69,99.87,98.1,98.9,1531400
OMC,2024-10-21,98.74,99.03,97.76,98.08,1251717
OMC,2024-10-22,97.98,97.99,94.9,95.64,2043223
OMC,2024-10-23,95.24,96.57,95.08,95.35,1537300
OMC,2024-10-24,95.92,95.92,94.67,95.1,1144825
OMC,2024-10-25,95.75,95.75,94.59,95.16,1081700
OMC,2024-10-28,95.34,97.13,95.28,97.03,1647623
OMC,2024-10-29,96.89,97.33,96.06,96.27,1359500
OMC,2024-10-30,95.71,97.14,95.71,96.88,1373452
OMC,2024-10-31,96.76,97.1,95.56,95.61,1001000
OMC,2024-11-01,96.27,96.66,95.61,95.69,1070837
OMC,2024-11-04,96.1,96.82,95.75,96.5,1439342
OMC,2024-11-05,96.69,97.7,96.41,97.67,1073142
OMC,2024-11-06,101.29,101.29,98.38,99.45,1648200
OMC,2024-11-07,99.41,99.74,98.77,99.17,1238812
OMC,2024-11-08,98.91,99.37,98.42,98.89,1470538
OMC,2024-11-11,99.77,99.91,98.4,98.83,1100336
OMC,2024-11-12,98.78,99.59,97.8,98.29,1349200
OMC,2024-11-13,98.07,98.59,97.45,97.83,1344600
OMC,2024-11-14,97.84,99.7,97.67,99.44,1359820
OMC,2024-11-15,97.82,98.85,91.1,91.69,9315223
OMC,2024-11-18,91.65,94.23,91.45,93.08,2822900
OMC,2024-11-19,91.65,92.87,91.48,92.81,1348435
OMC,2024-11-20,92.28,93.95,91.62,93.79,1310804
OMC,2024-11-21,93.75,96.74,93.31,96.5,1262000
OMC,2024-11-22,96.48,97.26,95.86,96.92,1549200
OMC,2024-11-25,97.51,99.59,96.66,99.02,2425128
OMC,2024-11-26,98.91,99.48,98.29,99.05,1061200
OMC,2024-11-27,99.74,100.12,98.69,98.78,967300
OMC,2024-11-29,99.31,100.34,98.97,99.23,794200
OMC,2024-12-02,99.17,99.7,98.51,99.41,1196004
OMC,2024-12-03,99.43,99.86,97.82,98.26,1165800
OMC,2024-12-04,98.0,98.53,97.53,97.76,949953
OMC,2024-12-05,98.12,98.66,97.53,97.64,1101735
OMC,2024-12-06,98.07,98.48,97.39,97.9,1115249
OMC,2024-12-09,93.6,94.57,87.8,87.87,10939171
OMC,2024-12-10,86.54,89.29,86.17,87.53,4966800
OMC,2024-12-11,87.77,88.44,86.92,87.19,3392010
OMC,2024-12-12,87.16,87.35,85.31,85.35,2304000
OMC,2024-12-13,85.24,85.91,84.32,85.5,2083152
OMC,2024-12-16,85.34,86.96,85.06,86.04,2912414
OMC,2024-12-17,85.19,85.94,83.51,84.22,3356312
OMC,2024-12-18,84.14,85.56,83.04,83.07,2514158
OMC,2024-12-19,83.77,84.37,82.91,83.2,3738483
OMC,2024-12-20,83.63,85.71,82.95,84.8,6003400
OMC,2024-12-23,84.4,84.55,82.61,82.74,1809241
OMC,2024-12-24,82.8,82.8,82.04,82.44,823500
OMC,2024-12-26,81.95,83.63,81.78,83.43,1218348
OMC,2024-12-27,82.74,83.54,82.27,82.53,1164200
OMC,2024-12-30,81.87,82.12,80.7,81.9,1468500
OMC,2024-12-31,82.16,82.79,81.78,82.11,1098030
OMC,2025-01-02,82.72,82.96,81.82,82.49,1614936
OMC,2025-01-03,82.94,83.02,81.39,81.96,1492400
OMC,2025-01-06,81.82,82.59,81.03,81.21,2429496
OMC,2025-01-07,81.42,82.16,80.2,80.76,2380000
OMC,2025-01-08,80.13,80.39,79.37,80.29,2038610
OMC,2025-01-10,79.33,79.82,77.93,78.32,3532400
OMC,2025-01-13,78.11,79.53,77.7,79.36,2604146
OMC,2025-01-14,79.9,81.39,79.64,80.88,3707829
OMC,2025-01-15,82.1,82.38,80.59,81.59,2136400
OMC,2025-01-16,81.8,82.39,81.35,81.91,1880800
OMC,2025-01-17,82.03,82.48,81.22,81.48,2642246
OMC,2025-01-21,82.24,82.78,81.62,82.63,2086628
OMC,2025-01-22,82.53,82.53,81.49,82.19,1971800
OMC,2025-01-23,81.89,82.56,81.69,82.21,1468843
OMC,2025-01-24,82.47,83.22,82.07,82.6,2110163
OMC,2025-01-27,82.48,85.26,82.48,84.3,1764200
OMC,2025-01-28,84.23,84.58,83.1,83.22,1633200
OMC,2025-01-29,82.84,83.91,82.58,82.84,1759849
OMC,2025-01-30,83.22,83.3,82.07,82.56,1608900
