symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
OPLN,2024-08-27,17.58,17.66,17.4,17.41,868433
OPLN,2024-08-28,17.32,17.44,17.17,17.18,776500
OPLN,2024-08-29,17.31,17.5,17.17,17.27,1014000
OPLN,2024-08-30,17.37,17.43,17.19,17.33,758000
OPLN,2024-09-03,17.17,17.38,17.11,17.21,1254632
OPLN,2024-09-04,17.2,17.26,16.9,16.9,797900
OPLN,2024-09-05,16.85,16.88,16.65,16.79,881211
OPLN,2024-09-06,16.82,16.99,16.47,16.48,638008
OPLN,2024-09-09,16.45,16.5,16.29,16.31,1023500
OPLN,2024-09-10,16.28,16.29,15.77,16.02,823400
OPLN,2024-09-11,15.9,15.92,15.65,15.79,841737
OPLN,2024-09-12,15.88,16.31,15.88,16.18,704400
OPLN,2024-09-13,16.39,16.68,16.3,16.55,636800
OPLN,2024-09-16,16.65,16.72,16.4,16.45,406000
OPLN,2024-09-17,16.6,16.86,16.53,16.66,411203
OPLN,2024-09-18,16.64,16.98,16.52,16.57,431437
OPLN,2024-09-19,16.94,17.05,16.82,16.92,670100
OPLN,2024-09-20,16.83,16.83,16.58,16.63,1789200
OPLN,2024-09-23,16.71,16.76,16.49,16.5,385300
OPLN,2024-09-24,16.56,16.83,16.51,16.8,467600
OPLN,2024-09-25,16.74,16.8,16.46,16.47,566809
OPLN,2024-09-26,16.59,16.82,16.52,16.74,497204
OPLN,2024-09-27,16.95,17.0,16.61,16.77,524821
OPLN,2024-09-30,16.66,16.91,16.66,16.88,572900
OPLN,2024-10-01,16.79,16.86,16.38,16.63,667400
OPLN,2024-10-02,16.53,16.72,16.38,16.38,375838
OPLN,2024-10-03,16.26,16.27,15.98,16.05,405800
OPLN,2024-10-04,16.3,16.38,16.11,16.22,558811
OPLN,2024-10-07,16.12,16.16,15.69,15.73,649853
OPLN,2024-10-08,15.79,15.91,15.69,15.83,460547
OPLN,2024-10-09,15.77,15.99,15.75,15.81,505200
OPLN,2024-10-10,15.63,15.65,15.44,15.53,443031
OPLN,2024-10-11,15.58,15.91,15.55,15.88,385306
OPLN,2024-10-14,15.84,15.87,15.71,15.81,483600
OPLN,2024-10-15,15.83,16.1,15.76,15.85,575213
OPLN,2024-10-16,15.99,16.18,15.94,16.17,422547
OPLN,2024-10-17,16.16,16.37,16.1,16.33,562229
OPLN,2024-10-18,16.4,16.58,16.36,16.51,375700
OPLN,2024-10-21,16.42,16.57,16.22,16.24,476305
OPLN,2024-10-22,16.14,16.21,15.93,15.97,749200
OPLN,2024-10-23,15.86,16.01,15.72,15.84,514900
OPLN,2024-10-24,15.86,16.08,15.84,16.06,551600
OPLN,2024-10-25,16.1,16.19,16.0,16.12,526200
OPLN,2024-10-28,16.31,16.48,16.07,16.41,376328
OPLN,2024-10-29,16.22,16.43,16.21,16.33,396030
OPLN,2024-10-30,16.3,16.53,16.22,16.24,466304
OPLN,2024-10-31,16.26,16.34,15.79,15.8,447525
OPLN,2024-11-01,15.87,16.04,15.84,15.9,397214
OPLN,2024-11-04,15.83,16.24,15.83,16.2,409030
OPLN,2024-11-05,16.18,16.51,16.08,16.43,476634
OPLN,2024-11-06,17.25,17.57,17.07,17.48,932000
OPLN,2024-11-07,18.48,19.94,18.22,19.56,1758628
OPLN,2024-11-08,19.16,19.53,18.78,19.44,1134800
OPLN,2024-11-11,19.63,20.15,19.38,20.03,1189523
OPLN,2024-11-12,20.05,20.45,19.99,20.21,782800
OPLN,2024-11-13,20.42,20.44,19.8,19.98,769300
OPLN,2024-11-14,20.06,20.08,19.49,19.57,767002
OPLN,2024-11-15,19.67,19.93,19.4,19.86,602836
OPLN,2024-11-18,19.84,20.21,19.78,19.87,450400
OPLN,2024-11-19,19.66,19.69,19.43,19.6,506531
OPLN,2024-11-20,20.06,20.06,19.49,19.66,612800
OPLN,2024-11-21,19.63,19.95,19.44,19.84,532100
OPLN,2024-11-22,19.99,20.11,19.88,19.94,507934
OPLN,2024-11-25,20.17,20.43,20.1,20.2,885300
OPLN,2024-11-26,20.13,20.13,19.78,19.95,658400
OPLN,2024-11-27,20.01,20.2,19.92,20.11,648300
OPLN,2024-11-29,20.28,20.37,20.12,20.2,257503
OPLN,2024-12-02,20.27,20.27,19.86,20.08,823500
OPLN,2024-12-03,20.1,20.18,19.89,19.96,949720
OPLN,2024-12-04,19.92,20.28,19.86,20.13,700300
OPLN,2024-12-05,20.09,20.28,20.02,20.25,464800
OPLN,2024-12-06,20.4,20.71,19.94,20.2,480008
OPLN,2024-12-09,20.24,20.61,20.02,20.52,788400
OPLN,2024-12-10,20.49,20.85,20.39,20.61,686500
OPLN,2024-12-11,20.72,20.72,20.4,20.6,740236
OPLN,2024-12-12,20.57,20.77,20.4,20.71,922825
OPLN,2024-12-13,20.64,20.79,20.37,20.57,582300
OPLN,2024-12-16,20.63,20.79,20.51,20.75,667700
OPLN,2024-12-17,20.7,20.79,20.18,20.3,926000
OPLN,2024-12-18,20.48,20.75,19.73,19.98,1045329
