symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ORA,2024-08-27,73.58,74.11,73.08,73.77,266700
ORA,2024-08-28,73.6,74.05,72.92,72.93,302400
ORA,2024-08-29,73.39,73.94,72.64,73.35,355200
ORA,2024-08-30,73.8,74.07,72.43,73.92,249000
ORA,2024-09-03,72.91,73.35,71.52,72.12,312200
ORA,2024-09-04,71.64,72.93,71.52,72.33,200344
ORA,2024-09-05,72.89,73.44,72.42,73.08,181600
ORA,2024-09-06,73.32,73.32,71.75,72.2,162400
ORA,2024-09-09,71.87,72.14,71.23,71.42,266600
ORA,2024-09-10,71.45,72.1,71.07,71.97,209100
ORA,2024-09-11,72.36,73.35,72.12,73.1,250900
ORA,2024-09-12,72.83,73.68,72.28,73.63,285934
ORA,2024-09-13,74.57,75.68,73.88,75.31,311400
ORA,2024-09-16,75.13,75.13,73.51,74.45,389926
ORA,2024-09-17,74.28,76.16,74.28,74.95,284814
ORA,2024-09-18,74.84,76.05,74.16,74.74,292200
ORA,2024-09-19,75.35,75.35,73.54,74.25,341200
ORA,2024-09-20,74.38,75.21,74.32,74.91,878600
ORA,2024-09-23,74.98,75.53,74.53,75.04,303222
ORA,2024-09-24,75.59,75.69,74.92,75.04,259927
ORA,2024-09-25,75.09,76.32,74.88,76.04,293600
ORA,2024-09-26,76.84,77.2,76.38,76.43,560800
ORA,2024-09-27,77.14,77.63,76.53,76.84,227029
ORA,2024-09-30,76.9,76.94,75.83,76.31,630028
ORA,2024-10-01,76.14,76.34,75.14,76.02,310838
ORA,2024-10-02,75.37,75.89,74.88,75.58,359700
ORA,2024-10-03,75.5,75.55,74.72,74.9,333212
ORA,2024-10-04,75.08,75.56,74.5,75.44,241700
ORA,2024-10-07,75.12,75.69,74.8,75.28,249406
ORA,2024-10-08,75.29,75.47,74.57,74.65,359100
ORA,2024-10-09,74.6,75.95,74.15,75.3,358300
ORA,2024-10-10,74.93,75.02,73.94,74.45,418649
ORA,2024-10-11,74.25,75.66,74.25,75.38,276410
ORA,2024-10-14,75.54,76.41,74.94,76.27,249114
ORA,2024-10-15,76.81,76.98,75.81,76.39,460400
ORA,2024-10-16,77.12,78.15,76.8,78.14,374227
ORA,2024-10-17,78.25,78.25,76.55,76.64,368920
ORA,2024-10-18,76.81,77.69,76.14,77.67,443700
ORA,2024-10-21,78.54,79.87,78.3,79.59,525063
ORA,2024-10-22,79.38,79.38,77.88,78.68,264412
ORA,2024-10-23,78.39,78.84,77.34,77.85,249800
ORA,2024-10-24,77.95,78.1,77.12,77.35,601400
ORA,2024-10-25,77.62,78.86,77.19,78.22,323956
ORA,2024-10-28,80.29,81.21,79.58,80.77,429656
ORA,2024-10-29,80.15,80.41,79.54,80.33,333528
ORA,2024-10-30,80.74,81.71,79.46,79.49,369700
ORA,2024-10-31,79.55,79.76,78.32,78.37,414600
ORA,2024-11-01,78.83,79.38,77.83,78.07,420213
ORA,2024-11-04,78.74,80.39,78.36,80.2,406508
ORA,2024-11-05,79.95,81.39,79.73,81.19,381646
ORA,2024-11-06,79.62,81.74,79.46,81.25,775500
ORA,2024-11-07,80.96,83.16,80.13,82.37,689666
ORA,2024-11-08,82.12,82.93,82.12,82.45,543545
ORA,2024-11-11,83.23,83.61,82.39,83.15,596238
ORA,2024-11-12,82.94,82.94,78.79,78.87,772919
ORA,2024-11-13,79.98,79.98,78.49,78.57,431837
ORA,2024-11-14,79.0,79.78,78.42,78.84,404309
ORA,2024-11-15,79.26,79.34,78.22,78.36,299348
ORA,2024-11-18,78.23,79.03,77.64,78.75,522923
ORA,2024-11-19,77.96,78.92,77.75,78.71,415300
ORA,2024-11-20,78.25,78.97,78.25,78.84,240500
ORA,2024-11-21,78.69,79.98,78.39,79.54,364800
ORA,2024-11-22,80.11,80.78,79.84,80.2,513500
ORA,2024-11-25,81.06,82.61,81.06,81.47,507402
ORA,2024-11-26,80.99,81.31,80.1,80.58,287050
ORA,2024-11-27,80.77,81.54,80.6,81.04,310600
ORA,2024-11-29,80.95,81.61,80.71,81.07,216535
ORA,2024-12-02,80.95,81.77,79.89,81.16,359113
ORA,2024-12-03,80.89,80.97,78.99,79.04,523900
ORA,2024-12-04,79.09,79.67,77.95,78.22,333500
ORA,2024-12-05,77.77,78.46,76.94,77.67,530600
ORA,2024-12-06,78.3,78.62,77.51,78.46,427832
ORA,2024-12-09,78.95,79.74,77.74,78.02,373500
ORA,2024-12-10,77.96,79.07,77.48,78.83,461800
ORA,2024-12-11,78.48,79.86,78.34,79.65,608300
ORA,2024-12-12,76.23,76.44,73.1,73.7,2471700
ORA,2024-12-13,73.5,73.72,71.28,72.01,1595206
ORA,2024-12-16,72.49,74.36,72.19,72.58,980300
ORA,2024-12-17,72.62,73.17,70.8,70.99,804635
ORA,2024-12-18,70.99,71.22,66.73,66.74,999801
ORA,2024-12-19,67.01,68.58,66.65,66.67,1398100
ORA,2024-12-20,65.9,68.26,65.9,67.06,1937416
ORA,2024-12-23,69.01,69.02,67.27,68.29,848700
ORA,2024-12-24,70.04,70.04,69.0,69.78,468635
ORA,2024-12-26,69.79,69.81,68.51,68.78,443434
ORA,2024-12-27,68.3,68.8,66.9,67.45,1152812
ORA,2024-12-30,67.64,68.21,66.56,67.98,472800
ORA,2024-12-31,68.36,68.55,66.9,67.26,917722
ORA,2025-01-02,68.14,69.19,67.68,68.66,436100
ORA,2025-01-03,69.08,69.35,68.02,68.44,698711
ORA,2025-01-06,68.83,69.91,68.31,68.37,680900
ORA,2025-01-07,68.55,69.49,68.3,69.45,632500
ORA,2025-01-08,68.67,68.8,67.49,68.1,514800
ORA,2025-01-10,66.09,66.32,64.58,65.29,589927
ORA,2025-01-13,65.12,66.82,65.01,66.02,805700
ORA,2025-01-14,66.17,66.86,65.25,65.65,498100
ORA,2025-01-15,67.73,67.9,66.79,66.79,616400
ORA,2025-01-16,66.87,67.65,66.75,67.15,400114
ORA,2025-01-17,67.42,67.68,66.48,66.65,565313
ORA,2025-01-21,67.17,67.35,65.94,66.0,483700
ORA,2025-01-22,65.77,66.21,64.01,64.01,686019
ORA,2025-01-23,63.91,65.22,63.81,65.08,547300
ORA,2025-01-24,64.72,65.61,64.55,64.84,466617
ORA,2025-01-27,64.96,65.72,63.43,64.17,768600
ORA,2025-01-28,63.94,63.99,61.17,62.09,550200
ORA,2025-01-29,62.13,63.22,62.13,62.96,472700
ORA,2025-01-30,63.58,64.14,63.09,63.82,511408
ORA,2025-01-31,63.68,64.54,62.93,63.72,734216
ORA,2025-02-03,62.6,63.55,61.96,62.05,495500
ORA,2025-02-04,61.7,62.97,61.52,62.28,409837
ORA,2025-02-05,62.91,64.21,62.91,63.95,486101
ORA,2025-02-06,64.65,65.57,63.64,63.78,377900
ORA,2025-02-07,63.78,63.97,62.97,63.59,361250
ORA,2025-02-10,63.87,64.59,63.19,63.52,529300
ORA,2025-02-11,62.96,63.94,62.76,63.01,330600
ORA,2025-02-12,61.89,63.15,61.85,62.94,413238
ORA,2025-02-13,63.59,63.69,61.85,62.47,446900
ORA,2025-02-14,62.78,63.53,62.48,62.72,302900
ORA,2025-02-18,62.78,65.21,62.76,65.06,485300
ORA,2025-02-19,65.85,66.05,64.96,65.58,468000
ORA,2025-02-20,67.23,69.5,67.2,68.82,945009
ORA,2025-02-21,69.38,69.38,67.39,68.36,518403
ORA,2025-02-24,69.02,69.16,68.03,68.17,452490
ORA,2025-02-25,68.11,68.46,67.22,68.05,421600
ORA,2025-02-26,68.44,68.94,67.2,67.83,662305
ORA,2025-02-27,70.27,72.94,68.46,68.47,696427
ORA,2025-02-28,69.11,69.49,68.01,69.37,593900
ORA,2025-03-03,69.29,70.3,67.92,68.27,459400
ORA,2025-03-04,68.47,69.3,67.71,69.14,496333
ORA,2025-03-05,67.91,69.18,67.91,69.0,442652
ORA,2025-03-06,68.2,69.03,67.55,68.91,437600
ORA,2025-03-07,68.85,71.3,68.35,70.16,606200
ORA,2025-03-10,69.69,72.84,69.69,72.44,1401200
ORA,2025-03-11,72.5,72.62,70.15,70.62,473500
ORA,2025-03-12,70.63,71.24,69.84,70.74,441624
ORA,2025-03-13,69.8,71.54,69.68,71.13,456243
ORA,2025-03-14,71.3,71.93,70.83,71.49,286212
ORA,2025-03-17,70.98,72.57,70.98,72.34,342600
ORA,2025-03-18,71.79,72.28,71.5,71.74,384822
ORA,2025-03-19,71.57,71.79,70.41,71.4,431405
ORA,2025-03-20,71.01,71.89,70.86,71.66,388605
ORA,2025-03-21,70.92,71.69,70.69,71.28,890900
ORA,2025-03-24,70.76,71.76,70.17,70.79,549220
ORA,2025-03-25,71.2,71.68,70.07,70.86,502444
ORA,2025-03-26,70.44,70.99,68.35,69.46,650800
ORA,2025-03-27,69.6,70.14,69.25,69.76,295400
ORA,2025-03-28,69.97,70.47,69.72,70.22,316700
ORA,2025-03-31,69.5,70.62,69.23,70.42,469138
ORA,2025-04-01,70.4,70.8,69.45,70.42,385700
ORA,2025-04-02,69.99,71.03,69.87,70.93,321000
ORA,2025-04-03,71.08,72.31,70.41,70.47,612832
ORA,2025-04-04,69.0,69.62,67.06,68.0,781317
ORA,2025-04-07,67.03,71.03,66.77,67.93,909500
ORA,2025-04-08,68.9,68.9,65.07,66.07,724239
ORA,2025-04-09,65.9,69.7,64.07,69.1,798638
ORA,2025-04-10,67.9,68.64,66.64,68.19,442000
ORA,2025-04-11,68.55,69.79,66.9,69.68,542300
ORA,2025-04-14,69.67,70.47,69.26,70.14,512200
ORA,2025-04-15,70.34,71.21,70.13,70.72,398816
ORA,2025-04-16,70.55,70.91,69.43,70.0,394342
ORA,2025-04-17,69.83,71.65,69.83,71.23,514025
ORA,2025-04-21,71.0,71.12,69.67,70.42,292100
ORA,2025-04-22,71.3,72.25,71.21,72.14,542900
ORA,2025-04-23,72.63,72.95,70.61,71.28,380100
ORA,2025-04-24,72.05,73.16,71.7,72.36,396411
