symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
OSCR,2024-08-27,18.14,18.41,17.64,17.64,1553407
OSCR,2024-08-28,17.6,17.66,17.09,17.27,1283408
OSCR,2024-08-29,17.39,17.91,17.28,17.81,1545500
OSCR,2024-08-30,17.94,18.47,17.83,18.3,2162148
OSCR,2024-09-03,18.15,18.42,17.65,17.96,2023026
OSCR,2024-09-04,17.87,18.19,16.6,17.44,2029614
OSCR,2024-09-05,17.32,17.76,16.85,17.4,2037700
OSCR,2024-09-06,17.32,17.52,16.68,16.99,2800700
OSCR,2024-09-09,17.24,17.74,16.99,17.47,2388435
OSCR,2024-09-10,18.0,18.3,16.89,17.42,2643100
OSCR,2024-09-11,18.7,20.73,18.6,20.67,9625439
OSCR,2024-09-12,20.62,21.07,20.06,21.0,5207200
OSCR,2024-09-13,21.2,21.79,20.82,21.61,2821636
OSCR,2024-09-16,21.61,22.28,21.55,21.92,2657700
OSCR,2024-09-17,22.11,22.34,21.67,21.93,2592000
OSCR,2024-09-18,22.0,23.11,21.94,22.6,3101400
OSCR,2024-09-19,23.24,23.57,22.87,23.27,3180181
OSCR,2024-09-20,23.52,23.79,22.71,22.93,6800512
OSCR,2024-09-23,22.77,23.09,21.88,22.33,3006103
OSCR,2024-09-24,22.39,22.51,21.67,21.71,2370657
OSCR,2024-09-25,21.67,22.02,21.01,21.58,2535221
OSCR,2024-09-26,21.71,21.89,20.31,20.48,2670507
OSCR,2024-09-27,20.39,21.51,20.25,20.99,3320300
OSCR,2024-09-30,20.88,22.01,20.63,21.21,2497900
OSCR,2024-10-01,21.25,21.61,20.4,20.63,2072700
OSCR,2024-10-02,20.2,20.42,19.22,20.25,2355700
OSCR,2024-10-03,20.18,20.47,19.12,19.19,2411829
OSCR,2024-10-04,19.5,20.26,19.28,20.14,2715182
OSCR,2024-10-07,19.92,20.24,18.17,18.48,3397900
OSCR,2024-10-08,18.57,19.0,17.98,18.28,2046200
OSCR,2024-10-09,17.87,18.56,17.71,18.18,2878700
OSCR,2024-10-10,18.02,18.17,17.28,17.34,3611565
OSCR,2024-10-11,17.32,18.13,17.21,18.0,2580204
OSCR,2024-10-14,18.01,18.2,17.45,17.58,2177821
OSCR,2024-10-15,17.31,17.84,16.97,17.37,2609918
OSCR,2024-10-16,17.55,17.91,17.12,17.8,2085809
OSCR,2024-10-17,17.79,17.91,16.75,16.8,2683212
OSCR,2024-10-18,16.99,17.11,16.16,16.35,4291304
OSCR,2024-10-21,16.41,16.83,15.74,15.97,3600500
OSCR,2024-10-22,15.79,16.17,15.79,16.03,1880549
OSCR,2024-10-23,16.05,16.37,15.68,15.94,2185635
OSCR,2024-10-24,16.02,17.36,16.02,17.2,3895017
OSCR,2024-10-25,17.51,17.84,16.03,16.19,3674414
OSCR,2024-10-28,16.31,16.59,15.33,15.35,3259100
OSCR,2024-10-29,15.2,15.95,15.18,15.93,2472087
OSCR,2024-10-30,15.77,17.2,15.65,17.04,3543300
OSCR,2024-10-31,16.93,17.42,16.45,16.8,3293829
OSCR,2024-11-01,16.99,17.66,16.77,17.65,3847600
OSCR,2024-11-04,17.69,18.92,17.67,18.09,5825000
OSCR,2024-11-05,17.93,18.39,16.2,18.34,5202347
OSCR,2024-11-06,15.79,17.56,15.25,15.55,12676443
OSCR,2024-11-07,14.26,14.75,13.45,13.64,11773505
OSCR,2024-11-08,13.61,14.19,13.4,13.54,4328696
