symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
OTTR,2025-02-07,76.49,76.94,75.11,75.18,254103
OTTR,2025-02-10,75.82,76.77,75.26,76.73,180000
OTTR,2025-02-11,75.97,77.46,75.92,77.34,177800
OTTR,2025-02-12,75.97,78.13,75.97,77.73,231300
OTTR,2025-02-13,78.02,78.78,77.93,78.1,183500
OTTR,2025-02-14,78.29,78.48,74.29,75.0,429800
OTTR,2025-02-18,76.69,82.56,76.47,79.56,555600
OTTR,2025-02-19,78.92,80.12,78.48,79.11,303444
OTTR,2025-02-20,78.99,79.86,77.97,79.35,260815
OTTR,2025-02-21,80.02,80.15,78.56,79.33,204700
OTTR,2025-02-24,79.87,80.46,78.56,79.45,240700
OTTR,2025-02-25,79.84,80.5,78.76,79.35,225700
OTTR,2025-02-26,79.23,79.84,77.72,78.56,284800
OTTR,2025-02-27,78.17,78.58,76.51,77.4,175605
OTTR,2025-02-28,77.43,77.94,76.74,77.67,216721
OTTR,2025-03-03,77.59,78.9,77.45,78.8,249400
OTTR,2025-03-04,78.0,78.53,76.76,76.85,363133
OTTR,2025-03-05,76.9,77.76,75.75,76.91,409503
OTTR,2025-03-06,76.57,78.22,76.06,77.96,240500
OTTR,2025-03-07,78.08,80.0,77.06,79.09,202500
OTTR,2025-03-10,78.82,82.16,78.62,80.35,462101
OTTR,2025-03-11,80.92,80.92,79.21,80.14,221800
OTTR,2025-03-12,80.04,80.27,77.99,78.44,248728
OTTR,2025-03-13,78.7,80.35,78.54,80.29,217216
OTTR,2025-03-14,80.47,81.42,79.91,81.23,198632
OTTR,2025-03-17,81.47,83.2,80.88,81.2,325700
OTTR,2025-03-18,80.81,81.35,80.4,80.88,197100
OTTR,2025-03-19,80.65,81.84,80.42,81.23,223308
OTTR,2025-03-20,80.71,81.67,80.18,80.22,198808
OTTR,2025-03-21,80.22,80.64,78.71,78.78,1740344
OTTR,2025-03-24,79.48,79.74,78.18,78.73,204908
OTTR,2025-03-25,78.59,78.63,77.39,77.54,172916
OTTR,2025-03-26,77.83,78.76,77.62,78.27,161140
OTTR,2025-03-27,78.16,79.36,78.06,78.47,153100
OTTR,2025-03-28,78.78,79.2,78.12,78.64,139535
OTTR,2025-03-31,78.4,79.23,78.03,78.29,237422
OTTR,2025-04-01,78.18,79.57,77.74,79.2,150500
OTTR,2025-04-02,78.4,79.78,78.32,79.65,190356
OTTR,2025-04-03,78.43,79.61,77.72,78.64,364100
OTTR,2025-04-04,76.75,78.23,73.27,74.79,472927
OTTR,2025-04-07,74.04,75.85,71.66,73.33,504224
OTTR,2025-04-08,74.28,75.14,71.75,72.69,311707
OTTR,2025-04-09,71.61,76.03,69.94,75.97,639973
OTTR,2025-04-10,74.44,76.29,73.54,75.52,236500
OTTR,2025-04-11,75.83,76.95,74.21,76.63,207125
OTTR,2025-04-14,77.48,78.41,76.96,77.91,186200
