symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PARA,2024-12-05,10.82,10.89,10.58,10.62,7051400
PARA,2024-12-06,10.65,10.79,10.49,10.79,7609785
PARA,2024-12-09,10.83,11.02,10.73,10.97,11064900
PARA,2024-12-10,10.89,11.08,10.82,11.0,8990300
PARA,2024-12-11,10.98,11.08,10.86,10.99,9915522
PARA,2024-12-12,11.07,11.48,10.94,11.42,11272613
PARA,2024-12-13,11.43,11.44,11.0,11.02,5618800
PARA,2024-12-16,11.03,11.09,10.81,10.83,8274700
PARA,2024-12-17,10.76,10.81,10.64,10.66,7242400
PARA,2024-12-18,10.7,10.89,10.49,10.53,12328512
PARA,2024-12-19,10.58,10.68,10.43,10.44,9067332
PARA,2024-12-20,10.44,10.73,10.33,10.51,18990900
PARA,2024-12-23,10.48,10.51,10.19,10.21,9671823
PARA,2024-12-24,10.24,10.31,10.17,10.28,4116209
PARA,2024-12-26,10.25,10.33,10.19,10.3,6850469
PARA,2024-12-27,10.25,10.41,10.18,10.26,5766200
PARA,2024-12-30,10.21,10.26,10.07,10.2,8242100
PARA,2024-12-31,10.2,10.36,10.19,10.32,9559040
PARA,2025-01-02,10.37,10.47,10.26,10.44,9217543
PARA,2025-01-03,10.45,10.6,10.37,10.52,5766639
PARA,2025-01-06,10.63,10.84,10.6,10.78,7853300
PARA,2025-01-07,10.85,10.9,10.69,10.74,6841226
PARA,2025-01-08,10.64,10.67,10.31,10.49,8025436
PARA,2025-01-10,10.39,10.49,10.32,10.34,10085868
PARA,2025-01-13,10.3,10.61,10.26,10.57,8253905
PARA,2025-01-14,10.56,10.61,10.42,10.52,6133344
PARA,2025-01-15,10.66,10.68,10.3,10.3,9453648
PARA,2025-01-16,10.3,10.33,10.02,10.02,14965800
PARA,2025-01-17,10.14,10.31,10.06,10.13,9459900
PARA,2025-01-21,10.15,10.37,10.11,10.34,7972400
PARA,2025-01-22,10.36,10.45,10.26,10.37,10115060
PARA,2025-01-23,10.41,10.73,10.36,10.72,8743447
PARA,2025-01-24,10.72,11.12,10.61,10.92,22305835
PARA,2025-01-27,10.9,11.04,10.75,11.01,7964000
PARA,2025-01-28,10.99,11.0,10.81,10.91,7049400
PARA,2025-01-29,10.89,11.03,10.85,10.94,12097454
PARA,2025-01-30,11.0,11.03,10.68,10.83,6086757
PARA,2025-01-31,10.79,10.87,10.67,10.73,6733717
PARA,2025-02-03,10.53,10.69,10.51,10.58,7748243
PARA,2025-02-04,10.62,10.83,10.55,10.77,5069809
PARA,2025-02-05,10.73,10.76,10.63,10.69,7611234
PARA,2025-02-06,10.81,10.84,10.58,10.69,6509187
PARA,2025-02-07,10.77,10.82,10.43,10.48,9713800
PARA,2025-02-10,10.51,10.54,10.39,10.41,6986900
PARA,2025-02-11,10.38,10.57,10.36,10.43,6601179
PARA,2025-02-12,10.36,10.54,10.34,10.49,7056800
PARA,2025-02-13,10.5,10.75,10.46,10.66,8157483
PARA,2025-02-14,10.75,11.19,10.7,11.15,15196919
PARA,2025-02-18,11.17,11.18,11.02,11.16,8662300
PARA,2025-02-19,11.16,11.41,11.13,11.28,12558648
PARA,2025-02-20,11.26,11.37,11.22,11.31,8716500
PARA,2025-02-21,11.37,11.47,11.3,11.33,10479100
PARA,2025-02-24,11.37,11.67,11.26,11.51,12170925
PARA,2025-02-25,11.54,11.7,11.33,11.34,6808500
PARA,2025-02-26,11.35,11.44,10.97,11.07,10721000
PARA,2025-02-27,10.8,11.24,10.7,11.09,13022739
PARA,2025-02-28,11.08,11.3,10.95,11.2,10644831
PARA,2025-03-03,11.22,11.31,11.13,11.16,7531542
PARA,2025-03-04,11.11,11.41,11.09,11.32,9896835
PARA,2025-03-05,11.39,11.44,11.26,11.35,7340600
PARA,2025-03-06,11.34,11.64,11.24,11.6,9580300
PARA,2025-03-07,11.58,12.36,11.51,11.97,23490100
PARA,2025-03-10,11.87,12.1,11.74,11.84,9701200
PARA,2025-03-11,11.79,11.84,11.29,11.31,9890300
PARA,2025-03-12,11.39,11.44,11.11,11.42,8263718
PARA,2025-03-13,11.34,11.58,11.3,11.48,8631304
PARA,2025-03-14,11.54,11.66,11.39,11.53,7311000
PARA,2025-03-17,11.63,11.69,11.53,11.57,4617833
PARA,2025-03-18,11.51,11.59,11.38,11.55,5674511
