symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PBF,2024-08-28,30.49,31.54,30.37,30.68,2277301
PBF,2024-08-29,31.22,31.48,30.26,31.37,1808814
PBF,2024-08-30,31.22,32.44,31.02,32.04,2593362
PBF,2024-09-03,31.37,31.73,30.94,31.4,2814533
PBF,2024-09-04,31.47,31.91,31.01,31.09,2642544
PBF,2024-09-05,31.38,31.38,30.23,30.31,2596815
PBF,2024-09-06,30.47,30.94,29.89,30.41,2846098
PBF,2024-09-09,30.44,30.73,30.0,30.07,2712600
PBF,2024-09-10,30.34,30.49,29.7,30.41,3222408
PBF,2024-09-11,30.33,30.44,28.79,29.3,2987514
PBF,2024-09-12,29.4,30.03,29.24,29.63,1956353
PBF,2024-09-13,29.97,30.89,29.68,30.67,2098400
PBF,2024-09-16,30.95,31.18,29.9,30.59,1700700
PBF,2024-09-17,30.78,31.19,30.44,31.1,1734256
PBF,2024-09-18,31.28,32.28,31.04,31.25,2250844
PBF,2024-09-19,31.92,32.14,31.42,31.87,2695433
PBF,2024-09-20,30.93,31.09,29.78,30.12,5585954
PBF,2024-09-23,29.91,30.33,29.43,29.75,2562200
PBF,2024-09-24,30.37,30.52,29.29,29.34,2057100
PBF,2024-09-25,29.79,29.79,28.77,28.86,1878742
PBF,2024-09-26,28.87,31.12,28.81,29.49,2882772
PBF,2024-09-27,30.2,30.29,29.02,29.51,2545300
PBF,2024-09-30,29.26,29.53,28.94,29.11,2033225
PBF,2024-10-01,28.52,29.62,28.38,29.5,2416521
PBF,2024-10-02,29.62,29.94,28.97,29.35,2546761
PBF,2024-10-03,29.41,31.94,29.27,31.7,3612008
PBF,2024-10-04,31.79,32.19,30.79,31.03,2366100
PBF,2024-10-07,31.0,31.76,30.95,31.4,1496813
PBF,2024-10-08,30.73,30.73,29.34,29.83,2590400
PBF,2024-10-09,29.54,30.82,29.22,30.46,1685200
PBF,2024-10-10,30.49,31.26,30.04,31.23,1277445
PBF,2024-10-11,31.01,31.55,30.77,31.17,1966816
PBF,2024-10-14,30.71,31.02,30.28,30.77,1510228
PBF,2024-10-15,29.99,30.16,29.35,29.61,3787118
PBF,2024-10-16,29.88,30.6,29.84,30.47,2011434
PBF,2024-10-17,30.47,31.74,30.47,31.62,3377945
PBF,2024-10-18,31.83,32.1,31.34,31.7,2291700
PBF,2024-10-21,31.91,31.97,30.58,30.91,1722500
PBF,2024-10-22,30.96,31.39,30.5,31.1,1480231
PBF,2024-10-23,30.92,31.03,29.92,30.26,2030580
PBF,2024-10-24,30.31,30.41,29.6,29.96,2130775
PBF,2024-10-25,30.34,30.71,30.02,30.27,1267326
PBF,2024-10-28,29.75,30.01,29.49,29.72,1443600
PBF,2024-10-29,29.16,29.29,27.2,27.35,5148508
PBF,2024-10-30,27.58,27.65,27.04,27.12,3928336
PBF,2024-10-31,27.55,28.37,26.41,26.82,4230200
PBF,2024-11-01,27.04,27.24,26.28,26.41,2739952
PBF,2024-11-04,26.54,27.28,26.42,26.66,1766824
PBF,2024-11-05,27.17,27.34,26.55,27.13,2363792
PBF,2024-11-06,28.42,29.78,28.13,29.01,4953734
PBF,2024-11-07,29.03,29.03,28.19,28.76,2277500
PBF,2024-11-08,28.68,29.1,28.3,29.08,1741145
PBF,2024-11-11,29.16,29.16,28.17,28.99,2222524
PBF,2024-11-12,28.72,28.99,28.22,28.32,2411747
PBF,2024-11-13,28.58,28.96,27.91,28.8,1595923
PBF,2024-11-14,28.86,29.79,28.35,29.58,2035118
PBF,2024-11-15,29.9,30.25,29.15,29.16,1691200
PBF,2024-11-18,29.39,30.06,28.92,29.85,1810594
PBF,2024-11-19,29.48,30.49,29.44,29.95,2449000
PBF,2024-11-20,29.85,30.32,29.67,30.02,1745520
PBF,2024-11-21,30.32,31.06,29.86,30.52,1721627
PBF,2024-11-22,30.46,31.04,30.2,30.37,931900
PBF,2024-11-25,30.4,30.96,29.97,30.17,1656631
PBF,2024-11-26,30.03,30.31,29.73,29.97,1249910
PBF,2024-11-27,30.02,30.74,29.74,29.8,1764500
PBF,2024-11-29,30.17,30.17,29.32,29.89,1053025
PBF,2024-12-02,29.8,31.1,29.27,31.04,2345361
PBF,2024-12-03,31.25,31.46,30.18,30.26,1743415
PBF,2024-12-04,30.28,30.28,29.06,29.71,1878628
PBF,2024-12-05,29.73,30.08,29.07,29.24,1430126
PBF,2024-12-06,29.45,29.45,28.35,28.69,1482119
PBF,2024-12-09,28.93,29.82,28.81,28.95,1764809
PBF,2024-12-10,28.94,29.68,28.68,28.88,1410609
PBF,2024-12-11,28.89,29.52,28.48,29.15,1651300
PBF,2024-12-12,28.97,29.0,27.84,28.21,2097161
PBF,2024-12-13,28.03,28.39,27.58,27.78,1432300
PBF,2024-12-16,27.21,27.48,26.28,26.43,2387420
PBF,2024-12-17,26.22,26.58,25.88,26.5,2244200
PBF,2024-12-18,26.48,26.51,25.01,25.23,4354039
PBF,2024-12-19,25.48,25.69,24.14,24.17,2869673
PBF,2024-12-20,23.42,24.32,22.98,23.87,6487615
PBF,2024-12-23,24.0,24.17,23.49,24.11,2467039
PBF,2024-12-24,24.01,24.66,23.89,24.36,777012
PBF,2024-12-26,24.36,24.51,24.01,24.4,1583000
PBF,2024-12-27,24.3,24.78,23.92,24.11,1753748
PBF,2024-12-30,24.14,24.81,23.82,24.27,2422041
PBF,2024-12-31,24.45,25.47,24.45,25.2,1799302
PBF,2025-01-02,25.44,25.82,25.13,25.41,1624600
PBF,2025-01-03,25.41,25.82,25.01,25.78,1933000
PBF,2025-01-06,25.83,26.34,25.26,25.33,1783700
