symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PECO,2024-08-27,34.66,34.87,34.44,34.73,537300
PECO,2024-08-28,34.91,35.12,34.68,34.8,583100
PECO,2024-08-29,34.95,34.95,34.53,34.67,698400
PECO,2024-08-30,34.72,34.93,34.6,34.87,1012500
PECO,2024-09-03,34.66,34.96,34.56,34.73,790400
PECO,2024-09-04,35.0,35.23,34.69,34.98,958531
PECO,2024-09-05,35.16,35.34,34.91,35.07,549428
PECO,2024-09-06,35.05,35.25,34.54,34.98,497000
PECO,2024-09-09,34.82,35.48,34.51,35.45,668714
PECO,2024-09-10,35.45,35.69,35.28,35.56,550242
PECO,2024-09-11,35.24,35.73,34.79,35.26,851700
PECO,2024-09-12,35.44,36.22,35.37,36.18,830814
PECO,2024-09-13,36.57,36.8,36.14,36.73,702400
PECO,2024-09-16,36.87,36.97,36.66,36.77,540028
PECO,2024-09-17,36.81,36.82,36.23,36.41,517100
PECO,2024-09-18,36.4,36.85,36.01,36.38,603600
PECO,2024-09-19,36.84,36.84,35.95,36.46,782100
PECO,2024-09-20,36.22,36.86,36.22,36.3,2625136
PECO,2024-09-23,36.57,36.7,36.34,36.36,1028832
PECO,2024-09-24,36.28,36.61,36.21,36.38,563200
PECO,2024-09-25,36.47,36.56,36.03,36.08,497600
PECO,2024-09-26,36.14,36.23,35.32,35.35,528600
PECO,2024-09-27,35.61,35.74,35.22,35.25,903524
PECO,2024-09-30,35.24,35.74,35.07,35.67,627300
PECO,2024-10-01,35.73,35.81,35.0,35.56,612536
PECO,2024-10-02,35.24,35.37,34.68,34.72,751800
PECO,2024-10-03,34.63,34.77,34.44,34.56,411500
PECO,2024-10-04,34.57,34.6,34.19,34.54,423300
PECO,2024-10-07,34.37,34.41,34.13,34.25,584812
PECO,2024-10-08,34.39,34.39,34.0,34.24,519800
PECO,2024-10-09,34.21,34.52,34.06,34.26,511818
PECO,2024-10-10,34.06,34.33,33.79,34.01,584300
PECO,2024-10-11,34.05,34.3,33.96,34.27,598211
PECO,2024-10-14,34.13,34.76,34.08,34.52,469410
PECO,2024-10-15,34.7,35.4,34.59,35.09,576800
PECO,2024-10-16,35.26,35.52,35.06,35.35,466832
PECO,2024-10-17,35.21,35.39,35.05,35.21,318800
PECO,2024-10-18,35.17,35.56,35.15,35.41,371800
PECO,2024-10-21,35.39,35.39,34.68,34.76,707088
PECO,2024-10-22,34.63,35.14,34.57,34.99,597847
PECO,2024-10-23,34.89,35.2,34.89,35.11,391300
PECO,2024-10-24,35.05,35.32,35.05,35.11,567000
PECO,2024-10-25,35.01,35.5,34.35,34.44,629406
PECO,2024-10-28,34.66,35.01,34.55,34.8,484521
PECO,2024-10-29,34.86,35.25,34.78,35.24,693800
PECO,2024-10-30,35.11,35.96,35.06,35.87,805311
PECO,2024-10-31,35.69,36.43,35.69,35.87,1313616
PECO,2024-11-01,36.33,36.48,35.75,35.86,656700
PECO,2024-11-04,35.97,36.29,35.78,36.12,665814
PECO,2024-11-05,35.95,36.74,35.75,36.71,714208
PECO,2024-11-06,36.99,37.54,36.38,37.07,1123220
PECO,2024-11-07,36.99,37.36,36.77,36.86,840700
PECO,2024-11-08,37.03,37.35,36.87,36.97,1022300
PECO,2024-11-11,37.08,37.78,36.92,37.4,581645
PECO,2024-11-12,37.37,37.72,36.99,37.03,641300
PECO,2024-11-13,37.7,37.7,37.06,37.1,601400
PECO,2024-11-14,37.1,37.14,36.66,36.75,431300
PECO,2024-11-15,36.79,37.2,36.57,37.1,720700
PECO,2024-11-18,37.05,37.38,36.88,37.3,471300
PECO,2024-11-19,37.04,37.33,36.95,37.33,457300
PECO,2024-11-20,37.11,37.19,36.94,37.01,434613
PECO,2024-11-21,37.01,37.27,36.94,37.14,415723
PECO,2024-11-22,37.31,37.66,37.25,37.4,881600
PECO,2024-11-25,37.51,38.02,37.32,37.41,1361306
PECO,2024-11-26,37.22,37.64,37.1,37.5,808200
PECO,2024-11-27,37.69,38.15,37.66,37.85,605202
PECO,2024-11-29,37.96,38.1,37.53,37.57,488006
PECO,2024-12-02,37.55,37.57,37.11,37.36,940900
PECO,2024-12-03,37.48,37.54,36.97,37.18,548600
PECO,2024-12-04,37.0,37.36,37.0,37.26,715800
PECO,2024-12-05,37.24,37.64,37.11,37.4,1104736
PECO,2024-12-06,37.41,37.59,37.08,37.35,859500
PECO,2024-12-09,37.46,37.63,37.24,37.28,748300
PECO,2024-12-10,37.24,37.24,36.77,37.11,753200
PECO,2024-12-11,37.11,37.48,36.99,37.09,827600
PECO,2024-12-12,37.18,37.74,37.08,37.28,553900
PECO,2024-12-13,36.98,37.37,36.95,37.28,606100
PECO,2024-12-16,37.28,37.85,37.26,37.45,527100
PECO,2024-12-17,37.31,37.67,37.01,37.14,552238
PECO,2024-12-18,37.16,37.57,36.36,36.43,730028
PECO,2024-12-19,36.35,36.79,35.76,35.8,886811
PECO,2024-12-20,35.43,36.56,35.43,36.32,2287700
PECO,2024-12-23,36.29,36.38,35.77,35.97,756705
PECO,2024-12-24,35.89,36.46,35.89,36.44,180724
PECO,2024-12-26,36.24,36.77,36.09,36.72,270600
PECO,2024-12-27,36.65,36.71,35.72,35.92,573424
PECO,2024-12-30,35.92,35.92,35.32,35.47,445435
PECO,2024-12-31,35.61,35.94,35.45,35.71,631300
PECO,2025-01-02,35.74,35.8,35.06,35.23,366800
PECO,2025-01-03,35.32,35.8,35.22,35.74,550905
PECO,2025-01-06,35.48,35.77,34.92,34.98,521206
PECO,2025-01-07,35.1,35.32,34.45,34.75,714400
PECO,2025-01-08,34.75,35.24,34.69,34.89,985912
PECO,2025-01-10,34.33,34.45,33.82,33.9,889440
PECO,2025-01-13,33.89,34.06,33.65,33.99,605500
PECO,2025-01-14,33.93,34.33,33.92,34.17,638145
PECO,2025-01-15,34.89,35.03,33.87,33.91,499548
PECO,2025-01-16,33.95,34.4,33.95,34.36,522200
PECO,2025-01-17,34.75,34.75,34.13,34.22,642800
PECO,2025-01-21,34.4,34.85,34.4,34.82,501544
PECO,2025-01-22,34.69,34.74,34.2,34.24,448700
PECO,2025-01-23,34.29,34.73,33.97,34.71,533539
PECO,2025-01-24,34.6,35.13,34.47,35.02,469609
PECO,2025-01-27,35.3,35.89,34.91,35.67,510947
PECO,2025-01-28,35.51,36.1,35.17,35.31,524228
PECO,2025-01-29,35.24,35.4,34.53,34.7,505400
PECO,2025-01-30,35.04,35.43,34.87,35.1,384200
PECO,2025-01-31,35.02,35.15,34.63,34.74,503737
PECO,2025-02-03,34.5,34.73,34.15,34.62,459031
PECO,2025-02-04,34.45,34.85,34.45,34.75,582400
PECO,2025-02-05,34.95,35.27,34.81,35.25,556900
PECO,2025-02-06,35.3,35.34,34.76,35.01,602300
PECO,2025-02-07,35.01,35.79,34.61,35.69,712200
PECO,2025-02-10,35.45,35.61,35.09,35.21,730708
PECO,2025-02-11,35.06,35.6,34.98,35.5,602400
PECO,2025-02-12,34.86,35.7,34.86,35.4,612017
PECO,2025-02-13,35.6,35.7,35.27,35.61,690139
PECO,2025-02-14,35.62,35.78,34.9,34.98,786400
PECO,2025-02-18,34.74,35.19,34.65,34.68,508900
PECO,2025-02-19,34.55,34.74,34.22,34.32,558900
PECO,2025-02-20,34.12,34.38,33.88,33.93,387700
PECO,2025-02-21,34.04,34.15,33.62,33.8,586849
PECO,2025-02-24,33.9,34.4,33.76,34.02,418215
PECO,2025-02-25,34.15,34.85,34.09,34.63,587800
PECO,2025-02-26,34.66,34.78,34.41,34.53,350149
PECO,2025-02-27,34.59,34.97,34.48,34.82,517340
PECO,2025-02-28,35.04,35.72,34.98,35.67,1047134
PECO,2025-03-03,35.55,36.1,35.54,35.7,831722
PECO,2025-03-04,35.72,35.9,35.04,35.04,639742
PECO,2025-03-05,34.72,35.48,34.72,35.22,507180
PECO,2025-03-06,35.01,35.12,34.58,34.66,488343
PECO,2025-03-07,34.81,34.98,34.35,34.47,839712
PECO,2025-03-10,34.32,34.83,33.69,34.05,915419
PECO,2025-03-11,34.1,34.27,33.32,33.72,886028
PECO,2025-03-12,33.73,33.8,33.43,33.49,514818
PECO,2025-03-13,33.59,33.75,32.92,33.02,515740
PECO,2025-03-14,33.25,33.46,32.98,33.38,664403
PECO,2025-03-17,33.37,33.91,33.31,33.78,493900
PECO,2025-03-18,33.73,34.13,33.56,33.8,582700
PECO,2025-03-19,33.81,34.05,33.42,33.79,441600
PECO,2025-03-20,33.65,34.04,33.53,33.91,578300
PECO,2025-03-21,33.61,33.79,33.32,33.59,1198400
PECO,2025-03-24,33.98,34.45,33.8,34.4,655624
PECO,2025-03-25,34.51,34.64,34.15,34.28,852200
PECO,2025-03-26,34.28,34.63,34.15,34.6,751400
PECO,2025-03-27,34.68,34.87,34.24,34.32,609200
PECO,2025-03-28,34.54,34.64,34.21,34.58,733600
PECO,2025-03-31,34.58,35.25,34.56,35.09,796500
PECO,2025-04-01,35.1,35.53,34.72,35.45,1077125
PECO,2025-04-02,35.18,35.98,35.18,35.9,1074500
PECO,2025-04-03,35.48,35.73,34.6,34.68,1063634
PECO,2025-04-04,34.34,34.71,33.48,33.64,1038505
PECO,2025-04-07,32.86,33.97,31.77,33.01,1439607
PECO,2025-04-08,33.64,33.77,31.92,32.25,1872200
PECO,2025-04-09,31.75,33.79,31.16,33.58,2271200
PECO,2025-04-10,33.09,33.77,32.26,33.2,1248445
PECO,2025-04-11,33.01,33.8,32.57,33.71,825300
PECO,2025-04-14,33.74,34.32,33.65,34.14,992330
PECO,2025-04-15,34.25,34.52,34.01,34.11,793200
PECO,2025-04-16,34.11,34.66,34.0,34.28,797000
PECO,2025-04-17,34.32,35.24,34.32,34.9,652048
PECO,2025-04-21,34.72,34.74,33.71,34.04,666409
PECO,2025-04-22,34.73,35.04,34.42,34.77,728100
PECO,2025-04-23,34.97,35.39,34.3,34.52,536100
PECO,2025-04-24,34.52,34.52,33.92,33.97,1116436
PECO,2025-04-25,33.7,34.04,33.0,33.84,1259700
PECO,2025-04-28,33.69,33.91,33.29,33.77,854300
PECO,2025-04-29,33.76,34.03,33.41,33.71,929600
PECO,2025-04-30,33.67,33.93,33.08,33.47,1046546
PECO,2025-05-01,33.7,34.01,33.09,33.72,816300
PECO,2025-05-02,34.14,34.39,33.89,34.29,501600
PECO,2025-05-05,34.15,34.5,33.92,34.16,772200
PECO,2025-05-06,34.02,34.3,33.71,34.16,681724
PECO,2025-05-07,34.39,34.53,34.09,34.25,1111000
PECO,2025-05-08,34.33,34.52,33.72,33.98,508600
PECO,2025-05-09,34.01,34.4,33.89,34.35,991800
PECO,2025-05-12,34.72,35.24,34.69,35.1,892700
PECO,2025-05-13,35.29,35.29,34.38,34.43,999634
PECO,2025-05-14,34.43,34.43,33.71,34.06,537043
PECO,2025-05-15,34.23,34.67,34.07,34.62,484874
PECO,2025-05-16,34.56,35.11,34.44,35.09,585535
PECO,2025-05-19,34.71,35.1,34.69,35.02,444800
PECO,2025-05-20,34.8,34.92,34.17,34.28,571723
PECO,2025-05-21,33.99,34.01,33.22,33.23,997500
PECO,2025-05-22,33.2,33.22,32.86,33.02,814000
PECO,2025-05-23,32.85,33.02,32.61,32.83,1700013
PECO,2025-05-27,33.15,33.85,33.05,33.76,913800
PECO,2025-05-28,33.71,33.82,33.45,33.66,547800
PECO,2025-05-29,33.66,34.45,33.66,34.28,794500
PECO,2025-05-30,34.28,34.63,34.04,34.3,1100531
PECO,2025-06-02,33.99,34.78,33.64,34.77,2142019
PECO,2025-06-03,34.59,34.82,34.4,34.44,682000
PECO,2025-06-04,34.5,34.55,34.26,34.44,1491900
PECO,2025-06-05,34.43,34.43,34.0,34.19,844747
PECO,2025-06-06,34.5,34.59,34.28,34.56,507323
PECO,2025-06-09,34.77,34.99,34.42,34.89,888800
PECO,2025-06-10,34.89,35.35,34.84,35.05,542400
PECO,2025-06-11,35.08,35.31,34.42,34.58,1065000
PECO,2025-06-12,34.33,34.61,34.31,34.55,576323
PECO,2025-06-13,34.42,34.43,34.04,34.29,685300
PECO,2025-06-16,34.34,34.65,33.97,34.1,627017
PECO,2025-06-17,33.72,34.28,33.72,34.03,909900
PECO,2025-06-18,33.95,34.44,33.93,34.28,439700
PECO,2025-06-20,34.83,34.83,34.21,34.34,1096500
PECO,2025-06-23,34.44,34.88,34.31,34.86,461700
PECO,2025-06-24,34.88,35.01,34.46,34.51,613300
PECO,2025-06-25,34.36,34.54,33.39,33.45,836500
PECO,2025-06-26,33.62,34.34,33.58,33.96,1144000
PECO,2025-06-27,34.13,34.34,33.79,33.86,1234600
PECO,2025-06-30,33.86,34.01,33.38,33.98,758523
PECO,2025-07-01,33.72,34.7,33.72,34.13,826033
PECO,2025-07-02,34.1,34.1,33.63,34.02,787500
PECO,2025-07-03,34.18,34.4,33.99,34.16,441201
PECO,2025-07-07,34.08,34.36,33.8,33.86,643900
PECO,2025-07-08,33.87,33.87,33.29,33.32,933207
PECO,2025-07-09,33.24,33.69,33.24,33.54,596300
PECO,2025-07-10,33.57,33.79,33.45,33.52,593228
PECO,2025-07-11,33.28,33.64,33.16,33.56,526500
PECO,2025-07-14,33.53,33.91,33.43,33.76,813245
PECO,2025-07-15,33.69,33.81,33.06,33.12,480600
PECO,2025-07-16,33.32,33.9,33.31,33.85,1044000
PECO,2025-07-17,33.83,34.23,33.76,34.06,987000
PECO,2025-07-18,34.22,34.22,33.61,33.98,880900
PECO,2025-07-21,34.02,34.37,33.74,33.74,700200
PECO,2025-07-22,33.74,34.14,33.74,34.01,582100
PECO,2025-07-23,34.11,34.16,33.68,33.88,700437
PECO,2025-07-24,33.91,34.16,33.7,33.82,701911
PECO,2025-07-25,34.11,34.11,33.31,33.62,1233500
PECO,2025-07-28,33.58,33.77,33.26,33.3,965013
PECO,2025-07-29,33.65,34.21,33.31,34.16,838900
PECO,2025-07-30,34.25,34.6,33.24,33.49,1082267
PECO,2025-07-31,33.08,33.43,32.81,32.87,1078000
PECO,2025-08-01,33.16,33.17,32.3,32.62,1469145
PECO,2025-08-04,32.47,33.0,32.47,32.8,1395210
PECO,2025-08-05,32.64,33.16,32.59,33.1,1132728
PECO,2025-08-06,33.1,33.35,32.81,32.82,1065513
PECO,2025-08-07,33.04,33.04,32.44,32.72,1598001
PECO,2025-08-08,32.85,32.89,31.95,32.14,1156800
PECO,2025-08-11,32.18,32.69,32.18,32.39,1050711
PECO,2025-08-12,32.53,32.86,32.28,32.85,752136
PECO,2025-08-13,33.05,33.26,32.68,33.15,1052200
PECO,2025-08-14,32.88,33.16,32.58,33.0,995029
PECO,2025-08-15,33.09,33.12,32.81,33.01,754100
PECO,2025-08-18,32.97,33.25,32.88,32.98,738907
PECO,2025-08-19,33.08,33.51,33.08,33.31,808909
PECO,2025-08-20,33.46,33.59,33.2,33.39,934700
PECO,2025-08-21,33.18,33.38,32.93,32.97,890900
PECO,2025-08-22,33.2,34.07,33.16,34.01,907700
PECO,2025-08-25,33.84,34.0,33.52,33.67,756337
PECO,2025-08-26,33.59,33.81,33.47,33.59,725700
PECO,2025-08-27,33.59,33.94,33.58,33.87,632900
PECO,2025-08-28,33.87,34.03,33.46,34.02,844047
PECO,2025-08-29,34.08,34.36,33.99,34.34,704300
PECO,2025-09-02,34.24,34.56,34.07,34.27,856535
PECO,2025-09-03,34.01,34.68,34.01,34.6,1012700
PECO,2025-09-04,34.74,35.18,34.47,35.16,874320
PECO,2025-09-05,35.3,35.68,35.03,35.28,550700
PECO,2025-09-08,35.17,35.17,34.66,34.89,545045
