symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PEGA,2024-08-27,34.09,34.82,33.93,34.65,1202894
PEGA,2024-08-28,34.49,34.61,33.96,34.22,1065262
PEGA,2024-08-29,34.45,35.24,34.37,35.03,1248600
PEGA,2024-08-30,35.06,35.5,34.93,35.32,1738676
PEGA,2024-09-03,35.1,35.27,33.67,33.8,1445000
PEGA,2024-09-04,33.41,33.88,32.77,33.84,1195470
PEGA,2024-09-05,33.76,34.69,33.76,34.68,988000
PEGA,2024-09-06,34.89,35.38,34.04,34.19,1161878
PEGA,2024-09-09,34.41,34.96,32.94,33.05,1750604
PEGA,2024-09-10,33.11,33.3,32.06,32.22,1485800
PEGA,2024-09-11,32.17,32.87,31.92,32.83,1061066
PEGA,2024-09-12,32.99,33.48,32.78,33.21,790800
PEGA,2024-09-13,33.32,33.73,33.0,33.54,841600
PEGA,2024-09-16,33.45,33.98,33.33,33.61,887200
PEGA,2024-09-17,33.83,33.87,32.79,33.13,889200
PEGA,2024-09-18,33.17,33.58,32.67,33.06,1030800
PEGA,2024-09-19,33.88,33.88,33.31,33.63,850000
PEGA,2024-09-20,33.51,34.11,33.42,33.97,3674094
PEGA,2024-09-23,34.56,35.31,34.42,34.88,2025238
PEGA,2024-09-24,35.03,35.97,34.88,35.94,1425200
PEGA,2024-09-25,35.92,37.08,35.89,36.56,1699418
PEGA,2024-09-26,36.62,36.89,36.07,36.32,912800
PEGA,2024-09-27,36.45,36.49,35.97,35.98,750882
PEGA,2024-09-30,35.89,36.48,35.45,36.43,547644
PEGA,2024-10-01,36.48,36.5,34.8,35.09,1105016
PEGA,2024-10-02,35.16,35.74,35.14,35.5,1101388
PEGA,2024-10-03,35.3,35.67,35.02,35.2,1113800
PEGA,2024-10-04,35.41,35.97,35.21,35.93,1004000
PEGA,2024-10-07,36.22,36.68,35.56,35.63,1111200
PEGA,2024-10-08,35.63,35.97,35.46,35.78,575488
PEGA,2024-10-09,35.78,36.41,35.71,36.24,717646
PEGA,2024-10-10,35.87,36.8,35.8,36.73,685370
PEGA,2024-10-11,36.87,37.14,36.63,36.81,681076
PEGA,2024-10-14,36.83,36.92,36.38,36.63,465200
PEGA,2024-10-15,36.84,37.08,36.39,36.63,761400
PEGA,2024-10-16,36.72,37.04,36.27,36.54,838078
PEGA,2024-10-17,36.66,37.13,36.38,36.65,648000
PEGA,2024-10-18,36.84,37.81,36.45,36.52,1284678
PEGA,2024-10-21,36.16,36.16,34.92,35.47,1045734
