symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PFG,2024-08-27,74.73,74.91,74.3,74.5,763300
PFG,2024-08-28,74.48,75.37,74.45,75.18,736321
PFG,2024-08-29,75.38,76.11,74.73,75.67,801099
PFG,2024-08-30,75.72,76.42,75.44,76.34,961530
PFG,2024-09-03,75.9,76.58,75.79,76.13,948046
PFG,2024-09-04,76.42,76.97,75.85,76.08,924450
PFG,2024-09-05,76.5,76.68,74.56,75.4,1567728
PFG,2024-09-06,75.57,76.01,73.23,73.35,1198919
PFG,2024-09-09,73.79,75.0,73.29,74.94,1373800
PFG,2024-09-10,74.96,75.05,73.71,75.02,1206522
PFG,2024-09-11,74.83,74.83,73.09,74.72,1354323
PFG,2024-09-12,74.81,75.94,74.04,75.91,1681212
PFG,2024-09-13,76.36,77.02,76.27,76.93,1615844
PFG,2024-09-16,78.17,78.17,76.98,77.74,791000
PFG,2024-09-17,77.97,79.35,77.96,79.3,954121
PFG,2024-09-18,79.2,79.96,78.53,79.21,727723
PFG,2024-09-19,79.13,81.06,79.13,81.0,1141003
PFG,2024-09-20,80.89,81.11,80.2,80.99,2631300
PFG,2024-09-23,81.39,81.59,80.96,81.15,1067008
PFG,2024-09-24,81.35,81.62,80.39,80.69,1486832
PFG,2024-09-25,80.88,81.05,80.25,80.34,918321
PFG,2024-09-26,80.82,81.53,80.75,81.35,684000
PFG,2024-09-27,81.82,82.4,81.36,81.44,581111
PFG,2024-09-30,81.27,81.47,80.32,81.26,926500
PFG,2024-10-01,81.23,81.23,80.06,80.54,893543
PFG,2024-10-02,80.63,81.45,80.4,80.49,951700
PFG,2024-10-03,80.05,80.39,79.53,80.03,666200
PFG,2024-10-04,80.97,82.7,80.42,82.61,688800
PFG,2024-10-07,82.61,82.61,80.64,81.05,993075
PFG,2024-10-08,81.11,81.59,80.86,81.24,712500
PFG,2024-10-09,81.38,82.94,81.12,82.79,617400
PFG,2024-10-10,82.94,83.36,82.59,82.76,891535
PFG,2024-10-11,83.09,84.68,82.78,84.39,1123530
PFG,2024-10-14,84.39,85.11,84.04,84.87,1293015
PFG,2024-10-15,85.04,86.02,84.88,85.13,1746400
PFG,2024-10-16,85.23,86.46,85.23,86.23,736536
PFG,2024-10-17,86.36,87.01,86.27,86.33,870900
PFG,2024-10-18,86.42,86.47,85.51,85.58,998200
PFG,2024-10-21,85.44,85.81,84.26,84.81,942000
PFG,2024-10-22,84.46,85.47,84.28,85.07,828300
PFG,2024-10-23,84.67,85.19,84.4,84.75,676404
PFG,2024-10-24,85.19,85.19,84.57,84.81,1185645
PFG,2024-10-25,82.19,82.19,75.42,79.19,4195300
PFG,2024-10-28,79.63,80.16,79.22,79.93,1379445
PFG,2024-10-29,80.03,80.54,79.58,79.62,1128700
PFG,2024-10-30,79.33,80.81,79.29,79.9,966364
PFG,2024-10-31,79.68,79.72,77.89,77.95,1429900
PFG,2024-11-01,77.94,78.88,77.7,77.74,858110
PFG,2024-11-04,77.65,78.06,76.91,77.16,1125540
PFG,2024-11-05,77.12,78.18,76.95,78.09,1495935
