symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PGR,2024-12-06,240.42,241.68,232.88,234.45,3151393
PGR,2024-12-09,232.11,233.92,226.57,228.28,3364700
PGR,2024-12-10,228.96,229.67,225.65,227.74,2396339
PGR,2024-12-11,227.57,228.52,223.32,224.48,3615900
PGR,2024-12-12,225.94,227.48,222.26,223.58,3608952
PGR,2024-12-13,229.33,234.56,228.45,231.91,3286188
PGR,2024-12-16,233.66,234.05,230.02,230.48,2496551
PGR,2024-12-17,228.36,229.34,226.01,227.98,2481833
PGR,2024-12-18,228.09,228.41,221.06,221.3,2872606
PGR,2024-12-19,222.0,224.3,220.47,220.78,2722865
PGR,2024-12-20,219.17,224.13,218.18,221.01,5587624
PGR,2024-12-23,220.75,222.44,219.63,221.97,1847347
PGR,2024-12-24,222.22,224.04,221.37,224.03,680226
PGR,2024-12-26,224.26,224.76,222.75,223.98,952312
PGR,2024-12-27,222.55,224.25,221.08,221.98,1410584
PGR,2024-12-30,219.8,222.47,218.46,220.67,2257452
PGR,2024-12-31,220.6,221.47,219.8,220.68,1774078
PGR,2025-01-02,221.49,222.65,219.99,221.64,3107474
PGR,2025-01-03,223.17,225.14,221.43,223.09,1461969
PGR,2025-01-06,223.59,224.36,220.34,220.66,2129668
PGR,2025-01-07,220.94,224.12,220.06,223.14,2346339
PGR,2025-01-08,224.02,228.17,222.43,224.35,2601400
PGR,2025-01-10,222.69,226.76,220.33,221.17,3692744
PGR,2025-01-13,216.24,221.84,214.53,221.33,3023805
PGR,2025-01-14,221.05,225.14,218.83,225.07,2256921
PGR,2025-01-15,226.15,228.05,223.82,227.61,3498040
PGR,2025-01-16,227.82,231.26,227.18,230.5,1897626
PGR,2025-01-17,230.67,231.71,228.68,228.75,1967906
PGR,2025-01-21,229.06,231.8,225.07,226.24,3204800
PGR,2025-01-22,228.39,228.58,222.39,224.52,3657400
PGR,2025-01-23,225.3,226.71,223.56,224.84,2590118
PGR,2025-01-24,224.01,225.23,221.55,224.19,2324310
PGR,2025-01-27,225.71,231.88,225.4,231.78,2252087
PGR,2025-01-28,231.58,231.58,228.14,230.04,2724400
PGR,2025-01-29,223.81,236.56,223.16,231.3,3564846
PGR,2025-01-30,232.23,234.39,229.22,233.95,2374400
PGR,2025-01-31,234.87,235.86,231.33,231.34,3047701
PGR,2025-02-03,232.36,235.35,230.47,233.67,2050376
PGR,2025-02-04,232.07,236.1,231.97,232.81,1775232
PGR,2025-02-05,234.45,235.04,232.11,233.74,1508559
PGR,2025-02-06,235.42,237.17,235.0,235.95,1589100
PGR,2025-02-07,236.18,237.83,234.34,235.25,1710714
PGR,2025-02-10,236.56,237.0,233.28,234.39,1916500
PGR,2025-02-11,237.5,242.88,233.36,241.79,2794900
PGR,2025-02-12,240.66,242.15,239.5,241.06,2164739
PGR,2025-02-13,242.0,246.25,241.21,246.07,2781150
PGR,2025-02-14,245.28,248.15,244.41,246.51,2852141
PGR,2025-02-18,247.0,250.13,245.99,247.76,2609924
PGR,2025-02-19,246.9,254.2,246.37,253.1,3223346
PGR,2025-02-20,252.11,252.73,247.81,251.27,1934100
PGR,2025-02-21,250.57,252.6,249.47,249.88,2567349
PGR,2025-02-24,250.16,258.64,250.16,255.93,3952100
PGR,2025-02-25,260.63,262.78,257.58,261.46,3541208
PGR,2025-02-26,261.41,263.08,255.77,256.68,3386879
PGR,2025-02-27,257.77,262.8,257.22,261.69,2339133
PGR,2025-02-28,262.79,265.1,259.69,264.72,3509516
PGR,2025-03-03,265.08,267.8,264.79,267.61,2871800
PGR,2025-03-04,268.34,269.88,264.45,265.84,3363389
PGR,2025-03-05,263.7,266.16,261.9,264.59,2485868
PGR,2025-03-06,263.78,264.3,259.22,263.94,2309011
PGR,2025-03-07,261.51,264.66,260.76,262.68,2885772
PGR,2025-03-10,262.11,269.27,260.36,261.61,4159939
PGR,2025-03-11,260.75,262.0,256.76,259.97,3353770
PGR,2025-03-12,261.8,262.84,256.6,260.54,2879131
PGR,2025-03-13,261.14,263.93,259.16,262.28,3046614
PGR,2025-03-14,263.03,266.86,260.56,266.31,2223469
PGR,2025-03-17,265.34,275.04,265.14,273.38,3454796
PGR,2025-03-18,272.36,273.77,264.91,265.92,3548890
PGR,2025-03-19,259.56,261.33,251.01,256.55,6077100
PGR,2025-03-20,256.16,261.28,255.73,257.79,3630634
PGR,2025-03-21,258.43,261.27,255.83,256.14,7280219
PGR,2025-03-24,258.6,259.1,255.83,257.21,2553669
PGR,2025-03-25,258.19,259.04,255.47,257.62,2911600
PGR,2025-03-26,259.32,260.37,255.19,255.84,3463184
PGR,2025-03-27,256.89,258.27,254.39,257.84,3117311
PGR,2025-03-28,258.35,262.66,257.37,261.77,4346900
PGR,2025-03-31,261.86,267.27,261.73,265.67,4886800
PGR,2025-04-01,266.14,268.87,263.8,266.87,4740303
PGR,2025-04-02,265.68,266.9,259.29,264.0,2710049
PGR,2025-04-03,261.35,272.21,260.35,269.51,3831425
PGR,2025-04-04,259.28,264.39,240.93,241.94,7338631
PGR,2025-04-07,237.39,245.35,232.86,239.71,5910760
PGR,2025-04-08,247.91,253.78,241.28,244.51,5763700
PGR,2025-04-09,241.56,256.22,240.22,253.65,6074600
PGR,2025-04-10,254.21,259.02,249.79,256.53,4346359
PGR,2025-04-11,255.74,259.79,252.14,258.84,3052682
PGR,2025-04-14,260.86,264.28,258.98,261.58,2486900
PGR,2025-04-15,262.06,264.81,258.92,259.28,2369338
PGR,2025-04-16,263.85,266.22,257.33,258.36,3069026
PGR,2025-04-17,255.91,257.71,248.85,249.27,3648955
PGR,2025-04-21,248.08,248.82,238.72,241.72,2775521
PGR,2025-04-22,244.38,249.65,242.98,248.93,3712300
PGR,2025-04-23,248.93,250.74,247.09,248.88,2001285
PGR,2025-04-24,248.64,249.8,246.22,249.03,1821704
PGR,2025-04-25,248.88,249.52,244.86,248.86,1827145
PGR,2025-04-28,252.22,253.83,249.86,253.15,2104325
PGR,2025-04-29,253.78,260.2,253.22,259.47,2690612
PGR,2025-04-30,260.49,265.38,257.3,264.57,3124921
PGR,2025-05-01,261.87,262.94,259.18,260.74,2474500
PGR,2025-05-02,262.06,266.17,261.61,265.58,1566148
PGR,2025-05-05,265.22,266.7,262.33,264.97,2229343
PGR,2025-05-06,264.34,267.1,263.58,266.37,1927200
PGR,2025-05-07,266.3,269.97,265.67,268.93,2304668
PGR,2025-05-08,267.73,268.76,265.88,266.62,2147005
PGR,2025-05-09,266.3,269.51,265.86,267.17,1542755
PGR,2025-05-12,266.73,268.81,257.97,263.17,3349205
PGR,2025-05-13,263.23,267.71,262.37,265.37,3014582
PGR,2025-05-14,266.44,267.15,260.57,261.22,2422835
PGR,2025-05-15,261.86,264.67,260.95,264.02,4913713
PGR,2025-05-16,263.74,268.69,263.69,268.6,2779577
PGR,2025-05-19,269.17,271.48,267.39,270.67,1826028
PGR,2025-05-20,269.43,271.31,267.91,268.22,1844832
PGR,2025-05-21,266.55,268.39,261.37,263.88,3127573
PGR,2025-05-22,263.07,263.87,259.14,260.23,2505703
PGR,2025-05-23,260.88,261.87,259.65,260.4,1677890
PGR,2025-05-27,259.94,263.27,256.75,261.76,3468228
PGR,2025-05-28,258.59,263.35,258.57,260.15,3182916
PGR,2025-05-29,259.55,260.47,258.6,260.4,2270718
PGR,2025-05-30,260.24,267.86,259.65,267.57,5075120
PGR,2025-06-02,265.96,271.22,264.44,271.14,2107659
PGR,2025-06-03,270.29,272.28,264.03,269.74,2896501
PGR,2025-06-04,270.77,270.77,264.51,264.97,2432116
PGR,2025-06-05,265.99,266.45,262.44,263.12,2520941
PGR,2025-06-06,264.91,266.65,261.7,262.3,2442338
PGR,2025-06-09,261.06,261.73,249.8,254.78,5886142
PGR,2025-06-10,253.64,254.48,248.43,249.31,3987446
PGR,2025-06-11,248.81,249.32,246.14,247.18,3013618
PGR,2025-06-12,247.3,252.09,246.9,252.06,3045960
PGR,2025-06-13,252.14,253.4,250.38,251.53,3152306
PGR,2025-06-16,252.12,253.34,249.49,250.19,3509396
PGR,2025-06-17,249.33,250.58,246.87,249.57,2495200
PGR,2025-06-18,249.0,250.04,241.92,244.47,4771921
PGR,2025-06-20,244.63,248.13,243.31,246.04,8887134
PGR,2025-06-23,246.77,250.75,246.77,250.15,3006510
PGR,2025-06-24,249.67,251.02,248.23,249.8,3540580
PGR,2025-06-25,247.99,249.2,243.34,243.85,2957807
PGR,2025-06-26,244.6,245.92,242.84,245.68,4008600
PGR,2025-06-27,246.35,248.28,245.76,247.9,12464500
PGR,2025-06-30,247.72,251.6,247.02,250.6,4016511
