symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PH,2024-12-05,686.43,690.67,683.83,685.16,465798
PH,2024-12-06,686.73,691.95,684.48,686.59,371942
PH,2024-12-09,685.45,688.88,671.07,676.57,649100
PH,2024-12-10,676.09,681.66,667.16,668.62,658502
PH,2024-12-11,676.22,681.68,674.02,676.96,702031
PH,2024-12-12,679.91,681.35,672.69,673.19,533504
PH,2024-12-13,674.69,676.35,661.67,662.59,626889
PH,2024-12-16,665.66,667.26,660.67,664.48,703456
PH,2024-12-17,660.22,663.95,653.57,656.84,832400
PH,2024-12-18,658.82,660.15,632.72,634.95,1210420
PH,2024-12-19,643.02,646.0,627.98,630.49,656147
PH,2024-12-20,626.17,642.95,623.64,638.31,1338500
PH,2024-12-23,633.74,638.74,630.82,636.78,599400
PH,2024-12-24,635.35,643.77,632.12,643.6,227000
PH,2024-12-26,640.81,642.9,637.6,642.47,256948
PH,2024-12-27,637.12,641.81,628.79,634.96,392500
PH,2024-12-30,627.18,631.02,619.41,628.07,337725
PH,2024-12-31,628.48,631.63,625.16,627.29,283000
PH,2025-01-02,631.3,634.25,617.42,620.87,413600
PH,2025-01-03,622.45,630.46,620.46,628.92,529204
PH,2025-01-06,631.59,640.93,627.73,632.19,634324
PH,2025-01-07,631.11,632.62,623.71,626.5,658500
PH,2025-01-08,625.46,633.07,620.14,632.69,439939
PH,2025-01-10,626.68,628.03,615.7,621.38,612800
PH,2025-01-13,617.23,629.59,616.36,629.22,470908
PH,2025-01-14,634.89,643.53,632.61,638.12,666737
PH,2025-01-15,651.41,659.92,646.57,647.3,701203
PH,2025-01-16,650.54,652.02,646.07,649.61,433542
PH,2025-01-17,655.85,662.64,651.09,660.26,728922
PH,2025-01-21,668.52,670.66,663.75,669.1,642747
PH,2025-01-22,670.47,672.66,663.88,665.22,503400
PH,2025-01-23,667.07,671.69,662.42,670.75,476900
PH,2025-01-24,670.75,672.63,665.78,670.01,493400
PH,2025-01-27,660.59,662.76,646.6,653.66,694771
PH,2025-01-28,656.15,657.76,648.27,657.08,760136
PH,2025-01-29,657.83,662.93,653.24,656.66,1033020
PH,2025-01-30,679.93,698.79,675.39,694.22,1113939
PH,2025-01-31,695.64,708.57,689.79,697.34,1334338
PH,2025-02-03,679.19,698.05,676.41,686.21,856674
PH,2025-02-04,694.29,703.88,679.86,680.22,527947
PH,2025-02-05,683.51,685.32,675.58,679.4,521100
PH,2025-02-06,682.62,686.93,676.59,682.1,446349
PH,2025-02-07,686.16,686.71,673.85,676.14,549600
PH,2025-02-10,681.93,682.73,667.87,672.9,540300
PH,2025-02-11,669.78,673.92,663.65,673.25,515613
PH,2025-02-12,663.63,672.09,663.2,670.69,454800
PH,2025-02-13,673.11,687.8,671.82,685.91,796400
