symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PII,2024-08-27,79.19,79.43,78.24,78.36,366900
PII,2024-08-28,77.88,79.01,77.23,77.89,368300
PII,2024-08-29,78.34,78.67,77.01,77.11,362900
PII,2024-08-30,77.83,78.09,76.97,77.89,306300
PII,2024-09-03,77.48,77.85,76.42,76.48,414500
PII,2024-09-04,76.12,77.4,75.43,76.5,384000
PII,2024-09-05,76.81,77.29,75.04,75.13,504200
PII,2024-09-06,73.15,75.13,72.89,73.56,639300
PII,2024-09-09,73.72,74.47,72.8,73.12,409900
PII,2024-09-10,72.96,73.11,71.73,72.61,386200
PII,2024-09-11,72.14,72.47,70.89,72.34,603400
PII,2024-09-12,72.34,73.1,71.59,72.29,320300
PII,2024-09-13,73.06,76.7,72.7,75.68,779800
PII,2024-09-16,76.13,77.71,75.63,77.46,726100
PII,2024-09-17,78.01,79.55,77.78,78.49,548500
PII,2024-09-18,78.76,80.15,76.6,77.42,400800
PII,2024-09-19,79.34,79.67,78.25,79.63,425100
PII,2024-09-20,79.51,79.51,77.31,78.21,1113100
PII,2024-09-23,78.61,78.61,76.2,76.66,606600
PII,2024-09-24,77.44,78.82,77.06,78.78,530600
PII,2024-09-25,78.84,79.19,77.16,77.34,371100
PII,2024-09-26,79.04,79.98,78.16,78.38,386400
PII,2024-09-27,79.5,80.23,78.13,78.78,497600
PII,2024-09-30,78.46,78.76,77.17,77.2,448100
PII,2024-10-01,76.71,77.4,75.72,76.76,420900
PII,2024-10-02,76.45,76.86,75.47,75.81,406700
PII,2024-10-03,75.35,76.15,74.36,75.91,443000
PII,2024-10-04,76.9,77.04,75.82,76.28,347800
PII,2024-10-07,75.79,76.09,73.02,73.94,711300
PII,2024-10-08,73.72,74.02,73.0,73.43,516800
PII,2024-10-09,73.27,74.45,73.25,74.42,578600
PII,2024-10-10,73.32,75.01,72.96,74.48,425400
PII,2024-10-11,74.49,76.1,74.49,75.06,393600
PII,2024-10-14,74.67,75.72,73.87,75.42,365900
PII,2024-10-15,75.45,77.76,75.26,75.49,509700
PII,2024-10-16,76.64,77.98,76.64,77.08,690700
PII,2024-10-17,76.75,76.8,75.73,76.6,445800
PII,2024-10-18,77.22,77.26,76.35,76.56,404400
PII,2024-10-21,76.12,76.73,74.33,74.37,868500
PII,2024-10-22,74.2,74.2,66.02,66.98,3112900
PII,2024-10-23,66.55,67.4,64.32,64.62,1500800
PII,2024-10-24,64.36,65.73,63.61,65.61,829300
PII,2024-10-25,65.87,67.27,65.76,66.08,748100
PII,2024-10-28,66.39,68.88,66.39,68.67,1286300
PII,2024-10-29,67.91,69.23,67.56,68.27,582700
PII,2024-10-30,68.15,69.33,66.6,66.86,643600
PII,2024-10-31,67.26,67.26,64.75,64.83,703400
PII,2024-11-01,65.08,65.91,64.92,65.29,491400
PII,2024-11-04,65.74,66.45,65.32,65.7,405900
PII,2024-11-05,65.04,66.15,64.45,66.15,504200
PII,2024-11-06,67.79,68.45,64.47,66.28,1163100
PII,2024-11-07,66.63,66.77,64.54,64.71,735200
PII,2024-11-08,64.45,64.61,63.47,63.92,894500
PII,2024-11-11,64.29,64.65,63.57,63.65,613300
PII,2024-11-12,63.15,63.55,61.26,61.39,955900
