symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
PIPR,2024-08-27,64.8,65.14,64.37,64.64,262880
PIPR,2024-08-28,64.26,65.15,63.67,64.19,219600
PIPR,2024-08-29,64.93,65.28,64.17,64.42,294580
PIPR,2024-08-30,64.43,65.49,64.19,65.47,445772
PIPR,2024-09-03,64.77,64.77,62.38,63.01,660852
PIPR,2024-09-04,62.66,63.69,62.5,62.89,262116
PIPR,2024-09-05,63.24,64.04,62.72,63.6,342952
PIPR,2024-09-06,63.9,64.15,61.88,62.25,384000
PIPR,2024-09-09,62.29,63.9,62.29,62.8,492800
PIPR,2024-09-10,63.06,63.14,61.23,62.12,528908
PIPR,2024-09-11,61.57,61.96,60.29,61.36,415396
PIPR,2024-09-12,61.82,62.95,61.32,62.68,290400
PIPR,2024-09-13,63.58,64.65,63.47,64.25,311600
PIPR,2024-09-16,64.6,65.65,64.57,65.17,317776
PIPR,2024-09-17,65.94,66.98,65.74,65.83,240840
PIPR,2024-09-18,65.83,67.89,65.5,66.11,512464
PIPR,2024-09-19,68.05,68.72,67.39,68.14,499680
PIPR,2024-09-20,69.11,69.11,67.85,68.9,1087600
PIPR,2024-09-23,69.14,69.38,68.36,69.02,312800
PIPR,2024-09-24,69.16,69.16,68.18,68.9,241352
PIPR,2024-09-25,68.51,68.81,67.91,68.08,343600
PIPR,2024-09-26,68.43,68.6,67.21,67.3,260400
PIPR,2024-09-27,67.81,68.68,67.33,67.7,317324
PIPR,2024-09-30,67.26,68.14,66.85,68.14,304400
PIPR,2024-10-01,67.87,68.2,66.91,67.84,466000
PIPR,2024-10-02,67.16,68.63,66.87,68.05,211600
PIPR,2024-10-03,67.82,68.37,67.29,67.77,268132
PIPR,2024-10-04,69.03,69.91,68.79,69.83,341200
PIPR,2024-10-07,69.64,70.24,68.18,68.86,315660
PIPR,2024-10-08,69.17,70.17,68.44,69.16,346096
PIPR,2024-10-09,68.66,69.94,68.31,68.85,390188
PIPR,2024-10-10,68.32,68.35,67.28,67.98,401600
PIPR,2024-10-11,68.23,70.46,68.23,70.28,452800
PIPR,2024-10-14,70.58,71.01,70.35,70.72,379200
PIPR,2024-10-15,70.52,72.77,70.52,71.8,470000
PIPR,2024-10-16,72.55,73.22,72.4,72.54,446444
PIPR,2024-10-17,72.32,73.35,72.29,72.89,344800
PIPR,2024-10-18,73.0,73.49,72.26,72.79,403612
PIPR,2024-10-21,73.11,73.11,71.48,71.65,225308
PIPR,2024-10-22,71.43,71.76,70.93,71.16,305800
PIPR,2024-10-23,70.56,71.47,68.79,69.24,514812
PIPR,2024-10-24,69.75,70.04,69.04,69.5,601264
PIPR,2024-10-25,67.42,70.63,66.89,67.35,675216
PIPR,2024-10-28,68.3,69.98,68.13,69.46,684092
PIPR,2024-10-29,68.88,69.4,68.27,69.32,446400
PIPR,2024-10-30,68.94,70.08,68.48,68.54,256400
PIPR,2024-10-31,68.95,68.95,67.97,68.09,292556
PIPR,2024-11-01,68.87,69.31,67.53,68.1,419344
PIPR,2024-11-04,67.42,68.63,66.78,68.01,382544
PIPR,2024-11-05,67.8,70.11,67.8,69.77,404800
PIPR,2024-11-06,75.14,83.34,75.14,83.34,1658000
PIPR,2024-11-07,82.86,82.86,79.87,80.56,778000
PIPR,2024-11-08,79.93,81.64,79.93,80.29,584000
PIPR,2024-11-11,81.5,82.55,81.09,82.11,396800
PIPR,2024-11-12,82.1,82.38,80.54,81.01,474920
PIPR,2024-11-13,81.82,82.74,80.18,80.25,357600
PIPR,2024-11-14,80.04,80.88,79.26,79.56,322400
PIPR,2024-11-15,80.05,80.79,79.24,80.69,331600
PIPR,2024-11-18,81.31,82.0,80.94,81.15,394400
PIPR,2024-11-19,79.74,81.09,79.67,80.52,326088
PIPR,2024-11-20,80.29,80.33,79.35,80.22,265664
PIPR,2024-11-21,81.08,82.55,80.86,81.71,335300
PIPR,2024-11-22,82.22,82.68,81.46,81.95,285200
PIPR,2024-11-25,82.66,84.62,82.66,83.9,683488
PIPR,2024-11-26,83.2,83.2,82.26,82.51,218484
PIPR,2024-11-27,83.33,83.58,81.73,82.19,287756
PIPR,2024-11-29,83.09,83.44,82.05,82.5,186000
PIPR,2024-12-02,83.63,84.02,82.13,82.49,383832
PIPR,2024-12-03,82.09,82.26,80.16,80.51,282000
PIPR,2024-12-04,80.93,80.93,79.68,80.37,236556
PIPR,2024-12-05,79.79,80.38,79.31,79.79,253600
PIPR,2024-12-06,80.02,80.69,79.07,80.13,300000
PIPR,2024-12-09,80.93,80.93,78.18,78.33,339600
PIPR,2024-12-10,78.87,79.02,77.32,77.72,416952
PIPR,2024-12-11,78.59,78.89,77.82,78.02,516080
PIPR,2024-12-12,77.86,78.49,76.73,77.11,436564
PIPR,2024-12-13,77.47,78.3,76.43,76.72,298400
PIPR,2024-12-16,76.19,77.6,76.19,77.29,300800
PIPR,2024-12-17,76.62,76.75,74.79,75.09,379368
PIPR,2024-12-18,75.63,76.35,70.49,71.23,571292
PIPR,2024-12-19,72.28,73.64,70.31,70.39,453684
PIPR,2024-12-20,69.46,72.2,69.27,71.62,1355376
PIPR,2024-12-23,71.4,72.17,70.93,72.09,238412
PIPR,2024-12-24,72.02,73.02,71.88,73.01,118524
PIPR,2024-12-26,72.47,73.81,72.47,73.6,230924
PIPR,2024-12-27,72.7,73.13,71.53,72.42,227200
PIPR,2024-12-30,71.4,72.14,70.82,71.68,284000
PIPR,2024-12-31,72.48,72.65,71.37,72.15,418800
PIPR,2025-01-02,72.53,73.14,71.43,71.99,232000
PIPR,2025-01-03,72.75,72.75,71.23,72.5,454400
PIPR,2025-01-06,72.04,72.21,70.49,71.56,602076
PIPR,2025-01-07,71.43,71.78,69.27,70.92,450000
PIPR,2025-01-08,70.71,71.86,70.68,71.56,239200
PIPR,2025-01-10,69.39,69.39,67.29,67.93,616400
PIPR,2025-01-13,66.67,68.82,66.56,68.65,493600
PIPR,2025-01-14,69.62,71.02,69.36,70.8,331324
PIPR,2025-01-15,73.33,73.82,72.13,73.07,292984
PIPR,2025-01-16,73.46,74.2,72.55,72.76,345644
PIPR,2025-01-17,73.55,73.61,72.98,73.21,215692
PIPR,2025-01-21,74.0,74.94,74.0,74.73,280900
PIPR,2025-01-22,74.67,74.86,73.19,74.08,315696
PIPR,2025-01-23,73.78,74.08,73.17,73.39,276000
PIPR,2025-01-24,73.32,73.96,73.06,73.67,318156
PIPR,2025-01-27,73.26,73.78,71.95,72.7,309600
PIPR,2025-01-28,72.2,75.0,72.2,74.75,308000
PIPR,2025-01-29,74.46,75.57,73.86,74.25,339476
PIPR,2025-01-30,75.38,76.01,74.25,74.57,334800
PIPR,2025-01-31,78.65,80.11,75.76,76.28,787200
PIPR,2025-02-03,75.13,76.71,73.37,76.19,503436
PIPR,2025-02-04,76.32,77.19,76.0,77.01,425652
PIPR,2025-02-05,77.68,77.96,76.96,77.85,345328
PIPR,2025-02-06,78.67,78.9,76.69,76.82,389680
PIPR,2025-02-07,77.69,77.69,75.02,75.34,412400
PIPR,2025-02-10,75.6,75.6,73.48,74.21,385840
PIPR,2025-02-11,73.75,73.75,72.42,73.12,387640
PIPR,2025-02-12,71.57,72.27,70.91,72.11,432400
PIPR,2025-02-13,72.36,72.8,71.41,72.31,434560
PIPR,2025-02-14,72.94,73.87,72.51,73.6,318968
PIPR,2025-02-18,73.43,74.5,73.43,74.47,391600
PIPR,2025-02-19,73.66,74.16,73.38,73.78,438912
PIPR,2025-02-20,73.24,73.59,70.44,71.72,577292
PIPR,2025-02-21,72.27,72.34,68.83,69.47,593244
PIPR,2025-02-24,69.3,69.3,66.7,67.39,567316
PIPR,2025-02-25,67.88,67.88,66.16,66.7,566496
PIPR,2025-02-26,67.42,68.8,67.42,68.11,400000
PIPR,2025-02-27,68.5,68.84,67.44,67.72,322928
PIPR,2025-02-28,67.6,69.68,67.27,69.66,558888
PIPR,2025-03-03,69.38,70.4,67.71,68.09,532400
PIPR,2025-03-04,66.69,67.04,63.15,63.86,773348
PIPR,2025-03-05,64.11,64.52,62.92,64.27,809240
PIPR,2025-03-06,62.91,63.67,61.85,62.41,669284
PIPR,2025-03-07,62.04,62.62,59.83,61.95,675200
PIPR,2025-03-10,60.28,60.44,58.91,59.53,855708
PIPR,2025-03-11,60.2,61.97,59.28,61.04,929600
PIPR,2025-03-12,62.31,63.02,61.3,62.1,736800
PIPR,2025-03-13,61.98,61.98,59.93,61.41,511200
PIPR,2025-03-14,61.71,62.28,60.46,61.82,640424
PIPR,2025-03-17,61.52,62.63,61.41,62.55,444444
PIPR,2025-03-18,61.94,62.12,61.25,61.6,391200
PIPR,2025-03-19,62.07,63.21,61.7,62.79,313732
PIPR,2025-03-20,62.13,63.35,62.13,62.66,307332
PIPR,2025-03-21,62.04,63.14,61.57,63.13,863704
PIPR,2025-03-24,64.9,65.76,64.9,65.44,284000
PIPR,2025-03-25,65.17,65.88,64.92,65.52,288504
PIPR,2025-03-26,65.86,65.86,64.11,64.22,208000
PIPR,2025-03-27,63.95,63.95,61.34,61.84,534800
PIPR,2025-03-28,61.84,61.84,59.57,60.31,529200
PIPR,2025-03-31,59.05,60.78,58.08,60.35,540800
PIPR,2025-04-01,60.22,61.45,59.7,61.3,754172
PIPR,2025-04-02,60.06,63.22,60.06,63.1,488800
PIPR,2025-04-03,58.55,59.88,55.49,56.05,655264
PIPR,2025-04-04,53.15,54.23,51.16,52.88,1280400
PIPR,2025-04-07,50.62,54.03,49.45,51.99,1066528
PIPR,2025-04-08,54.46,54.86,50.31,51.36,947708
PIPR,2025-04-09,50.42,59.17,50.3,58.56,1528800
PIPR,2025-04-10,56.51,56.51,52.77,54.46,677600
PIPR,2025-04-11,53.89,54.31,52.08,53.8,1280800
PIPR,2025-04-14,55.2,55.44,53.86,54.86,472400
PIPR,2025-04-15,54.97,55.84,54.52,54.7,629600
PIPR,2025-04-16,53.83,54.89,53.74,54.44,668400
PIPR,2025-04-17,54.39,55.14,54.39,54.85,436800
PIPR,2025-04-21,53.79,54.06,51.9,53.03,593200
PIPR,2025-04-22,54.17,55.36,53.87,55.0,474184
PIPR,2025-04-23,56.79,58.89,55.55,55.74,515200
PIPR,2025-04-24,55.5,57.67,55.49,57.58,534136
PIPR,2025-04-25,56.66,58.35,56.66,58.0,460800
PIPR,2025-04-28,58.14,58.79,57.54,58.32,438872
PIPR,2025-04-29,57.58,59.26,57.58,58.97,683600
PIPR,2025-04-30,57.99,58.93,57.3,58.75,525256
PIPR,2025-05-01,59.22,59.88,58.85,59.17,558400
PIPR,2025-05-02,62.52,63.33,59.12,61.37,1048412
PIPR,2025-05-05,59.71,61.43,59.71,60.08,672188
PIPR,2025-05-06,58.58,60.74,58.58,59.8,668136
PIPR,2025-05-07,60.31,61.17,59.88,60.86,733728
PIPR,2025-05-08,61.91,63.19,61.08,62.43,631600
PIPR,2025-05-09,62.56,62.63,60.88,61.28,527200
PIPR,2025-05-12,64.62,66.68,64.53,64.58,823600
PIPR,2025-05-13,64.98,65.63,64.42,65.18,660500
PIPR,2025-05-14,64.84,65.84,64.49,64.54,627764
PIPR,2025-05-15,64.99,65.23,64.23,64.68,493600
PIPR,2025-05-16,64.72,65.38,64.01,65.12,577200
PIPR,2025-05-19,63.85,65.54,63.85,65.05,587200
PIPR,2025-05-20,64.41,64.7,63.72,64.01,514800
PIPR,2025-05-21,63.09,63.52,61.41,61.47,463200
PIPR,2025-05-22,61.37,62.15,60.88,61.22,518144
PIPR,2025-05-23,59.47,61.17,59.47,60.77,566856
PIPR,2025-05-27,61.73,62.75,61.23,62.47,389600
PIPR,2025-05-28,61.97,62.76,61.07,61.22,352480
PIPR,2025-05-29,61.8,61.8,60.79,61.64,339200
PIPR,2025-05-30,61.5,61.69,60.58,61.43,538812
PIPR,2025-06-02,61.32,61.54,60.54,61.25,471272
PIPR,2025-06-03,61.28,62.93,60.91,62.57,444948
PIPR,2025-06-04,62.49,62.81,61.79,62.08,504376
PIPR,2025-06-05,62.04,63.08,61.72,62.78,444000
PIPR,2025-06-06,64.4,64.86,63.83,64.5,373312
PIPR,2025-06-09,64.97,65.35,64.15,64.43,644400
PIPR,2025-06-10,64.53,65.16,64.0,64.29,665592
PIPR,2025-06-11,64.1,64.79,63.28,63.48,476584
PIPR,2025-06-12,62.69,63.48,61.69,63.11,406256
PIPR,2025-06-13,61.78,62.33,61.07,61.53,426400
PIPR,2025-06-16,62.36,63.17,62.3,62.48,304516
PIPR,2025-06-17,61.63,62.49,61.63,61.94,501656
PIPR,2025-06-18,61.56,62.94,61.56,62.17,464816
PIPR,2025-06-20,62.63,62.78,62.15,62.15,748800
PIPR,2025-06-23,61.9,64.27,61.8,64.13,485600
